"","GSE118876","GSE104955","GSE87661","GSE79711","GSE60150"
"0610005C13Rik",0.0290046509250683,0.0251235525631984,0.0334298174596612,0.0405344420959527,0.0239371369482903
"0610007C21Rik",0.0236449275291776,0.019721688381562,0.00805985175577499,0.0318386862536262,0.00950425169853847
"0610007L01Rik",0.0342403710070514,0.0235016755451014,0.0183075169454664,0.00963796029547902,0.00603000167983059
"0610007N19Rik",0.0830337548698179,0.0416674080545043,0.0189999260607272,0.0474581030187906,0.0204911624259351
"0610007P08Rik",0.0467381576142197,0.0145791479548993,0.0198201003368619,0.0259269059474483,0.0158762430982639
"0610007P14Rik",0.0372518298921087,0.0200092807387397,0.0338981955428078,0.0259403039196882,0.0188148915507329
"0610007P22Rik",0.0240350836851573,0.0216372632467003,0.0417642388544198,0.0211302333320868,0.0155243278208927
"0610008F07Rik",0.0427387983814829,0.0234247297030592,0.0397729598954312,0.0230214232758548,0.0219807388955939
"0610009B14Rik",0.0301299856330119,0.0211756493742606,0.0355708564443925,0.0171287378385421,0.0177876980982242
"0610009B22Rik",0.0612009144316617,0.0366615830702496,0.0354681653450238,0.038399111712578,0.0189863119213627
"0610009D07Rik",0.0150085922183357,0.0158115690807928,0.0187328441269711,0.0109462879383619,0.0175691609852722
"0610009E02Rik",0.041484566323326,0.0495847930430732,0.0519820298495933,0.0361410501469937,0.022277050019353
"0610009L18Rik",0.0469257469329216,0.0319237932517566,0.034151116824256,0.0267228422677403,0.0266736272035215
"0610009O20Rik",0.0381094416605813,0.0252263081546741,0.0180107585793921,0.0211852072273277,0.0132431219801044
"0610010B08Rik",0.0489588321525708,0.0188281732875918,0.0077991507742189,0.0214031766460628,0.0129925156844733
"0610010F05Rik",0.073448067696702,0.0198461066630573,0.0180801142429284,0.0369158264527852,0.0118330163038332
"0610010K14Rik",0.0267588842898056,0.0195508129630597,0.0199012787912729,0.0140227102676354,0.0113554926042723
"0610010O12Rik",0.0471182394247941,0.0186391243082914,0.0282540523015401,0.0296077986864566,0.0204176050493523
"0610011F06Rik",0.0168665790567114,0.0240023600210211,0.0492253694754994,0.0261657571048931,0.0144610907526432
"0610011L14Rik",0.0245480645810375,0.0177722691145373,0.0252731258716519,0.0159638325802368,0.0125504753993181
"0610012G03Rik",0.0614496485504525,0.0350805546253805,0.0377529301333469,0.0454717257474902,0.0210876119942085
"0610012H03Rik",0.057703333431408,0.0174475064993336,0.0262869175806809,0.0336248564510592,0.021959975234834
"0610030E20Rik",0.0192316381319521,0.0156663334347865,0.0283441838962311,0.0180543802956301,0.0155458985542676
"0610031J06Rik",0.027634082774669,0.0251257660381915,0.0196012113545028,0.0143597821700427,0.00950345973264554
"0610031O16Rik",0.026914033437425,0.0561291206481579,0.0560210094572185,0.0331674775020361,0.0245763039325639
"0610037L13Rik",0.0233310479538645,0.0145942052891498,0.0245820947544771,0.0104076684319708,0.0112123474442571
"0610037P05Rik",0.065767857867921,0.0235183508390674,0.00767495237034079,0.0177918221865879,0.0224647531181444
"0610038B21Rik",0.0398820812290067,0.0288141106349527,0.0452783212332742,0.0282756911096168,0.0293839769070743
"0610038L08Rik",0.0634962437136659,0.0358065293790594,0.0568619673844355,0.0210839927069502,0.0214717238289054
"0610039K10Rik",0.0269945652342862,0.037173691795384,0.056578071571258,0.0345039891943806,0.025441692683589
"0610040B10Rik",0.141027504016011,0.0406220928697128,0.0333771321567384,0.0446882071285875,0.0284215269403952
"0610040F04Rik",0.0327702335926824,0.030635782277713,0.0649768430778659,0.0329228034626714,0.0191225810138961
"0610040J01Rik",0.0333687377301786,0.0311389245543066,0.0972639601034666,0.0553620789726988,0.0293642125348994
"0610043K17Rik",0.046914743947599,0.0930022477928799,0.0404917380417621,0.0338963519551262,0.0292530669294543
"0910001L09Rik",0.0378080022322065,0.0347332163978364,0.0370228215416473,0.0230083771380101,0.0121394078204283
"100043387",0.0643510782392351,0.0314008760966649,0.0104775936296556,0.0305188605487069,0.0192966074645729
"1010001B22Rik",0.0158714838625756,0.0416231242195511,0.040868739284952,0.0316566423980254,0.0196843498429352
"1010001N08Rik",0.0581879554151012,0.053391308619354,0.0493214450990763,0.0389946449976478,0.022825333362439
"1100001G20Rik",0.263341659662304,0.0573404783284158,0.0274911837575137,0.0797047222807846,0.0367428605917998
"1110001J03Rik",0.0604904581991441,0.0551983089788463,0.0384864725466939,0.0477562971125755,0.014472362466993
"1110002B05Rik",0.0696163426357729,0.0450914853663213,0.0275640122180736,0.0239782102560996,0.0214093381469049
"1110002E22Rik",0.0578533953061488,0.0490218046623401,0.0917993264764663,0.190239965214648,0.0810530311552961
"1110002J07Rik",0.0344108719495127,0.0382148985380674,0.113743569987228,0.0350251558405539,0.0305235127349999
"1110002L01Rik",0.0521984285648677,0.0146365018200113,0.0186095788512786,0.0217465301371359,0.0159917435863398
"1110002N22Rik",0.0655429673706481,0.0311738990825301,0.0530307169485347,0.0595813409599899,0.0246453909515367
"1110003E01Rik",0.0483681962412855,0.0280082799691883,0.0239018456891917,0.0190890737187446,0.0110762111114318
"1110004E09Rik",0.0274887529024643,0.0135335292840031,0.0373857804374134,0.039024955660347,0.0199206981373892
"1110004F10Rik",0.0113029971293338,0.00806503784849957,0.0169938228000036,0.0132099189144685,0.0108722946975649
"1110005A03Rik",0.0414569549597002,0.0104395406786065,0.0296754143864237,0.043347845587916,0.0197432688910462
"1110006O24Rik",0.0383482628797039,0.0436140103084247,0.0533825391950797,0.0350554451195392,0.0254042719978566
"1110007C09Rik",0.0269204746787413,0.0161100939649245,0.0211163421603795,0.0165454905647434,0.01521654675337
"1110008F13Rik",0.0439208168782278,0.0166419736488187,0.0124271882790894,0.0389527069307716,0.0175904475488881
"1110008J03Rik",0.0203530482926266,0.0244300455512575,0.0451633265062855,0.0397855826570275,0.0155955472620853
"1110008L16Rik",0.0650403789214149,0.0187101270241208,0.027080833836561,0.026432536621333,0.0244371250330003
"1110008P14Rik",0.068095790260409,0.0455439049417417,0.0230803242939579,0.0413834880539741,0.0171429562878177
"1110012J17Rik",0.0670217221733596,0.0260570081777389,0.0504304057188001,0.0221773905206465,0.0212733084918037
"1110012L19Rik",0.0359982379808,0.0188416986529048,0.0236008131143315,0.0280342981224973,0.0229511731637688
"1110014N23Rik",0.0298560439298428,0.01988514268565,0.0506152605325872,0.0189961411373463,0.0195457993379494
"1110015O18Rik",0.0340371221791519,0.0410712763397215,0.066820489205684,0.0581174259511785,0.0306001438918544
"1110017D15Rik",0.0373555048766607,0.0245974468452952,0.11097280011062,0.027123293379912,0.0244944783483087
"1110017F19Rik",0.0572076715817666,0.0481816413544433,0.0532851570900796,0.0368092844656519,0.0238689287818852
"1110018G07Rik",0.0190245172341702,0.0361398500350716,0.0267658724969562,0.0167418951144483,0.0154111726253137
"1110018J18Rik",0.0145662250285811,0.0231045187757661,0.0164488593666207,0.0188734122381608,0.0196506602291724
