"","GSE33684","GSE113808","GSE104128","GSE97910","GSE70857","GSE62324","GSE57659","GSE39313"
"0610005K03Rik",0.0724626281821066,0.373375644985229,0.044772864069505,0.0350848103130383,0.00758722548323284,0.29863482061132,0.105838114149467,0.00459426809755026
"0610006F02Rik",0.163005142849692,0.460746091662252,0.256653953749294,0.323678891300246,0.0466154756683646,0.135021858782954,0.116080203316738,0.11903029084671
"0610006I08Rik",0.0629203320804762,0.369057613541684,0.130827576735866,0.303373530992779,0.0384778003003144,0.165600908438777,0.0275353209809656,0.0334004445081972
"0610006K04Rik",0.128806760106925,0.475718546661222,0.191510354064767,0.111242654281971,0.0212249716228454,0.131383868135851,0.0537573106346596,0.0122565839969737
"0610007C21Rik",0.0545062128769735,0.13467369463964,0.144949004710803,0.199289610587929,0.0137500080755565,0.0509780409529738,0.0274696648890396,0.0374403836415218
"0610007H07Rik",0.101406884869963,0.092968742368271,0.368081340255798,0.186302345598779,0.0337738837743849,0.0663382170120418,0.0165456186141492,0.0214097754631783
"0610007P06Rik",0.131504858873463,0.13344152266365,0.137208234528272,0.188962803876066,0.0337332673142029,0.130036390573212,0.0276676765126883,0.0865891758825462
"0610007P08Rik",0.0887014055342708,0.225711979960464,0.0704183634026366,0.0265013357602015,0.00647745666233009,0.138158685723982,0.0575132635279697,0.00142264207861244
"0610007P14Rik",0.0971383082482408,0.245615254426015,0.291552406248481,0.197065365030898,0.0239895792373484,0.0902977908880728,0.0324745369912425,0.0622371819554498
"0610007P22Rik",0.175613733048944,0.213903798297651,0.0783029699373743,0.0677469088588346,0.0162291730778478,0.110691133544336,0.0380868152626041,0.030896048130898
"0610008A10Rik",0.0964227642291928,0.571649522340806,0.037434980882899,0.0257145309556158,0.00677155711136126,0.281622852820508,NA,0.000703047161921278
"0610008C08Rik",0.0834071707322372,0.185216292230679,0.0503585476818554,0.0680957888645862,0.0151786325292274,0.247414420484095,0.0697453755695554,0.000918582824969329
"0610009B10Rik",0.089497512539492,0.232189664551091,0.102952319534402,0.0314793506365663,0.0108868313582918,0.179885150575947,0.078528098703623,0.00195654491026158
"0610009B22Rik",0.130172428673721,0.185144982719498,0.51738326898954,0.205528407699617,0.0411418524850789,0.223149972713076,0.0520586883198442,0.0344953899843453
"0610009C03Rik",0.0592958975526447,0.183041533927857,0.0333497210413446,0.0194171341691555,0.00431426804329282,0.170150451655225,0.0632194866380826,0.000864701193006931
"0610009D07Rik",0.0872639234197604,0.219714416381868,0.0295684278980981,0.0387591011118287,0.00583850336621876,0.131345977752257,0.0538134696860446,0.00145115764828987
"0610009E20Rik",0.07176581474146,0.148218518860913,0.159679050309778,0.372326623965061,0.0407973989809953,0.156323706027261,0.0239399443592387,0.0245874891440329
"0610009F02Rik",0.112353988773799,0.199113630569988,0.115021622528283,0.284067946465796,0.0538156944913237,0.194668736162373,0.0358792643830385,0.0603448300400207
"0610009I22Rik",0.100789732076333,0.274316750884742,0.30433132392993,0.419150369947345,0.100954589082543,0.0805769488936371,0.0571566140684712,0.0829224597290983
"0610009J22Rik",0.0788096250196312,0.222952904681009,0.125219357420842,0.0760549753104498,0.0108648040489016,0.107157727530984,0.042066805934172,0.00333820620896355
"0610009K11Rik",0.243254067646901,0.317643427274709,0.412184662638321,0.295836210381984,0.0669907812578695,0.227961805132758,0.0503627074554916,0.0192193996309264
"0610009M14Rik",0.171276059045464,0.255540894827084,0.368717815366959,0.1704737810612,0.0200858697059603,0.188245134241692,0.062982477764181,0.00703898840522074
"0610009O03Rik",0.112314476813722,0.179963678601636,0.112096085318588,0.310077820487918,0.0212283869059631,0.165001944588276,0.0378295948263018,0.0135136089787098
"0610009O20Rik",0.0725557803478255,0.325619933900235,0.127801710576863,0.174123296627919,0.0233353098503486,0.160634059029076,0.0373917573003291,0.0253038713084915
"0610010D20Rik",0.104056664782717,0.201814537954496,0.110718536162415,0.0407375623784006,0.00950957587570016,0.198576734831221,0.0540215114090128,0.042457262038295
"0610010D24Rik",0.0858925156184486,0.291764700056078,0.0521054775527991,0.0257898772972136,0.00724656027687324,0.239839061867721,0.078409308530595,0.00110309828790518
"0610010E21Rik",0.0837834465880286,0.306330798439243,0.163463285581126,0.379777269006876,0.0623907826681647,0.118899960491622,0.0372635839704982,0.0337852530008793
"0610010K06Rik",0.108212674628993,0.273094310436236,0.192767937985646,0.239147281443037,0.0231712335036925,0.0872930958520982,0.029787400141503,0.0432136011951201
"0610010K14Rik",0.0679687070554188,0.368883669700294,0.15035086186044,0.0910023660934147,0.014448294414361,0.0895137672348938,0.0416675475870071,0.00685975505063419
"0610011B16Rik",0.0808368959743172,0.101396258244985,0.0658865837868719,0.0378693344332597,0.00801279000981854,0.207476758679979,0.0575654655127501,0.00219479534478384
"0610011L14Rik",0.0773187192009818,0.185992853089823,0.0403791529085478,0.0235621466683912,0.00506666248025492,0.152782124724487,0.061828828934843,0.00106964774381438
"0610011N22Rik",0.120626481113158,0.290914735945774,0.0995622352579319,0.0968084529520674,0.0132957027124972,0.111722977383586,0.0383890173617028,0.00903272847248164
"0610012A05Rik",0.0765930043609818,0.17629686132102,0.0289189161385901,0.0162755155130893,0.00430863817774971,0.121256769192182,NA,0.000772379087632826
"0610012A11Rik",2.23117720285128,0.207058270369749,1.8822463075882,1.74084465670355,0.198520538633751,0.275203881067025,0.193953008858374,0.110712296026114
"0610012C01Rik",0.125086784178594,0.121154984242231,0.455043828243672,0.0361529865020472,0.0192147744973106,0.287057898873325,0.0738539418591078,0.00928956064698453
"0610012D14Rik",0.152859440221941,0.203085731255255,0.0548149199909372,0.0769186250591034,0.0066122751404954,0.275802404112665,0.0582513975453334,0.052347509026784
"0610012D17Rik",0.116922403552698,0.403609251160018,0.300698105369843,0.2635447067231,0.0352180982213824,0.149348330151454,0.045225735227448,0.0531718573242191
"0610012G03Rik",0.0845756947359363,0.264904627407325,0.180646321014188,0.424852146037302,0.0718947189506025,0.108425173789395,0.0311611121428115,0.0533966152417789
"0610012H03Rik",0.0371380581438507,0.231167871341287,0.283747572783503,0.0221161096235141,0.00668275804848168,0.16228128284627,0.0775690623845492,0.01524929212983
"0610012K18Rik",0.153414817338367,0.23318025504237,0.0371983976848567,0.0266637542385582,0.00644982794265427,0.242479137719994,NA,0.00107209863307422
"0610013E23Rik",0.145917039265952,0.359072754972331,0.0763884920902321,0.0354233100330396,0.00823490255581031,0.257188465687975,0.0831578021840711,0.00154206551553391
"0610025L06Rik",0.105995314814936,0.604631349145411,0.0747772576242424,0.0568047450622698,0.00613677537979001,0.185475057975082,0.111169613951647,0.000975127118106147
"0610025O11Rik",0.0915422749503716,0.271506979393869,0.0404820946963786,0.0191676756480011,0.00768063046170974,0.141434190030384,NA,0.000851358710890403
"0610025P10Rik",0.109115882967731,0.368202364843559,0.0820992281655498,0.0844635471822667,0.0164633501045312,0.152090601304038,0.0453518770901108,0.00282278656156315
"0610027B03Rik",0.0786629029808957,0.1889998501727,0.0468149071694284,0.0157215597317097,0.00631944464719014,0.167902222871533,0.0652039369215128,0.000871982355331737
"0610027O18Rik",0.109559444007948,0.32456928054314,0.146334911889743,0.201552034258191,0.0189601226010143,0.0943174794446896,0.0298188922332867,0.018755493577854
"0610030H11Rik",0.0990655164684783,0.273276493594752,0.134718996097159,0.037791132711229,0.00813580109549668,0.140590585080768,0.0477547979678424,0.00167664559080871
"0610031J06Rik",0.134180726061357,0.299194634637684,0.159636543718966,0.260099896176599,0.0206261101955731,0.0900759557597336,0.0326256608326854,0.0237880768657585
"0610033E06Rik",0.0545912622336642,0.265751867531248,0.0394140188816706,0.0148142665629875,0.00548662975464288,0.310648590423792,NA,0.000704275356923001
"0610033H09Rik",0.112165944529598,0.214355714228053,0.173707549642341,0.28381596340816,0.0277397646970949,0.0662319803602133,0.0186440983299498,0.0194395823600756
"0610034P02Rik",0.103327488619957,0.229087799022349,0.0934700030759783,0.065600227926807,0.00990885242996509,0.115983289782925,0.0520603928101435,0.00402885846848533
"0610037D15Rik",0.0885832782782347,0.187069051109892,0.119612284440847,0.0549228434342402,0.0105793470374993,0.153596420235559,0.0660887656564223,0.00156464219248036
"0610037H22Rik",0.134240015830904,0.147527493633571,0.0854478710556847,0.0780195615288521,0.0123771582568906,0.186032566703738,0.0588470698506506,0.00218391240180415
"0610037L13Rik",0.0747036061577437,0.12499405932258,0.0974322450648266,0.110228979809869,0.0152714865767502,0.084482396546405,0.0257859118162443,0.012719696938629
"0610037P05Rik",0.0739305244620593,0.402276073010429,0.0417371862821372,0.0195738509607644,0.00612482900830149,0.320758941590671,NA,0.000785265315419646
