"","ranking","median","mean","sd"
"Atp6v0c",1,0.0225562444684808,0.069127884946587,0.0702676868016355
"Rps2",2,0.0226684537021606,0.045925857372588,0.0514380778561099
"Uba52",3,0.0238518819257716,0.051855807623792,0.064944956532088
"Mrfap1",4,0.0260266363361557,0.0486498937543206,0.0477039195677439
"Stt3b",5,0.0262966340593206,0.0714244759031407,0.073928750874686
"Slc35e1",6,0.0264246236466213,0.0748316129905961,0.0700337923290674
"Irf2bp1",7,0.0264920916742323,0.0851612590495979,0.0940913151708779
"Ppia",8,0.0269093707092998,0.043819790000518,0.0444624569565006
"Srpr",9,0.0277382903441364,0.074961220086098,0.0812347967645345
"Akr1a1",10,0.0288835161682455,0.061641851989433,0.0639976303666842
"Golga7",11,0.0290071878519011,0.0589114279380675,0.0562440112166401
"Klhdc3",12,0.0292844264494565,0.0831075401529586,0.102363653562961
"Eef1a1",13,0.0294063692274679,0.0421830778191578,0.0565481119279018
"Arfgap2",14,0.0295057795315315,0.0947647465068605,0.106655360642883
"LOC101056240",15,0.0296792684302931,0.0552037931586045,0.0576346204631818
"Arl1",16,0.0297792579123109,0.0778256227279639,0.0895070822192526
"2510003E04Rik",17,0.0299307099145543,0.0658494149142664,0.0642673263054807
"Copb2",18,0.03038857871414,0.0596628262038353,0.0580274783679848
"Rac1",19,0.0304270601346509,0.0772604071530953,0.0770536205712997
"Sdhaf2",20,0.0308062931393615,0.0737335724640322,0.0743753285323915
"Wdr48",21,0.0309860416909483,0.0864936581476668,0.129525169784087
"2900060N12Rik",22,0.0310192678857439,0.107645810471054,0.126961808581619
"Ctbp1",23,0.0312013833272611,0.062470341043562,0.0631005822487949
"Ensa",24,0.0313152818077486,0.0703514162132147,0.0672172505639815
"Ssr3",25,0.0317021701081468,0.0504897419365599,0.0501898918508059
"Txndc15",26,0.0317190168618576,0.0817015781698743,0.090608906435954
"Fbxo7",27,0.0319149684377786,0.0697673708435609,0.0666735194100699
"Zc3h14",28,0.0321723162178715,0.0912976000705119,0.121549168311013
"Sirt6",29,0.0323870225115179,0.100584283321377,0.116294676442651
"Gm5451",30,0.032408830269363,0.0514177604171905,0.0551543742161666
"Tpt1",31,0.0325632031575346,0.0436620120681008,0.0644918289224386
"Csnk1a1",32,0.0325986374436855,0.0643411270865147,0.0544684551822324
"Gm1821",33,0.0327046875841042,0.0635830955332266,0.0792809622631055
"Dock6",34,0.0329771866522466,0.116365369325326,0.16553144192371
"Riok3",35,0.0330582756903094,0.0703372420631164,0.0622285478984445
"Gm9769",36,0.0331234981010196,0.0687697555429604,0.0635986697405909
"Fam3a",37,0.033161945531628,0.0818877365873028,0.0892747191440512
"Drg1",38,0.0331780526078046,0.0824815322943839,0.116630795630416
"Rab7",39,0.033365174230236,0.0561528913714146,0.0514254218753051
"Golph3l",40,0.0334470589432179,0.0909729811931071,0.110174538748375
"Ywhaq",41,0.0335118511899615,0.0668911971957399,0.0660562538218783
"Tbccd1",42,0.0337049277540508,0.0802883389010697,0.0746631312492959
"Bnip2",43,0.0337274140855652,0.0765990999731547,0.0690118223615632
"Slain2",44,0.033736387285732,0.0820960483337343,0.0776681965159416
"Alg10b",45,0.033826670074699,0.0856605632650709,0.0819415077610054
"Gm7544",46,0.0338656731972106,0.165566402255543,0.215995962399342
"Gpkow",47,0.0339056202837435,0.0667736029908461,0.0537065971168388
"Tomm20",48,0.0340985515613107,0.0734864027706051,0.0702505656425705
"Rltpr",49,0.0340987557060048,0.137830128069098,0.177135699149485
"Ddx3x",50,0.0341661987822824,0.0721688632062724,0.0718281610410087
"Ggps1",51,0.0341972940542788,0.0759224219674502,0.0645988718346662
"9430083A17Rik",52,0.0344565277653844,0.114131725673786,0.137738986698396
"Sf3b4",53,0.0344821073569402,0.0677322390597788,0.0709060632377925
"Polb",54,0.034745616248647,0.132742133477813,0.164736832238114
"Actr5",55,0.0348068410607154,0.0818388998582154,0.0840751069300182
"Zdhhc12",56,0.0349369145874533,0.151664629250403,0.226940929824391
"Ywhae",57,0.0351618578677639,0.0661805440792075,0.0663506100483688
"Ikzf5",58,0.0351961622915054,0.0714199846976933,0.063501413472451
"Hmgn1",59,0.0352190659867154,0.0913717731050804,0.115607106922191
"Rbbp7",60,0.0352230174660994,0.0940213402462361,0.0993303762049361
"Rbm41",61,0.0352648603421956,0.0747904921891797,0.066671204227216
"Atxn7l3",62,0.0353873082324388,0.0927799073874321,0.098563779598807
"Rplp2",63,0.0353884869261129,0.0535670600556794,0.0604108614326031
"Gm10420",64,0.0353955808580329,0.0532892682763823,0.0519752735993839
"Ubc",65,0.0354034823071091,0.0757186456867518,0.0821897912404956
"Sar1a",66,0.0354204652728569,0.0726664378448988,0.0724583085110782
"Myl6",67,0.0355043417453108,0.1087035647473,0.103523406807489
"Gdi2",68,0.0355081127572662,0.0516489617849177,0.0533609269430422
"Surf2",69,0.0357605194999475,0.0721678136381875,0.0734463929178923
"Golim4",70,0.035766304403721,0.080053464584973,0.075903760920938
"Idua",71,0.0358045512624098,0.0836659629136928,0.108549821421169
"Vps35",72,0.0358107906732334,0.0644784073519502,0.0554007234159144
"Rfwd2",73,0.0358444784767717,0.0727126346058905,0.0696749250034657
"Zfp444",74,0.0362906945597453,0.0788126430455349,0.0905138029567171
"Smarcad1",75,0.0364058351510187,0.0742010674835785,0.0741917945543173
"Gm6851",76,0.0364160621524807,0.097833828735996,0.102525119680342
"Wdr11",77,0.0364503077731206,0.0808404031456928,0.079367521487826
"Oaz1",78,0.0364558353681664,0.0510033103750488,0.057867505434633
"Tmem198b",79,0.0365410870820597,0.0731509128098739,0.066720329299418
"Eif4h",80,0.0365524658983998,0.0516797466793918,0.0504896292036809
"Chmp5",81,0.0365722900345553,0.064171958883112,0.058806951675478
"Inpp5j",82,0.036599152667878,0.0956079525373476,0.107306564200385
"Ier3ip1",83,0.0366007797693459,0.069417659416849,0.0632729493331118
"Rpl31",84,0.0366193955662149,0.0585896068024187,0.0637937882769347
"Smu1",85,0.0366866281781097,0.108431900735138,0.148854614789927
"Nacad",86,0.0369550464428259,0.154594146505506,0.222617173025246
"Map2k4",87,0.0369813651830405,0.0857027411653823,0.0838281185516447
"Dvl1",88,0.0370231837548537,0.0956659446952131,0.108471051590882
"Chmp7",89,0.0370794389891259,0.099867427494808,0.133815584963925
"Trpm2",90,0.0371172314570828,0.102011470750443,0.130210164323437
"Klhdc2",91,0.0371249035009606,0.0908858529598649,0.0911454748147297
"1700063D05Rik",92,0.0371341718864889,0.286235339799881,0.722072573642665
"Ypel5",93,0.0371953941009153,0.0920558228534983,0.0916291037113641
