"","GSE118876","GSE104955","GSE87661","GSE79711","GSE60150"
"0610005C13Rik",0.0168539325842696,0.0288903943463415,0.033497897450878,0.0304861551143086,0.0187449062754686
"0610007C21Rik",0.0316185141509435,0.0204759236814623,0.0081504593881634,0.0250338722462449,0.0109536082474226
"0610007L01Rik",0.0491548042704625,0.0240540155548832,0.0212965704605984,0.00710244824898228,0.00700692041522483
"0610007N19Rik",0.0979591836734695,0.03371985816748,0.0174139725705645,0.0368739939004102,0.0189948892674617
"0610007P08Rik",0.0503563390847712,0.0117410168013325,0.0154860881629681,0.0188217409694172,0.0168510197027308
"0610007P14Rik",0.0359621451104103,0.0125647809565947,0.0448072946798492,0.0244786958425467,0.0185185185185186
"0610007P22Rik",0.0229064039408867,0.0196476243741948,0.0606291057543622,0.0232715480308109,0.0148581288343558
"0610008F07Rik",0.0386560693641619,0.0257184424957639,0.0395565872376712,0.0126410628573444,0.0172027165556124
"0610009B14Rik",0.0234908883826878,0.0200770075836608,0.0331050307732311,0.0155745896723521,0.0174304739522131
"0610009B22Rik",0.070818345323741,0.0351368189254675,0.0427117357150732,0.0308380251048714,0.0209064474080015
"0610009D07Rik",0.0104308005427408,0.0134752269614069,0.0235727614770761,0.0137750754140099,0.020503823190531
"0610009E02Rik",0.0342857142857142,0.0414312875615615,0.0543231267215035,0.0430352933351417,0.0206645056726095
"0610009L18Rik",0.0440340909090909,0.0266639845622519,0.0375589494860029,0.0236846887978791,0.018603626290607
"0610009O20Rik",0.0187760778859528,0.0148327415398918,0.0259774194054928,0.0136518717594983,0.0129586488060571
"0610010B08Rik",0.0729878048780488,0.0206364768129473,0.00998217243428443,0.0177657506347863,0.0127377318619394
"0610010F05Rik",0.0927835051546392,0.0180195291835656,0.0130383359751141,0.0390636235447629,0.00914285714285715
"0610010K14Rik",0.0257299270072994,0.0217687675542664,0.024614124982355,0.0151734290979578,0.011205600451043
"0610010O12Rik",0.0446290571870168,0.0194713818689852,0.0240137439808055,0.028151173496295,0.0153410860762123
"0610011F06Rik",0.0198821796759942,0.0187914571343164,0.0350317543372383,0.0237779229124588,0.0156390302304699
"0610011L14Rik",0.0217121588089331,0.013995961917062,0.0281003762404551,0.0198321558252076,0.00928055190538761
"0610012G03Rik",0.0653248587570621,0.0439920290783923,0.0460172611410725,0.0452373577358089,0.0217421505973882
"0610012H03Rik",0.0613101903695408,0.0114459366132884,0.0286160003230024,0.0310897573729884,0.020902514231499
"0610030E20Rik",0.0172803617571058,0.0107045638406625,0.0299324970811615,0.0137011523380423,0.0134384304551255
"0610031J06Rik",0.0301177536231884,0.0239593526384783,0.0237704235969026,0.0162091143103134,0.0110332980972516
"0610031O16Rik",0.0248940677966101,0.048227349004287,0.0660701620545586,0.0307295683159317,0.0198974609375
"0610037L13Rik",0.0278620166793026,0.0129756780852631,0.0292894139147331,0.00770360400347505,0.00910628980891719
"0610037P05Rik",0.0795298558682224,0.0228489760627166,0.00683161055549335,0.0136727627137003,0.0266901408450704
"0610038B21Rik",0.0342592592592593,0.0269848058061745,0.0445586022812319,0.0302204733749225,0.0207464553794829
"0610038L08Rik",0.0382387022016222,0.01859587502291,0.0715760734079528,0.0165740605553061,0.01728515625
"0610039K10Rik",0.022125567322239,0.0259905881902931,0.0340421113715494,0.0251579423550516,0.0206496519721578
"0610040B10Rik",0.190940366972477,0.0394431145346279,0.0436006358785138,0.0348349604600644,0.0297520661157026
"0610040F04Rik",0.0260968229954615,0.0380771863373338,0.0634552136890877,0.0308222598706008,0.0212532201848764
"0610040J01Rik",0.0324074074074075,0.0374966175481086,0.022314913147712,0.0341852908273044,0.0346935769004125
"0610043K17Rik",0.0444444444444445,0.0761611788813767,0.0358696963123462,0.0234647498497458,0.0198283858998144
"0910001L09Rik",0.0462253829321662,0.0332128654780144,0.0469606439188188,0.0233533155381983,0.0103392096248642
"100043387",0.0808928571428571,0.0317939438366736,0.00969288011718212,0.0251062897175516,0.0203815443244715
"1010001B22Rik",0.0122243528283795,0.052291142433247,0.0361606172113228,0.0229290682824534,0.0155385520894644
"1010001N08Rik",0.079719387755102,0.0354145328843272,0.0499413320024635,0.0356472563366556,0.0216327070653612
"1100001G20Rik",0.367857142857143,0.0573315892585418,0.0196673829177156,0.0612968996884878,0.0401745410773398
"1110001J03Rik",0.0731209150326797,0.0442428913951428,0.0333159175627178,0.0239694146131589,0.0120601440952281
"1110002B05Rik",0.0611285266457681,0.0321764299703489,0.01905115709558,0.0278658934598484,0.0230755732335049
"1110002E22Rik",0.0751718213058419,0.0496813809815859,0.125048602143126,0.203817306444242,0.0727848101265823
"1110002J07Rik",0.0437176165803108,0.0377658849425931,0.152617109154571,0.0218886733042447,0.0307156200603535
"1110002L01Rik",0.0583619948409286,0.00731557733196515,0.0199072468260654,0.027491095826525,0.0151252304022552
"1110002N22Rik",0.0783073929961089,0.0281128991825228,0.0471316600982305,0.0569165709188122,0.0245052113830661
"1110003E01Rik",0.0679972936400541,0.0165126273669103,0.0323792562718644,0.0224946285394867,0.0114745635442088
"1110004E09Rik",0.00950972104818272,0.0103483427485227,0.0419393489220325,0.0295111296427435,0.0141010575793185
"1110004F10Rik",0.0104639844256975,0.00747323807151669,0.0195102231747786,0.0153416815319527,0.00835358444714455
"1110005A03Rik",0.0438799076212472,0.0141529917194169,0.0361640567403662,0.0498789965801845,0.0159123055162659
"1110006O24Rik",0.0315159574468085,0.0246750448236086,0.0712398767232754,0.0403779489338304,0.0226956521739131
"1110007C09Rik",0.0265392781316349,0.00802921405431282,0.0284949149595805,0.010974095332429,0.0142822966507177
"1110008F13Rik",0.0376927470017133,0.019478618274293,0.0121567414823977,0.0273561743778078,0.0206291495415744
"1110008J03Rik",0.0224929709465792,0.0279757679510463,0.0558815951155356,0.0187032920632091,0.0171671178931824
"1110008L16Rik",0.0691056910569105,0.0142276887990894,0.0309624819826196,0.0322851654573551,0.0236572890025574
"1110008P14Rik",0.0944839857651244,0.0476289328103547,0.0228211454738803,0.0392337162631798,0.0155319699715247
"1110012J17Rik",0.0636363636363637,0.0237907750931704,0.066627529766655,0.0170635695769201,0.018403767505267
"1110012L19Rik",0.0345092024539876,0.0171776467525081,0.0238337037951432,0.0254906708135312,0.0183628460014064
"1110014N23Rik",0.0240604949587534,0.0167508055290255,0.0693738965879327,0.0159445302629256,0.0163135833238926
"1110015O18Rik",0.0396281800391389,0.0355160297560907,0.0374274363452338,0.0560912015694965,0.0272096745509514
"1110017D15Rik",0.0472972972972972,0.0247865980226842,0.067639570051014,0.0267800828794079,0.023893976525216
"1110017F19Rik",0.0643217488789238,0.037106766889485,0.0383053562526955,0.0380127095780343,0.0269252428551316
"1110018G07Rik",0.0176674364896074,0.0294946648626798,0.0167817078509867,0.00806384734021477,0.00895582329317265
"1110018J18Rik",0.0102292513058618,0.0206499198108409,0.0162220598950762,0.0170991279876029,0.020637497863613
"1110019D14Rik",0.122830802603037,0.0650008878963322,0.0580760612973322,0.0410841623303857,0.0187195806813928
"1110020A21Rik",0.0252707581227438,0.0341803005666625,0.12080399016784,0.0258519612620296,0.0177919708029198
"1110020C17Rik",0.0542704626334519,0.0454222619877114,0.0348752189120449,0.0201812078103672,0.0252466627974463
"1110021J02Rik",0.0124999999999999,0.0188270176701459,0.0297981403494907,0.0149866987154885,0.00993740219092337
"1110021L09Rik",0.238370201691607,0.0833168306046339,0.0454404546933274,0.0588543951013064,0.00940799566826094
"1110025L11Rik",0.0332131822863028,0.0163715933170217,0.0281639747653002,0.0599972475457282,0.0265807830783078
"1110028F11Rik",0.069128787878788,0.0243537223033297,0.0562738054804159,0.068305117854483,0.0264460253634396
"1110028F18Rik",0.0392857142857143,0.0408637831043055,0.0987762066454463,0.0268265490934439,0.0341398621481907
"1110031I02Rik",0.0809496567505719,0.0286825934990856,0.0193505871632992,0.0297891330482612,0.0112833896223517
"1110032A03Rik",0.140167682926829,0.0309270660667773,0.0130223190059416,0.0320231101822419,0.0362614913176711
"1110032A04Rik",0.0298780487804877,0.0208292862439088,0.0528890598702304,0.055762914302777,0.0303391626921039
"1110032F04Rik",0.0254607177497576,0.0238915703833716,0.0641643493217274,0.0223721889194269,0.0117464680687847
"1110034A24Rik",0.0137385512073272,0.0127977918178509,0.0282133557502802,0.027045562496981,0.00655475619504388
"1110034B05Rik",0.0734817813765183,0.0208388824913634,0.0371505507706716,0.0178444350547904,0.0207644981200866
"1110034G24Rik",0.030072463768116,0.0161540246784008,0.0816206516398844,0.0180157959072171,0.0159648714667907
"1110035M17Rik",0.0376521298174442,0.0319878623575598,0.0558133153677297,0.0165700632331415,0.0241643173580347
"1110036E04Rik",0.0514018691588785,0.0313091973420527,0.0710580048731817,0.0328922946170103,0.0281660313426514
"1110037F02Rik",0.0462072649572649,0.00925029495861208,0.0076932695209761,0.0128533462874232,0.00890481064483109
"1110038B12Rik",0.057076813655761,0.0381219145182572,0.035015475720246,0.0113415701086145,0.0168307086614173
"1110038D17Rik",0.0532467532467534,0.0363580872116184,0.0711163176409218,0.0483601412996225,0.0308638823649546
"1110038F14Rik",0.0131140716069941,0.049135341943415,0.0120297762521254,0.0193131280008845,0.0099201824401368
"1110046J04Rik",0.0618668596237338,0.0560421244077079,0.0269272607459019,0.0538542812164191,0.0242494226327945
"1110049F12Rik",0.0485557768924303,0.0184903745540274,0.0650882869964556,0.026538630897944,0.0155007949125597
"1110050K14Rik",0.0523049645390071,0.0440829751284296,0.100255992893186,0.0293984342537431,0.040126050420168
"1110051M20Rik",0.0993788819875776,0.0176136228793274,0.0398916068700446,0.0137398904113483,0.0304277381723914
"1110054O05Rik",0.0526129943502826,0.0172967953189103,0.0444392388320542,0.0722004859753062,0.0242764030048607
"1110057K04Rik",0.129001883239171,0.0279307452127798,0.0103166092485124,0.0195021589121378,0.0168183524113343
"1110058L19Rik",0.093459152016546,0.0279261701350803,0.0287100443621658,0.0446674587247454,0.0335109819121448
"1110059E24Rik",0.0195227765726681,0.0193632597135866,0.0226094855004336,0.014620568569832,0.0141137510513036
"1110059G10Rik",0.049291237113402,0.0190702876876514,0.040825718684696,0.0274277434565259,0.0138116747741488
"1110059M19Rik",0.0933042789223454,0.119169677981609,0.0646095603710024,0.134701143738998,0.0459652706843719
"1110067D22Rik",0.0752583979328166,0.0183393540834445,0.0399930771565132,0.0351521221764277,0.0230986246620429
"1190002F15Rik",0.0661764705882351,0.0650148695914206,0.0744340791648895,0.0408673907179748,0.0271827000808408
"1190002H23Rik",0.268887362637363,0.0317572029925307,0.0138201184700659,0.0708663668242109,0.0207087959009394
"1190002N15Rik",0.0291238767650835,0.040361695291287,0.012380634404615,0.0234147247595528,0.0157120891793196
"1190003J15Rik",0.0392778390297684,0.0289858680240579,0.0318788418287383,0.0139564723331166,0.0170717999156948
"1190003K10Rik",0.0109416445623342,0.0448043525563875,0.0647033935018051,0.0261934471447483,0.0233192251342992
"1190005F20Rik",0.0561974789915966,0.0194898267853659,0.0155490340554671,0.0111413378597806,0.0130550885174562
"1190005I06Rik",0.12390590809628,0.0263226992665526,0.0408705899056456,0.0262707821130075,0.0253489531405783
"1190007F08Rik",0.0355839416058394,0.0143793915457388,0.0455279621276286,0.0362769155822657,0.0190896176157215
"1190007I07Rik",0.0287661737523105,0.0375810538089817,0.0381981637337415,0.0414960224274462,0.0303872355683041
"1200007C13Rik",0.183014354066986,0.0459377162511803,0.0420005149304894,0.0252306251091599,0.0223791128280272
"1200009I06Rik",0.0485315186246417,0.0206223371322102,0.049682485277673,0.0282655375759354,0.0227868238817143
"1200011I18Rik",0.0242109038737446,0.0138330499075786,0.0376927324004707,0.0114005487181075,0.0162282562579551
"1200011M11Rik",0.0330645161290321,0.0185861498741182,0.0459362095795911,0.0130484711949312,0.0208545918367347
"1200014J11Rik",0.0142648134601317,0.0177852302173878,0.0375141172213655,0.0106056854589911,0.0146420824295011
"1200016B10Rik",0.108991825613079,0.0141118824875363,0.0225889528376464,0.0232428427941119,0.0190685022760075
"1300001I01Rik",0.181804091754495,0.0412101366742597,0.0161744550398822,0.0304399398068015,0.0147433973589436
"1300002E11Rik",0.0902578796561604,0.0361620525782064,0.0286980991899746,0.0127326580332319,0.0238862172216678
"1300002K09Rik",0.0345092024539877,0.025155015237668,0.0260837400128461,0.0125740876615098,0.0169200588523785
"1300010F03Rik",0.106858846918489,0.0264675825767184,0.00893679737240445,0.0231464617060239,0.0108769544527532
"1300014I06Rik",0.0395029673590504,0.0214757216985667,0.0287766269148521,0.0226983457100912,0.0290945076694705
"1300015D01Rik",0.254732739420935,0.0388783933689588,0.0750161150807328,0.056785995349035,0.0452026324904745
"1300017J02Rik",0.0342592592592591,0.034332141843852,0.0665138550625397,0.0230936027387093,0.0132154077311843
"1300018I17Rik",0.0159185803757829,0.00936830097410431,0.0269852485193764,0.00679684336660964,0.00757894736842106
"1500001M20Rik",0.0144230769230772,0.0154974809807861,0.0450592069028824,0.00776118312687772,0.0117767261776725
"1500002O10Rik",0.0227765726681128,0.0314476476717012,0.0348441392201492,0.00729371077030372,0.0225759467332502
"1500002O20Rik",0.0395833333333334,0.0192717943962222,0.0327514946500856,0.019581621863217,0.00844908673301977
"1500003O03Rik",0.068271119842829,0.0180222353096654,0.0357844387439275,0.035666987472135,0.0151139742319129
"1500009C09Rik",0.0466738197424893,0.0234241542182442,0.0585011937699858,0.0279173082262666,0.0310496794871794
"1500009L16Rik",0.093143203883495,0.0225174036705065,0.02402179669373,0.0245580138588258,0.0205281090289608
"1500010J02Rik",0.028927813163482,0.0338537989610731,0.0374261847954111,0.021967364969864,0.0212398679075352
"1500011B03Rik",0.0544900722021662,0.0448259348456759,0.0431279749757038,0.0257093642210158,0.0285186375321337
"1500011K16Rik",0.179373996789727,0.0668307554077955,0.0330989685369336,0.0375160646546536,0.0202768995966424
"1500012F01Rik",0.0634920634920635,0.0864931319076425,0.0504570021932625,0.0574399225758448,0.0328927872933089
"1500012K07Rik",0.0431654676258991,0.0261097750586212,0.0474055769222668,0.0334817185963157,0.0180409055827115
"1500015A07Rik",0.0532894736842106,0.0360291804147399,0.0517312255380379,0.0297836226447389,0.0315563263459508
"1500015L24Rik",0.0308073654390933,0.0389905739202755,0.219802645656898,0.0275970425799805,0.0194204685573366
"1500015O10Rik",0.0408730158730158,0.0591318475409014,0.114330027430054,0.0306885204866525,0.0273642732049037
"1500016L03Rik",0.0448863636363637,0.0182954229006861,0.0589632619391333,0.0363054755631803,0.0250803858520901
"1500017E21Rik",0.0768811341330426,0.0273726531835111,0.0400755662858919,0.034652162361477,0.0214207250091542
"1500026H17Rik",0.0325144508670519,0.0177948270080444,0.197591104643806,0.0589647190793707,0.0408025247971144
"1500031L02Rik",0.0177364864864866,0.016106496399268,0.0204521375655332,0.0209721887252984,0.0288827761320356
"1500032L24Rik",0.00722821896684657,0.0430095666181785,0.0419738823984853,0.0188129874432539,0.013391324253176
