"","GSE38321","GSE79434","GSE54650","GSE55272","GSE35026","GSE37514"
"0610007P14Rik",0.00996164033127406,0.0445764505119454,0.402197006277161,0.00810474658302799,0.0150315067646877,0.0198824228488248
"0610009B22Rik",0.0190406545064979,0.037235443232344,0.277106716941424,0.0281634046426946,0.0143450374983419,0.00678552403957716
"0610009L18Rik",0.00746682721695782,0.0289577784475764,0.17280913479391,0.024291946949364,0.0110517733225944,0.0141446528853235
"0610009O20Rik",0.0235066141280458,0.0624684804168471,0.31651688453159,0.00901609304648295,0.0133618371376692,0.00792378604147916
"0610010F05Rik",0.00544999012778444,0.0252394780124424,0.132899167987322,0.0367487984079667,0.0195935530559693,0.0262339329591835
"0610010K14Rik",0.0168178940827015,0.0380648101201642,0.122492836676218,0.0113044546038463,0.00896430390116103,0.00916265637808733
"0610011F06Rik",0.0138754807556066,0.0943733150487815,0.227777777777778,0.0155298381195383,0.0192982105639446,0.025640158953429
"0610012G03Rik",0.0386700500245871,0.0980827505156063,0.569787099650739,0.00778811627136065,0.0199413906765813,0.00900045885514916
"0610025J13Rik",0.0133282457062959,0.017763413611476,0.281779661016949,0.0247141993027612,0.0217655965602877,0.0295106720990931
"0610030E20Rik",0.0131606157713423,0.0280849854866592,0.100786224194482,0.00546512108629797,0.0143722864061253,0.0158466592008931
"0610031J06Rik",0.00572916611767191,0.0406085896347182,0.0960787049958134,0.00262627154323572,0.0130407774868557,0.0166792947669022
"0610037L13Rik",0.00419686270065647,0.0267099829706399,0.1051096084633,0.0152120932026439,0.00869563890260056,0.0150931480263279
"0610038B21Rik",0.018348611159235,0.0263175766250749,0.115538143110585,0.0187642645618051,0.040228848499883,0.0221227670797765
"0610039K10Rik",0.0147506230950128,0.0192640320086682,0.19167698019802,0.0283413401847658,0.0151577323177927,0.0247399893646285
"0610040B10Rik",0.0134746277472697,0.0288039836695948,0.141132887189292,0.0205303363411253,0.030652457745545,0.0317402143000126
"0610040J01Rik",0.0100058450008435,0.0242878443436594,0.0810434929197571,0.0317820933600861,0.0212287223814116,0.0276768644731112
"1110001J03Rik",0.0429125571255168,0.200426558487281,1.06662652725564,0.00945291220801994,0.0147538972878962,0.0242713288771732
"1110002L01Rik",0.0257618673249129,0.0273858209188783,0.172488921713442,0.016160321220684,0.0468093161215849,0.0165943968500405
"1110004E09Rik",0.0160767537288657,0.0558044793048453,0.176698576753643,0.0211047761976397,0.0177309034824256,0.0195673278228722
"1110004F10Rik",0.00783290066094416,0.0327864967647383,0.148628637651301,0.0109738431090422,0.0114600193943681,0.0185825629463516
"1110006O24Rik",0.0190188635164641,0.0271811689983849,0.103115210581274,0.0189778165097145,0.0196287725112998,0.0132148803230706
"1110007C09Rik",0.0071141716890599,0.0413312535914981,0.404855831301105,0.00624280021422903,0.0125071304813184,0.0106602181136877
"1110008E08Rik",0.00725278118999123,0.0347603796265816,0.0919585987261146,0.0179870672193231,0.0193343967028522,0.0178544266800333
"1110008F13Rik",0.0154339287227377,0.0736957784896956,0.734977314737019,0.00797186918101157,0.0077614551864372,0.0106629208308821
"1110008L16Rik",0.0147663703768627,0.0545229726529423,0.225111619007122,0.0259294747156045,0.0166867514676048,0.0148986712299739
"1110008P14Rik",0.0277562147580437,0.0978364767861834,0.153120713305899,0.0231361782897102,0.0370719757055913,0.015137600941179
"1110012L19Rik",NA,0.028851738176129,0.134589592274678,0.0150732718727356,0.0334740989029691,0.0136879578046666
"1110017D15Rik",0.00725449389913087,0.0197402306634207,0.157794331395349,0.018475641319684,0.0120155836751501,0.0808917417291834
"1110020C17Rik",0.0143352411204922,0.0253967095062899,0.0639293139293139,0.0334635300853864,0.0230858068054866,0.0248788694208104
"1110032A03Rik",0.012608015769654,0.0205414019042224,0.103509790906074,0.0290926348569845,0.0104292710689807,0.00726350245358173
"1110032F04Rik",0.0127788116738454,0.0294405332613825,0.220422912205567,0.0264628475790038,0.0291091576388559,0.0259665899074785
