"","ranking","median","mean","sd"
"Eef1a1",1,0.0177562550443905,0.0427787276005899,0.0597249733415412
"Mrfap1",2,0.0200292758254602,0.043528052088916,0.0453934720689921
"Rps2",3,0.020047796070101,0.0455648210831151,0.0588653968460857
"Ssr3",4,0.0201463388822038,0.055366877057712,0.0641549035020706
"Ywhaq",5,0.0205621626070284,0.062857259018585,0.0729392408295138
"Atp6v0c",6,0.0217164475978724,0.0723813506924595,0.0831517204168845
"Psmc5",7,0.0217524817005915,0.0906372102537881,0.113054828027725
"Gm10420",8,0.0217903429063552,0.044825409800746,0.0462685870865803
"Ipo11",9,0.022263020399716,0.0678909533588358,0.0694179964114763
"Uba52",10,0.0223748069130845,0.0447799485239598,0.0594985767090356
"Ddx3x",11,0.0225710050159026,0.0702173125224491,0.080536942351718
"Smu1",12,0.0228772225880802,0.104453027957333,0.149082800842138
"Ywhae",13,0.0230056155426164,0.0738874025776665,0.0896704049220633
"Cops4",14,0.0231370290153226,0.0653524298292881,0.0713386303190354
"Akr1a1",15,0.0232634159400473,0.0603139461241691,0.0750383274098988
"Ppia",16,0.0234694589978929,0.0403729410224947,0.0439134708631802
"Actr10",17,0.0236788301660652,0.0734588783130913,0.0844989117054779
"Slain2",18,0.0237371446476741,0.0786920306984012,0.074494947079268
"Zfp131",19,0.0238812692066593,0.0891639027799619,0.104839282869792
"Tex37",20,0.0240354502627387,0.121093306171329,0.158261625221908
"Gm1821",21,0.0240602891507433,0.061583039537272,0.0929184969550186
"9630015K15Rik",22,0.0248544842158373,0.172184143804358,0.268487580052506
"Gm15776",23,0.0249974044465874,0.0717883909118108,0.0812161465738577
"Eif2d",24,0.0250014964692496,0.0532335162266618,0.0579400343023307
"Vps35",25,0.0251203515869668,0.0612539966034049,0.0556311507716532
"Ypel5",26,0.0253070371450227,0.0999036081346483,0.123263073076837
"Brk1",27,0.0253135172703321,0.06779803269811,0.0828142126792566
"Srpr",28,0.0254192575877723,0.0606617227311251,0.0640860115388557
"LOC102640359",29,0.0254502522930116,0.0896916039728676,0.109678943943474
"Gm12854",30,0.0256462775448668,0.0821017794462455,0.105929413710314
"Ensa",31,0.025807079050147,0.0662414932935054,0.0688618264926967
"Ppp2r1a",32,0.0258806729134257,0.064058049849144,0.0671497146169601
"Cdc27",33,0.0259937402641998,0.0794951611797547,0.0748174795836731
"Rab5a",34,0.0260504687349564,0.058641569187758,0.0608567687167001
"Serf2",35,0.0260677686378875,0.0575133383885079,0.0557227461079447
"2700062C07Rik",36,0.0262217080613092,0.0851040994551688,0.0899601011867495
"Rab7",37,0.0262396366149144,0.044926895234109,0.0376400360123855
