"","GSE118876","GSE104955","GSE87661","GSE79711","GSE60150"
"0610005C13Rik",0.0222280054382022,0.0434902706012598,0.0441514569914656,0.0529887556719172,0.0292602649388753
"0610007C21Rik",0.0479538927594339,0.0253689322785339,0.0116399049210718,0.0431298758150716,0.0157939279850048
"0610007L01Rik",0.0717056060498219,0.0380393961128887,0.0293931560577617,0.0106462372323701,0.011408837854671
"0610007N19Rik",0.145044876,0.0581686840677256,0.0273222977003348,0.0681946365207066,0.0319542479591142
"0610007P08Rik",0.0906944124531132,0.0194519313496751,0.0222021325399596,0.0323946206691178,0.0245668818665744
"0610007P14Rik",0.0582462561009464,0.0221670501380693,0.0668157454317267,0.0430543543219988,0.0293482398683126
"0610007P22Rik",0.0303186587586204,0.0244830355578299,0.0723601721637531,0.033473120505767,0.0221945447392637
"0610008F07Rik",0.0592937160693642,0.0286101094981062,0.0547324474878012,0.0236477967747935,0.0261947151050743
"0610009B14Rik",0.0375530084282461,0.0343801328440731,0.0461656576948729,0.0277253460583978,0.0275516209635723
"0610009B22Rik",0.122556089136691,0.0609177163980588,0.0588382426554677,0.0453381340850973,0.0262282390895417
"0610009D07Rik",0.0149125017639078,0.0253141977263154,0.0349540824243948,0.0164900522036206,0.0299312201529278
"0610009E02Rik",0.04270599648,0.062830515080207,0.0757938537067919,0.0816397643641835,0.0326111742226654
"0610009L18Rik",0.0645276378409092,0.0471722881992941,0.0603225724212984,0.0433248462578073,0.0312749448350543
"0610009O20Rik",0.025985915799722,0.0192421936517529,0.0405497718770786,0.0219220548825646,0.0194163610133953
"0610010B08Rik",0.0932853366439023,0.0262066572444444,0.0124230561469698,0.0309103355744815,0.0151391596525008
"0610010F05Rik",0.150532810515464,0.0312977377642042,0.018096177999379,0.0672224842717589,0.01339795968
"0610010K14Rik",0.049738091649635,0.0351333577296549,0.0368629576677287,0.024740660381148,0.0165239824093216
"0610010O12Rik",0.0730436002163832,0.0298844047712625,0.0344881704120042,0.0403407830565428,0.0225949717827848
"0610011F06Rik",0.0307540150515467,0.0226495490218292,0.0541210279883299,0.048554570289351,0.0256587870817119
"0610011L14Rik",0.0327260956823821,0.021440641104246,0.0399787054366349,0.0278680909247337,0.0132386828515111
"0610012G03Rik",0.0972795006779659,0.0482125480965067,0.0601332735348902,0.0711522793686037,0.0321663643678799
"0610012H03Rik",0.0713829563717805,0.018370067115421,0.0387561791596498,0.0489439853732636,0.0307609257210627
"0610030E20Rik",0.0255593344186048,0.0171383627577159,0.04447689670305,0.0205708970282983,0.0220885485772012
"0610031J06Rik",0.0424754156521742,0.0363510593877179,0.0368290719805382,0.0248409604771219,0.0162650309936574
"0610031O16Rik",0.0341513140677966,0.0739309704207034,0.101874961601068,0.0448033366152796,0.0311254785351562
"0610037L13Rik",0.0416622964366945,0.0230858632094635,0.0483997894048606,0.0144708540663668,0.0142194147492037
"0610037P05Rik",0.119183334275909,0.0359660645213021,0.0107799655067838,0.0240498148919395,0.040453346569014
"0610038B21Rik",0.0569878493333332,0.0502105599735824,0.0723126274289913,0.0406515133265917,0.0348323206338615
"0610038L08Rik",0.05348801617613,0.0326301218114742,0.104509985461157,0.0238658088634102,0.03205566525
"0610039K10Rik",0.0365796223298033,0.0376487438784986,0.053975895664338,0.0370280504519899,0.0258400324454755
"0610040B10Rik",0.277283605045871,0.063779905445651,0.0454393983893551,0.0415933432890977,0.0460208842314053
"0610040F04Rik",0.0498813031770045,0.0548561115936138,0.0809831551220097,0.0599291267824719,0.031311056135778
"0610040J01Rik",0.0542741422222224,0.0621461512261322,0.0266488526484691,0.0651392206907973,0.0479256347200945
"0610043K17Rik",0.0712348116666666,0.0981588147787592,0.0548790661412763,0.0377549853692024,0.0333895479545455
"0910001L09Rik",0.067337940131291,0.0515351370168522,0.0692883757269269,0.0444943902591339,0.0170794182204027
"100043387",0.11492937288,0.038332551676666,0.0177045058806409,0.0404714961691907,0.0313131415769894
"1010001B22Rik",0.021074810738255,0.0857297280395205,0.0537679257811474,0.0374481809340202,0.0186301823095941
"1010001N08Rik",0.12710118,0.0710426453911955,0.0822220923244208,0.051714551872635,0.0337364276475257
"1100001G20Rik",0.534776515636364,0.111060875816084,0.0296553956766802,0.0845784554871723,0.059202587126091
"1110001J03Rik",0.0981723454901961,0.0560549278429145,0.050144622891605,0.0263671454013853,0.0208862223201418
"1110002B05Rik",0.0947458086206898,0.0437405574887554,0.0312207322789492,0.0404235408941763,0.0329149687973795
"1110002E22Rik",0.110786393402062,0.0743978974878462,0.163159573260711,0.240069705466342,0.105926781905396
"1110002J07Rik",0.0768766509326422,0.059829670165372,0.226809254771459,0.0361081079004181,0.044536929035781
"1110002L01Rik",0.0907213520894238,0.0140033768487348,0.0318852516248278,0.041554758659154,0.0193045997571292
"1110002N22Rik",0.114039053696498,0.0454871921570169,0.0738004063422193,0.0811158862733428,0.0370683683616349
"1110003E01Rik",0.1011305735318,0.0271196620848769,0.0457251817361729,0.0367306723662374,0.0169180050985547
"1110004E09Rik",0.0167226752662722,0.0179640158482556,0.0681507165587063,0.042278398485851,0.0218377904796496
"1110004F10Rik",0.0171169585463983,0.0130969238109638,0.0293046423126427,0.0251281844240702,0.012241358019441
"1110005A03Rik",0.0676859972286375,0.0171649715699531,0.0529196931235017,0.0701704738293071,0.0205676028027419
"1110006O24Rik",0.065475401361702,0.0424129481310666,0.0794051102244123,0.03626743028729,0.0372084641113045
"1110007C09Rik",0.0342238221656049,0.0166565162706212,0.0437658926959929,0.0170400915814452,0.0166172361760767
"1110008F13Rik",0.0539796794288977,0.0217120975897166,0.0185586856151397,0.040389606654261,0.0307512004837182
"1110008J03Rik",0.0370813961387066,0.0299884147075923,0.0733352717390389,0.0136749147884564,0.0278617504651734
"1110008L16Rik",0.111195803577236,0.0260299656603624,0.0450182509404524,0.0437180396123815,0.0403932874339299
"1110008P14Rik",0.153319623117438,0.0825533025301824,0.033141940885292,0.0582084389161441,0.0216225485063424
"1110012J17Rik",0.0989622021818183,0.0374619079318286,0.0989065550641938,0.0286400242743017,0.028058567886975
"1110012L19Rik",0.0539411720245398,0.0256965750571203,0.0334692200871653,0.046773069547971,0.0264171398631977
"1110014N23Rik",0.0443247119340056,0.0236914170717577,0.11814287661281,0.0267371037161787,0.0234079142902457
"1110015O18Rik",0.0516188515068494,0.0613042215510338,0.0579187485503437,0.0855030628723615,0.0445640609354437
"1110017D15Rik",0.0660090918918918,0.0215477076307576,0.0499170990734079,0.0420325782535901,0.0297692235005803
"1110017F19Rik",0.0788557043946184,0.0512105630731405,0.0593255507173222,0.0310403822400282,0.0386826474728988
"1110018G07Rik",0.0335045686281755,0.0391367788355781,0.0263329510739679,0.00930853773448688,0.0151836817156628
"1110018J18Rik",0.0114816743122461,0.0325156513069138,0.0222276316437104,0.0217115713828709,0.0323084664775253
"1110019D14Rik",0.178804454446855,0.101820803383773,0.0913758988902004,0.0497706788678986,0.0296262446125048
"1110020A21Rik",0.0449672044765343,0.0554068610114422,0.199768260123958,0.0453196360250942,0.0317805424312186
"1110020C17Rik",0.0625794380071175,0.0697056762999936,0.053796689238318,0.0249287792888675,0.0420994724782358
"1110021J02Rik",0.0191897859999999,0.0227999744267057,0.0439093806947756,0.0195335062614072,0.0160529153051644
"1110021L09Rik",0.357531353285621,0.123481717165177,0.0673942934586205,0.0854946393872339,0.0160677126216044
"1110025L11Rik",0.045275031101957,0.0185361373486023,0.0453594559107875,0.0910166677099079,0.0400644292439241
"1110028F11Rik",0.105464526363636,0.0374106332449611,0.0908088219758854,0.0566018127663094,0.0448731154222087
"1110028F18Rik",0.062802936,0.0563419648679257,0.156527980690826,0.0388134389224263,0.0508177117116601
"1110031I02Rik",0.119042941235698,0.0393200601132503,0.0249313561643497,0.0517231637299727,0.0173220665766042
"1110032A03Rik",0.194344451341463,0.0490005668544637,0.01916704091725,0.0464123052610595,0.0591249976302347
"1110032A04Rik",0.0571864132682926,0.0330026044436358,0.0814211933200554,0.0900305865408319,0.047759519427663
"1110032F04Rik",0.0373101826382155,0.0446411523489181,0.0807138821821651,0.0314910624180868,0.0146137369455986
"1110034A24Rik",0.0173871575520399,0.0176560460573506,0.0468527107627139,0.0420894249202586,0.00972249022541989
"1110034B05Rik",0.115689618947368,0.0337571414701847,0.052246694193635,0.0291677837648373,0.0300526753104708
"1110034G24Rik",0.0467229572173912,0.0240854997038761,0.0690653434578856,0.028711129378242,0.0186648251110854
"1110035M17Rik",0.0601914548884382,0.054447532284779,0.0792400490793281,0.0211911919188919,0.0386563916713654
"1110036E04Rik",0.089019737943925,0.0506437682622509,0.100159480700723,0.0624412344546509,0.0409642191613725
"1110037F02Rik",0.0751488123076925,0.0135444430513382,0.011741916869124,0.0223350064755482,0.0134990957625381
"1110038B12Rik",0.085985527596017,0.0660772876517722,0.0537356816868689,0.0227517029842114,0.0248801001377953
"1110038D17Rik",0.062802936,0.0529748127465452,0.118933923986696,0.0744915520031842,0.0498293487919942
"1110038F14Rik",0.0183022711074104,0.0683692746118214,0.0154467475220037,0.030552100102243,0.0182966364287344
"1110046J04Rik",0.114517654645441,0.0713673328209844,0.0518369720706847,0.0974694024937176,0.0355351485450347
"1110049F12Rik",0.0678697067330676,0.0275322847940896,0.0834704230840543,0.0398115688527589,0.0293008683918307
"1110050K14Rik",0.0909380574468084,0.0665232632664875,0.151956700831987,0.0485805421034883,0.0477179170588233
"1110051M20Rik",0.163833746086956,0.0361655800152052,0.0577841116712206,0.0205328148731773,0.0424520170110175
"1110054O05Rik",0.0807212877966103,0.0267915649443307,0.0792366293633526,0.110896500946382,0.0335106253733981
"1110057K04Rik",0.193179150282486,0.0420508292516848,0.0167414234579116,0.0288577018074093,0.02289260708951
"1110058L19Rik",0.145479396732161,0.0514322889444884,0.0420695169475836,0.0810108878269456,0.0499353663178295
"1110059E24Rik",0.0333768314967462,0.032225890551086,0.0337348900525724,0.0189206018461332,0.021028947767031
"1110059G10Rik",0.0509869196907217,0.0307201068583968,0.0701382145247677,0.0424595136814162,0.0196031865323141
"1110059M19Rik",0.0975386327733758,0.0799105565012636,0.0919452698855049,0.25005495022785,0.0440630915883555
"1110067D22Rik",0.145782870387597,0.0275998452963673,0.0679042153739775,0.0303715769165368,0.0330736044763136
"1190002F15Rik",0.0962873549436796,0.109446237489547,0.137558007515494,0.0754910047435465,0.037612375440582
"1190002H23Rik",0.397047407884615,0.0329282958895571,0.0212625565898102,0.0789200972308787,0.0317024024594362
"1190002N15Rik",0.0409146213350449,0.0570291905560154,0.0222551569078394,0.0425375046463565,0.0213346510436289
"1190003J15Rik",0.0581636893495037,0.0346870210015398,0.0525518007599365,0.0218561807685055,0.026561309169594
"1190003K10Rik",0.0174915338992044,0.0632319055519065,0.0893918399541141,0.0288158027152978,0.0336353018785608
"1190005F20Rik",0.0831215329411765,0.0307353953544439,0.0241769999967958,0.0146056258126708,0.0193483479022843
"1190005I06Rik",0.115436468796499,0.0495228521897638,0.0488716300181004,0.0418108275718224,0.038570895888335
"1190007F08Rik",0.0356545459854015,0.0199970582292421,0.0713502797442923,0.0555210695435584,0.0262825119876882
"1190007I07Rik",0.0446934017744916,0.0694284155073999,0.0547010127532322,0.0364114453014035,0.0391439358479739
"1200007C13Rik",0.244525785502392,0.0715838990397169,0.0640076945552089,0.0470628967747097,0.0366008851738377
"1200009I06Rik",0.0860766123782234,0.0324749512768854,0.063208380394564,0.0406974930508277,0.0338718186861314
"1200011I18Rik",0.0315366249641323,0.0213137144811417,0.0545111104926904,0.016155445402263,0.0237809165803985
"1200011M11Rik",0.0496345784516129,0.0294077395755067,0.0698054942738601,0.0169412231546833,0.0308407275000001
"1200014J11Rik",0.0209036838917337,0.0238125684743541,0.0392538434856468,0.0122518137809194,0.0224782742733185
"1200016B10Rik",0.181677884795641,0.0210661790080968,0.0352445519152971,0.0349130162072056,0.0307495223448428
"1300001I01Rik",0.267097421549907,0.0590154468642367,0.0271884583672262,0.0406159565284352,0.0230893147058822
"1300002E11Rik",0.141711495988539,0.0583600147594513,0.0354951886772883,0.0184475646592765,0.0321109286235368
"1300002K09Rik",0.0539411720245399,0.0283321204306124,0.0406262021466562,0.0241042364156922,0.0291068045708677
"1300010F03Rik",0.157319481829026,0.0334797849609442,0.0137058577596907,0.0387337309966929,0.0169353033854521
"1300014I06Rik",0.0505498409198812,0.0291877349611333,0.0441968780904893,0.0472677603064355,0.0550341413438892
"1300015D01Rik",0.372061937104677,0.0708458954719042,0.113252771322878,0.0643982114346383,0.0662400208243853
"1300017J02Rik",0.0515604351111111,0.0531979478511105,0.119342849280847,0.0359653873077265,0.0204167446632975
"1300018I17Rik",0.026003999248434,0.0153522012474935,0.0401435734173086,0.0106366636410837,0.0108748241810528
"1500001M20Rik",0.0255593344186048,0.0267612350809483,0.0708580159125407,0.0125685703497423,0.0177304481608946
"1500002O10Rik",0.0357608908893708,0.0488196686821164,0.0545461253836883,0.00808766972339202,0.0371991311860174
"1500002O20Rik",0.06978104,0.0305189280506822,0.0474101294555985,0.0285568373395667,0.0173097887695503
"1500003O03Rik",0.0978853881335952,0.0273006052264069,0.0564953044574632,0.0508790450399031,0.0241450005847375
"1500009C09Rik",0.0754713393991417,0.0436653944238144,0.10472749598221,0.0537412234922718,0.0457938074999999
"1500009L16Rik",0.142272023300971,0.0345465782607214,0.0437391220170155,0.0364569468615461,0.030955677710392
"1500010J02Rik",0.0451132201273888,0.0540414702925927,0.0574602080161968,0.0300674940622423,0.0314548878895224
"1500011B03Rik",0.101176210072202,0.0653529163151897,0.0626280387178262,0.0393984041381149,0.0402608796015423
"1500011K16Rik",0.282260386516854,0.0841775423492678,0.0538010901205861,0.0636465167662578,0.0299534334459828
"1500012F01Rik",0.0855648466666666,0.135219439423812,0.0719389983972937,0.0857465595968469,0.0505460718828896
"1500012K07Rik",0.0759057068201441,0.0301079834367555,0.0802428019754919,0.0529909495677337,0.0305370591818882
"1500015A07Rik",0.0886953745263158,0.0552803975231112,0.0785475638011257,0.0438184600746838,0.0460769542512442
"1500015L24Rik",0.0622691999999999,0.0678131170035424,0.27593440610819,0.0482180776274822,0.0328631269605427
"1500015O10Rik",0.0651289706666667,0.0892519693426529,0.173188180987069,0.0456404442514613,0.0417036425569176
"1500016L03Rik",0.0732700919999999,0.0281920409808613,0.0849037670972157,0.0579121491820353,0.0371062363022506
"1500017E21Rik",0.127044107175573,0.0458344564106398,0.0594390073296397,0.0418118608784524,0.0313899698425483
"1500026H17Rik",0.0539996342774566,0.0261899721193496,0.290526738876218,0.0871110505642782,0.0528548905320109
"1500031L02Rik",0.0297040913513513,0.0292955202075751,0.0296310900078434,0.0357175364531047,0.0390691138044859
"1500032L24Rik",0.0118633148188127,0.0622820785754175,0.0625783937796548,0.034408768275394,0.0183657435595743
"1500035N22Rik",0.0490448891683569,0.0192107452783084,0.0880392408432517,0.012413876377485,0.0267207109972854
"1520402A15Rik",0.0547497919926198,0.0428680838454336,0.0878646557985444,0.0848452342604868,0.0303286188961891
"1600002D24Rik",0.0814112133333336,0.05822402549119,0.360226758017347,0.0878299819016393,0.0466961485344827
"1600002H07Rik",0.0793663476923077,0.0272670407930144,0.0323588076055249,0.0302456129041117,0.0210923068075473
"1600002K03Rik",0.0489951982978727,0.042480774347132,0.0577078105142491,0.038262059271184,0.0276386616371182
"1600010M07Rik",0.0584291004784689,0.0520907617333244,0.0898853862717052,0.0377045763339388,0.0402294849428925
"1600012F09Rik",0.11229911130297,0.0322915192387342,0.0454733254716432,0.0273587615964936,0.0209386947723231
