"","GSE38321","GSE79434","GSE54650","GSE55272","GSE35026","GSE37514"
"0610007P14Rik",0.0167147019829652,0.0531935340088378,0.399288391266055,0.0111238915378065,0.0196453651874467,0.0241271789342218
"0610009B22Rik",0.0299357522833814,0.054383542756199,0.45681370933006,0.0389883099357078,0.014744659626946,0.0113670584807283
"0610009L18Rik",0.0121499952969074,0.0411840384746358,0.259560593271445,0.0352594198459241,0.0208611368861415,0.0244306307830148
"0610009O20Rik",0.0380532002968761,0.0765425149336352,0.436587585228758,0.0148189090084008,0.0210413696583288,0.0145615149471377
"0610010F05Rik",0.00879977147347587,0.0396271189489626,0.19464182522187,0.0568176756726568,0.0299373714092539,0.0424973231417362
"0610010K14Rik",0.0225003635446233,0.0516588140454272,0.208473356320917,0.00853761150595058,0.0152469917346452,0.0113780779034473
"0610011F06Rik",0.0254648857793002,0.143758720677194,0.34345355625,0.0297665739126597,0.0296378586815155,0.0422497117838606
"0610012G03Rik",0.0551240671453881,0.133620981140268,0.841051579939065,0.0138534556088659,0.0304913660540844,0.0152624624574383
"0610025J13Rik",0.0228852424616141,0.0217313369862725,0.427879273775039,0.0259452704973464,0.0308144192313396,0.0351739237788176
"0610030E20Rik",0.0200236564844063,0.0440111288569888,0.15119113137951,0.00652023255525567,0.0134735995339919,0.0235617538026294
"0610031J06Rik",0.0085950613318843,0.0588037016571926,0.136704037125314,0.00371171711860495,0.0184021770205077,0.0204597598654752
"0610037L13Rik",0.00665659275082778,0.0409475905354109,0.161579371822445,0.019490277129111,0.012493715006689,0.0242504887667986
"0610038B21Rik",0.0241900620380044,0.0379577847609629,0.154686119716145,0.0274263678404059,0.0624763576168951,0.035646109397415
"0610039K10Rik",0.0205434727793751,0.0288654357547069,0.293805814455445,0.0413949972716907,0.0208831599239312,0.0358209134177158
"0610040B10Rik",0.0279570780576184,0.0268820108374164,0.18422594833652,0.030657084153572,0.0456464818282079,0.0539991269302579
"0610040J01Rik",0.016501906874368,0.0400966131869211,0.121540408846932,0.0509649535049762,0.0355761144462681,0.0466271010603469
"1110001J03Rik",0.0713321966614726,0.309283240919732,1.34540829177632,0.0174620600980147,0.0247740063236326,0.03040654632295
"1110002L01Rik",0.0370048137686196,0.0461920783305758,0.266889286369276,0.0238229368856157,0.0637486879369107,0.0227317962893754
"1110004E09Rik",0.0252133149504838,0.0792207507665854,0.250647773209081,0.0331353900638717,0.0228535596639987,0.0265957202589793
"1110004F10Rik",0.0119527660138806,0.0514392616613931,0.210866154545455,0.0176695393868247,0.0161648487561575,0.0285047948819829
"1110006O24Rik",0.0266862961617049,0.0446469028226597,0.149192495022625,0.0256626779270557,0.0289508561132364,0.0231623956719608
"1110007C09Rik",0.0113680800206404,0.0534268096302443,0.56064075559891,0.0108877241148129,0.0177065174439828,0.0143621087786622
"1110008E08Rik",0.0149827773095981,0.0470925879804656,0.147006872484076,0.0257390985884897,0.0296994347528484,0.029738137485647
"1110008F13Rik",0.0253032931980983,0.101085239391586,0.897340084883885,0.0115748175297072,0.0130962443983391,0.0143720180722277
"1110008L16Rik",0.0221662719238046,0.0686866619250998,0.293018056876794,0.0359120886120627,0.0245473766001947,0.0250485125910262
"1110008P14Rik",0.0383183306924282,0.142961046983619,0.230162566090535,0.0383111618534443,0.0590471619043357,0.0249859806023618
"1110012L19Rik",NA,0.0453332301007292,0.181013290590129,0.023567830016488,0.0516024666573646,0.0201612302580014
"1110017D15Rik",0.0126000765978551,0.0291629188956056,0.193292466540698,0.0265103953744461,0.0184744648612201,0.044953511333168
"1110020C17Rik",0.0161458552635406,0.0403302930170573,0.0959670643659044,0.0481623122639642,0.0359589073362197,0.0399701155979356
"1110032A03Rik",0.0206351609302111,0.0395596408718062,0.161957787162297,0.0417744077631548,0.0198062318548738,0.0101634263933382
"1110032F04Rik",0.0218944624387733,0.0447545434661214,0.308299209379015,0.0400787673326006,0.0472387245438884,0.0498705673976295
"1110034G24Rik",0.0161536019595605,0.0303306010025527,0.426332273350126,0.0196427627556234,0.042980418555866,0.0239764811502409
"1110035H17Rik",0.0129452701012575,0.0441510140794215,0.172132347893101,0.0353951365208535,0.0204790106805641,0.074473001812313
"1110037F02Rik",0.0193838127468831,0.0460888426310858,0.112782235853403,0.0405408646780397,0.0137564391484768,0.0121897981138069
"1110038B12Rik",0.0317249515942906,0.0407418966280134,0.201374860655672,0.0838932377506116,0.0450349203492556,0.0334419917039884
"1110038F14Rik",0.0126630386776453,0.0242496188190138,0.120369712067094,0.0210813460061853,0.0192113384614689,0.0184728952242561
"1110051M20Rik",0.010723973174478,0.045429125451966,0.147175473815029,0.0236191990880432,0.0164320994891256,0.0516809468874967
"1110057K04Rik",0.0145040807635779,0.0458016051635135,0.251001476298618,0.0143841395080053,0.0308000730904698,0.0201028587197502
