"","GSE33684","GSE113808","GSE104128","GSE97910","GSE70857","GSE62324","GSE57659","GSE39313"
"0610005K03Rik",0.112756651455824,0.301312962606741,0.0366644300294043,0.0451034413558777,0.0103347076517812,0.448279529415778,0.145310832266736,0.00235847935622313
"0610006F02Rik",0.137831192454406,0.557881982172339,0.40557603600458,0.0997781982771754,0.0476345238495946,0.172240884095979,0.180247762774435,0.0208901001478354
"0610006I08Rik",0.0871169737772022,0.443406502832249,0.285174082995035,0.399876000674489,0.0811925359958603,0.246436242347029,0.0406478417169581,0.030827620518487
"0610006K04Rik",0.119424319352005,0.251134590515971,0.18664072563352,0.130984596311321,0.0293648969295912,0.230888063867231,0.0493857146600395,0.0194219058835761
"0610007C21Rik",0.0986547078321132,0.308838773249735,0.35043874239726,0.250692219857432,0.0174518909223422,0.0359624899448771,0.0307969512238954,0.0315000984452297
"0610007H07Rik",0.137485898851198,0.0495156039926653,0.319826757458214,0.273693704360562,0.021517901198569,0.117307294424914,0.0257436768225416,0.0210465603217158
"0610007P06Rik",0.235694312503242,0.239253448686925,0.129877375156873,0.27008402066377,0.052677838572145,0.226871827098338,0.0437152766643672,0.0366524995712247
"0610007P08Rik",0.101830276662365,0.289924724737551,0.131208856723109,0.0367170569380733,0.00707152246397204,0.195230149087634,0.0634533792764913,0.00117797575562698
"0610007P14Rik",0.151827668559994,0.168478331236549,0.273302287510471,0.260459058193736,0.0342488174896021,0.162817350448148,0.0466551561743354,0.0223725471755726
"0610007P22Rik",0.160125644618003,0.295612232024282,0.0781522938496488,0.0887970803774923,0.0248925142394576,0.13842149089199,0.0583613856223196,0.0200333416101267
"0610008A10Rik",0.139433297646029,0.760757214432989,0.0804688388158517,0.0385079685027717,0.00930702792436288,0.391913108496402,NA,0
"0610008C08Rik",0.129699987985422,0.274218760158416,0.0829451439202641,0.0929909520834139,0.0233342501281634,0.185015980520421,0.0975631075058629,0.00235847935622313
"0610009B10Rik",0.168493536604936,0.311292009364162,0.149886768940271,0.0324252671097468,0.00888241420496434,0.22557102917698,0.111235839918976,0.00353582213404797
"0610009B22Rik",0.162422360378051,0.294731935500124,1.1048174910152,0.294193191555193,0.0654498156359997,0.41462961673211,0.0610323766409422,0.0361390202321083
"0610009C03Rik",0.0791095764696573,0.220729984267782,0.0377770990567819,0.0243049089151707,0.00553827431369439,0.144397194793406,0.0757807350410048,0.00235847935622313
"0610009D07Rik",0.0559360718451125,0.260733320314218,0.0449723114781729,0.0628894549709119,0.00885916380916669,0.256428449142251,0.081646514243501,0.00176365559775348
"0610009E20Rik",0.0867577532491904,0.212596985344317,0.272730217752328,0.653803263879721,0.0727741836494341,0.238361324051073,0.034594015721155,0.041045224362336
"0610009F02Rik",0.170019232242898,0.303386259442804,0.155343854892573,0.506522900108986,0.0989942281261669,0.25809874239268,0.0507757015453586,0.0853529834899328
"0610009I22Rik",0.147201957482538,0.209041472853026,0.492990383953671,0.692912115791056,0.179197243034004,0.0336970266974044,0.0738678931000572,0.0492525542900302
"0610009J22Rik",0.0731772797703037,0.278017227258883,0.249260489438817,0.0991187822901177,0.0174740509740166,0.193460078416577,0.054701644353374,0.00465453204870312
"0610009K11Rik",0.38539504489783,0.252388020488599,0.672284545250747,0.579782245745899,0.131338787948406,0.284979471550272,0.0779231774883494,0.027333920331606
"0610009M14Rik",0.152942088512191,0.319772895403423,0.508570704834334,0.16072915181184,0.0182712946446466,0.234488565152451,0.0900961143768445,0.0104560913530655
"0610009O03Rik",0.194440073510883,0.316983224118086,0.0760147895135247,0.328223036191601,0.0387848247109485,0.265077163923515,0.0427329136396771,0.0153237217970563
"0610009O20Rik",0.14075283916478,0.321974106448939,0.248536354329441,0.318529031613317,0.0286472352171967,0.295906968382112,0.0583531518458366,0.0181755266976746
"0610010D20Rik",0.151780744913144,0.248902812529412,0.158825682040835,0.0363425750348182,0.0125775114136088,0.146397288494589,0.0708526321314937,0.00176601721478314
"0610010D24Rik",0.102245683715058,0.541519355443708,0.0733164502653448,0.0339266361168936,0.0118930521984983,0.303789778212919,0.105414567367908,0.0023509120427807
"0610010E21Rik",0.0668393026574342,0.41569466091619,0.287215470969608,0.655775888366137,0.12703660473369,0.223840141871192,0.0572137353669421,0.0651134119063544
"0610010K06Rik",0.10904453871706,0.426708480387459,0.287615963883608,0.148466239420202,0.0263116630112038,0.103554250915521,0.0424516325380407,0.0838300830864744
"0610010K14Rik",0.119821884457743,0.402091968292683,0.314951276595391,0.0977095807506138,0.0218282933588892,0.0989290648051284,0.06159113245304,0.0114484518749998
"0610011B16Rik",0.134189805100161,0.127577800532826,0.112070733914795,0.0506997523830085,0.00843582637900634,0.203886785508153,0.0754437666726311,0.00470685815845814
"0610011L14Rik",0.126363280840159,0.24549257628866,0.0561382300902225,0.0271160443002823,0.00669222716994194,0.193154223660941,0.0776931813601371,0.00235595151125397
"0610011N22Rik",0.0824890573348208,0.273625653982808,0.116680219316336,0.110949062680084,0.0202770855528846,0.177640893589975,0.0558506003567492,0.0182226135544042
"0610012A05Rik",0.0805256617707763,0.256089641941748,0.0261629077278094,0.0233948601139768,0.00654490767549059,0.163855209462806,NA,0
"0610012A11Rik",0.177062784872964,0.231867379746836,0.0745392141796337,0.0293357304981333,0.0130805696289189,0.305190946479392,0.124486646642789,0.00117860737801627
"0610012C01Rik",0.241212223167391,0.138148916480447,0.144111980629737,0.041439890528382,0.0118124893971489,0.236582063417177,0.0969080910831686,0.00235595151125397
"0610012D14Rik",0.114126115842091,0.33170094784272,0.0604016634488612,0.0307061964530858,0.00835140103240841,0.316560283183339,0.0774846131139201,0.00117955608264017
"0610012D17Rik",0.218454411536478,0.676745822163767,0.549616173966947,0.320649244989289,0.031516344300312,0.0920757095889484,0.055911810118011,0.0408487203013562
"0610012G03Rik",0.124460274045071,0.248607922239841,0.347074280628904,0.90511058621186,0.151071815918525,0.149712950596523,0.0395668399201432,0.0546229477634961
"0610012H03Rik",0.0586648300740886,0.297821809747219,0.0596139761959479,0.0283256999262277,0.00895407885127648,0.216650506889969,0.0942839549253279,0.00117797575562719
"0610012K18Rik",0.152427836332882,0.406171162173913,0.0635385774273102,0.0442847360244555,0.00827250249312699,0.498305916911303,NA,0.00117860737801627
"0610013E23Rik",0.169154386256202,0.336031801241379,0.123692799986282,0.0504918946226618,0.0109387962500802,0.265935823742342,0.112805081620354,0.00235595151125397
"0610025L06Rik",0.114450471765981,0.421926845572755,0.105592016138473,0.0581267878223189,0.0096266557144667,0.223675168183683,0.104427330093576,0
"0610025O11Rik",0.173238635041133,0.34533784009975,0.0714765660022352,0.0259189941976393,0.00860507359435344,0.1646669143893,NA,0.00117923967811156
"0610025P10Rik",0.133301778336124,0.404436398910891,0.130432787256206,0.107436150060434,0.0287950024851766,0.227680644118442,0.0559794234923204,0.00467681438297862
"0610027B03Rik",0.13369439770929,0.213580834979757,0.0608735932965113,0.0195138664261803,0.00846269900778051,0.226423301553087,0.0975015946853023,0.00117734480985557
"0610027O18Rik",0.157596585810253,0.453581435133324,0.180835494505805,0.288382494431783,0.0270575773102797,0.154156106886788,0.0410617196315909,0.0178254658692349
"0610030H11Rik",0.183660314015895,0.363785307192871,0.254428120319996,0.058106174193181,0.00789630600475953,0.149073547741391,0.0609773963650173,0.00234840038461533
"0610031J06Rik",0.135109478590862,0.283129643697803,0.212083586427539,0.292502083962308,0.0238661230851195,0.205703478807988,0.0470611833031712,0.0325644853333332
"0610033E06Rik",0.0971208111435133,0.295370058375,0.0701042926032118,0.0198929163727447,0.00906853256890412,0.408135209302132,NA,0
"0610033H09Rik",0.155815114095361,0.182631576369927,0.217687436273336,0.438648084828137,0.0561098081391539,0.0607684287106814,0.0239372706472672,0.0370660465411766
"0610034P02Rik",0.175198982743468,0.197212957906542,0.125321586497094,0.0957449697676182,0.0163731904891581,0.193105053885805,0.0569328137355722,0.00696336671594494
"0610037D15Rik",0.11303859740622,0.436108270625832,0.18104387176881,0.0688875154385995,0.0128767219598244,0.23275473996591,0.0814165696188545,0.00117734480985557
"0610037H22Rik",0.157285632304825,0.128222661,0.0994294551896627,0.0993506520122359,0.0228162593338279,0.170831793193161,0.0726268093420759,0.00351321698454995
"0610037L13Rik",0.123609881603432,0.126243465258883,0.133986734354852,0.150499911830668,0.0219334728492334,0.104883400248976,0.0336652685834419,0.0139544360081261
"0610037P05Rik",0.110241221052621,0.650022606070039,0.0463385948701343,0.0299013788006168,0.00976003018598874,0.601115927325462,NA,0.00118177567741933
"0610038F07Rik",0.161578394028242,0.185514611788872,0.323365654742768,0.192197131191215,0.0415326756641523,0.154039193280201,0.034978842872845,0.0219262120698252
"0610038K03Rik",0.158502678094257,0.184027207813953,0.255695915493401,0.104127466279161,0.0771207435022768,0.521922082180251,0.0947683662344876,0.0023509120427807
"0610039D01Rik",0.110548694183147,0.273689325085865,0.232899718922282,0.32807884109739,0.0362098493309434,0.16931846361503,0.0368761872289519,0.045525766303467
"0610039J04Rik",0.0918325489413582,0.264864800257442,0.153147647563094,0.0978586853409624,0.0278069366017515,0.17900779549414,0.0339499621518322,0.0305747030700448
"0610039N19Rik",0.27256594923213,0.285152924391951,0.318933435307813,0.990834654251291,0.155930866631266,0.388195110792301,0.0744436798072975,0.0723092261569238
"0610039P13Rik",0.208829949571341,0.942080159935585,0.871574582746487,0.603188611553894,0.107732642069333,0.156077395882309,0.134595646814085,0.0446025013735693
"0610040B21Rik",0.277770374768405,0.227307813693928,1.2543061145047,0.251377773728286,0.0536275497320527,0.358969414268613,0.0584568153393688,0.0380294595155709
"0610040D20Rik",0.0818123458161649,0.404913666315789,0.0863465031107784,0.0204442530593358,0.00729221052230936,0.326105450305065,0.113117307500511,0
"0610040J01Rik",0.114311745921867,0.447266126817391,0.16234626045487,0.0396024374014087,0.0138607687267564,0.44928903950354,0.0820408600891422,0.00235595151125397
"0610041B22Rik",0.113729206786511,0.234911745343511,0.574630274640753,0.202781986720169,0.0236869875942187,0.251065036542342,0.0564801729774795,0.0271650186611743
"0610041E09Rik",0.193579601085981,0.652566360193004,0.155361749864547,0.113077955597027,0.0184362452145219,0.216052106001389,0.0468742306160132,0.0125736507332293
"0610041G09Rik",0.241413398560375,0.23235019586177,0.38572810812691,0.704683481106005,0.244887054518195,0.267136676474889,0.11563109690371,0.118904410137088
"0610042E07Rik",0.159061289384284,0.215864368194298,0.202963371062944,0.112157313216328,0.0232420556355023,0.485391336527679,0.102758899289832,0.00235595151125397
"0710001B24Rik",0.12148032499561,0.570845372351544,0.200354495981338,0.512494236098414,0.118789361295762,0.258275112336843,0.0738098075352031,0.0149374468792475
"0710001E13Rik",0.0781953894232269,0.272850342598608,0.0381378352258903,0.0257516995792274,0.00673852207931673,0.218268602748848,NA,0.00117860737801585
"0710005M24Rik",0.101733558883694,0.420913294468085,0.0429518117597893,0.0334635845861755,0.00875530985558447,0.386675812881401,0.101296809231412,0.0023610126315789
