"","ranking","median","mean","sd"
"Rps2",1,0.0228604243494423,0.0734303471885187,0.0961604962164941
"Ywhaq",2,0.0248708560878719,0.0854115632097495,0.095527045206475
"Eef1a1",3,0.0256155186984327,0.0603606367549374,0.087201635728071
"Mrfap1",4,0.0256213529338723,0.0699279480270317,0.0767437422054223
"Ppia",5,0.0263520891443828,0.0585571173252377,0.0608193116407741
"Copb2",6,0.0304502784136742,0.0914618535077821,0.0973010584620296
"LOC101056240",7,0.0307868141054863,0.0783876906543472,0.0903689709258129
"Rrh",8,0.032563125354217,0.174319865990198,0.260062105342652
"Atp6v0c",9,0.0328817330255003,0.10799723644114,0.124540235259694
"Ssr3",10,0.0346466814522964,0.0787620250666918,0.0849830255767805
"Akr1a1",11,0.0351817566879603,0.0900234567667353,0.10024962649617
"Gm15776",12,0.0351918835183137,0.101304178517215,0.10337860525355
"Cct6a",13,0.0352326254370398,0.0992897795014787,0.111584575481182
"Drg1",14,0.0355973406508227,0.114676472187057,0.163086564350327
"Brk1",15,0.0358720796709211,0.101942731194779,0.124701363837645
"Arl1",16,0.0359113663759571,0.0988671068987212,0.118977794256904
"Ensa",17,0.0359494300431087,0.103685159071088,0.110955350460717
"Rab7",18,0.0362030955852287,0.0652774119347626,0.0584696507194329
"Nsfl1c",19,0.0362193711992797,0.103190212632467,0.120154548668638
"Uba52",20,0.036222419965808,0.0667243948952498,0.0937511311939907
"LOC102634681",21,0.0363625612375749,0.102016986626248,0.167083834575833
"Ipo11",22,0.0368967561235887,0.100768579021932,0.102137809388518
"Triml1",23,0.0370860587058056,0.25516111417032,0.412323314699691
"Psmc5",24,0.037131851119178,0.12958637758432,0.161388376964466
"Srpr",25,0.0372549213840142,0.0942217552640583,0.0970168002784479
"Rab5a",26,0.0375022299300304,0.0875903374200072,0.087597067638706
"Ythdf3",27,0.0378494015990952,0.103233248040579,0.115589361895956
"Pih1d1",28,0.0379598946807965,0.125084818138241,0.132370010079552
"Cdc42",29,0.0383558543420791,0.101677148149077,0.10433554079438
"Elp2",30,0.0384949743955734,0.0988889762128203,0.120404373612989
"Dync1i2",31,0.0386810582783828,0.114093726998403,0.136204964074062
"4930456G14Rik",32,0.038710545515768,0.230649506020978,0.323729350042759
"Cdc27",33,0.0389656008478662,0.122639568582331,0.115816107039441
"Eif2d",34,0.0389976511247471,0.0852777043236196,0.0982900389829094
"Actr10",35,0.0390629603150551,0.112727448370105,0.133561413904834
"Tex37",36,0.039140922438693,0.195630202222741,0.262783195017959
"9630015K15Rik",37,0.0391437786268806,0.271820240255386,0.433587876411911
"Surf2",38,0.0392416770188525,0.103088257839038,0.131838850712237
"Ddx3x",39,0.0393738371290986,0.101231772945836,0.110478411628173
"Slc35e1",40,0.0399321942366696,0.107791430251669,0.114268408031417
"Caml",41,0.0399542441011089,0.126987264489653,0.147570606260724
"Ggps1",42,0.0401691511254431,0.112737577616516,0.108243035872089
"Gm12854",43,0.0405497656661099,0.12568756351546,0.141626815658543
"Anxa7",44,0.0405598396844651,0.106141525734611,0.109496684877598
"Ypel5",45,0.0405895979764928,0.134311280359256,0.146948664895243
"Cops4",46,0.0406952938575437,0.109648656813237,0.121987232174136
"Zfp131",47,0.040775093670609,0.139888813679684,0.165763505509589
"Acd",48,0.0409571879295086,0.101899820582029,0.0910878872954101
"Kif3a",49,0.0410238672095783,0.145163176943019,0.176360470749786
"Casp6",50,0.0411034548816583,0.13996373730455,0.135302341989924
"LOC102640359",51,0.041148699364816,0.131050458176922,0.164257912246492
"C78339",52,0.0412130439558546,0.106953831577938,0.107541018460959
"Slain2",53,0.0412889981404919,0.12050390818418,0.114317366990546
"Cort",54,0.0413514295713202,0.164733490592816,0.247017176602301
"Smu1",55,0.0413637052136975,0.13792659438637,0.179908855543794
"Anapc7",56,0.0414450391709129,0.0947186314998416,0.0983748040108623
"Oaz1",57,0.0414862789914883,0.0668447864641772,0.0783704140452378
"Cyb5d1",58,0.0415264677566861,0.129848188879217,0.166920407973798
"Ywhae",59,0.041533923652919,0.0901105419619774,0.093030518483662
"Ercc2",60,0.0416175508411844,0.169685669507063,0.262497369413438
"Rabl3",61,0.0416434165282549,0.129121532358122,0.118709238216444
"Gm10420",62,0.041724816715341,0.0666281755788089,0.068722659100636
"Srp14",63,0.0419081001213591,0.105273593161769,0.112728563109615
