"","SYMBOL_ID","RANKING","MEDIAN_VALUE","nGSEs"
"27209","Rn7sk",1,0.00472293122919881,10
"27207","Rn28s1",2,0.00604369180712622,5
"25762","mt-Rnr1",3,0.00616374321060664,6
"22056","CYTB",4,0.0064488268490442,11
"25763","mt-Rnr2",5,0.00689735610750742,6
"25886","ND4",6,0.00691477026020573,10
"25884","ND2",7,0.00706254894192784,11
"22015","COX1",8,0.00707098626141659,10
"23001","Gm14296",9,0.00724054480174371,5
"36123","LOC100045585",10,0.00746728362803893,7
"45032","ATP6",11,0.00752772666322528,5
"25883","ND1",12,0.00753014502896218,11
"30677","7530428D23Rik",13,0.00797999638746282,7
"29569","4833413D08Rik",14,0.00799574264195801,7
"40452","Nsep1",15,0.00803760879540034,8
"24726","Gm8973",16,0.00803889070403177,5
"35686","Lba1",17,0.00825170771459729,7
"35163","G0B-alpha",18,0.00826677884402161,7
"33474","Cn1a",19,0.00834854189573892,7
"40180","Lrrc67",20,0.008354475536331,7
"35923","LOC100043544",21,0.00836016376320073,7
"22016","COX2",22,0.00836973173994416,10
"29808","4930505D03Rik",23,0.00839034523918819,7
"41350","Tll",24,0.0085228233797639,7
"39840","LOC664822",25,0.00852797855514719,7
"39749","LOC635720",26,0.00853019291832043,7
"35069","F730015K02Rik",27,0.00854071913675806,7
"32287","AU042671",28,0.00854114970003306,7
"31941","A830027B17Rik",29,0.00865094235766387,7
"35383","Gprc2a-rs5",30,0.00866038267652377,7
"33028","C130069I09Rik",31,0.00868544656181014,7
"40157","LOC677215",32,0.00868758017721286,7
"32191","AI844366",33,0.00875083157238149,7
"31963","A830054O04Rik",34,0.00883463819036848,7
"33498","Csnd",35,0.00888196311358797,7
"39564","LOC547329",36,0.00897447369828869,7
"40809","Rdh20",37,0.00898012852928794,7
"27286","Rps11-ps2",38,0.0090126548991917,6
"30698","8030475D13Rik",39,0.00903234779008519,7
"34963","EG668310",40,0.00907480418099763,7
"40588","OTTMUSG00000010173",41,0.0090950036865211,7
"24234","Gm4819",42,0.00909834478184883,5
"30192","5330432B20Rik",43,0.00909849983441303,7
"34192","Defcr3",44,0.00910272717582386,7
"28521","1700085A12Rik",45,0.00911179384029388,7
"25887","ND4L",46,0.00916600347242266,10
"24595","Gm7222",47,0.00917045737076696,5
"40380","Murr2",48,0.00918170005497275,7
"40363","mtDNA_COXIII",49,0.00920699692555407,7
"38358","LOC382933",50,0.00920863845343574,7
"40298","mKIAA1108",51,0.00921205791186455,7
"34056","D730040F13Rik",52,0.00921822395808206,7
"32800","BC050078",53,0.00927275983713752,7
"34156","D930046H04Rik",54,0.00927506535661048,7
"32426","B230215L15Rik",55,0.00931353392140548,7
"30722","8430426H19Rik",56,0.00932810316061618,7
"29142","2700010E02Rik",57,0.00933531168000419,7
"32786","BC042720",58,0.00934441370619181,7
"40420","Nef3",59,0.00935466450767337,7
"36010","LOC100044443",60,0.00942404526585204,7
"24500","Gm6344",61,0.00942537555015126,5
"40171","LOC677551",62,0.00944643137735009,7
"30207","5430404L10Rik",63,0.00945233270088326,7
"36419","LOC100047966",64,0.00946535538170076,7
"36257","LOC100046800",65,0.00946800196039505,7
"27237","Rpl19-ps11",66,0.0094765975780345,5
"34341","E130112H22Rik",67,0.00948067930469547,7
"29621","4921509A18Rik",68,0.00949762937596804,7
"41501","V1rb10",69,0.00951357393856525,7
"29884","4930550G17Rik",70,0.00951730486959752,7
"22783","Gm12034",71,0.00952811959357674,5
"36038","LOC100044766",72,0.00953107389031902,7
"30136","5-Htr2c",73,0.00953592272609119,7
"35606","Jarid1a",74,0.00954578842751995,7
"30747","9030411M15Rik",75,0.00955382091976974,7
"28477","1700041C02Rik",76,0.0095754608877329,7
"36030","LOC100044699",77,0.00958463761255075,7
"39918","LOC667118",78,0.00959980215895695,7
"34664","EG382109",79,0.00963772635144082,7
"30446","6130401L20Rik",80,0.00965755418467104,7
"29476","4731413G05Rik",81,0.0096640188589099,7
"34346","E130113E03Rik",82,0.00966447735897963,7
"38840","LOC384448",83,0.00966616393896272,7
"35741","LOC100039649",84,0.0097120773766531,7
"29167","2700082O15Rik",85,0.00972523916250027,7
"28567","1700124P09Rik",86,0.00973863489824048,7
"28554","1700112M01Rik",87,0.00974543662728854,7
"35728","LOC100039479",88,0.00977692912139059,7
"24508","Gm6444",89,0.00979241509988502,5
"35804","LOC100040885",90,0.00982934948858455,7
"39324","LOC386137",91,0.00984495513503086,7
"38019","LOC381729",92,0.00985601354204716,7
"30580","6430702L21Rik",93,0.00985977226293145,7
"39900","LOC666466",94,0.0098639295043717,7
"29832","4930519B02Rik",95,0.00988183399075113,7
"32427","B230217N24Rik",96,0.00989729209699323,7
"35394","Gsdmc1",97,0.00992774448756813,7
"39984","LOC669429",98,0.00993692619267115,7
"34591","EG235327",99,0.00994648433647316,7
"34031","D630044D05Rik",100,0.00996390341185643,7
"33628","D130003B22Rik",101,0.00998347740682402,7
"33760","D230012E17Rik",102,0.00998922891758374,7
"27273","Rpl7a-ps12",103,0.0100162893657884,5
"32432","B230220E17Rik",104,0.0100175570350465,7
"34951","EG667598",105,0.0100216235181079,7
"35951","LOC100044008",106,0.0100452203848226,7
"37301","LOC269691",107,0.0100484537531395,7
"25885","ND3",108,0.0100555433616502,10
"29320","2900083I11Rik",109,0.0100644566177722,7
"35408","Gukmi1",110,0.0100661334923411,7
"40250","Mil1-pending",111,0.0100820529545141,7
"41302","Tbx13",112,0.0100865656450421,7
"29321","2900084M01Rik",113,0.0101001496559558,7
"37881","LOC381351",114,0.0101088327248254,7
"30304","5730557B15Rik",115,0.0101163646429361,7
"32288","AU044581",116,0.0101363117440269,7
"41625","V2r3",117,0.0101453832568997,7
"39579","LOC620009",118,0.0101579275896203,7
"36116","LOC100045505",119,0.0101581154419817,7
"39458","LOC386552",120,0.0101680857881606,7
"41329","Tect1",121,0.0101684650558252,7
"29620","4921507O14Rik",122,0.0101685218698161,7
"28539","1700096C12Rik",123,0.0101688761727521,7
"22402","Gm10293",124,0.010173280591868,5
"36398","LOC100047839",125,0.0101870029515761,7
"32041","A930014I12Rik",126,0.0101886328982785,7
"39998","LOC670237",127,0.0101889894938345,7
"28721","2210012C09Rik",128,0.0101939742961285,7
"38551","LOC383566",129,0.0101985088009341,7
"35201","Gabt1",130,0.0101998952758711,7
"29341","3110001E11Rik",131,0.0102016805870811,7
"34846","EG626571",132,0.0102172465858503,7
"29639","4921517J08Rik",133,0.0102251231967006,7
"34509","E430029J22Rik",134,0.010247864399152,7
"39367","LOC386252",135,0.0102576755719159,7
"29197","2810043G22Rik",136,0.010260549367035,7
"35724","LOC100039227",137,0.0102621061908599,7
"28105","1110001D15Rik",138,0.0102654812900058,7
"37625","LOC380652",139,0.010280565261762,7
"38696","LOC384049",140,0.0102845986732256,7
"40989","scl000244.1_65",141,0.0102938296465056,7
"39809","LOC639558",142,0.0102977700274217,7
"35527","IGHV1S32_X02464_Ig_heavy_variable_1S32_136",143,0.0103006015993722,7
"34344","E130112L23Rik",144,0.0103016957886258,7
"34970","EG668725",145,0.0103032610428073,7
"28343","1700006H03Rik",146,0.0103080321154511,7
"41045","scl0003381.1_13",147,0.0103273020569354,7
"37996","LOC381651",148,0.0103285681760547,7
"37711","LOC380910",149,0.0103313926630589,7
"29745","4930438B07Rik",150,0.0103466219887149,7
"33606","D0Kist2",151,0.0103527719165047,7
"23013","Gm14399",152,0.0103533872029884,5
"30503","6330540D07Rik",153,0.0103712105178016,7
"39461","LOC386560",154,0.0103712676980548,7
"39185","LOC385672",155,0.0103759466819586,7
"33964","D530033B14Rik",156,0.0103778181037245,7
"30801","9130423G08Rik",157,0.0103929386936307,7
"39464","LOC406217",158,0.0103935897214339,7
"39986","LOC669520",159,0.0104008226680906,7
"36653","LOC213320",160,0.0104058531073291,7
