"","SYMBOL_ID","RANKING","MEDIAN_VALUE","nGSEs"
"27207","Rn28s1",1,0.00415380792214239,5
"27209","Rn7sk",2,0.00457640744563358,10
"25762","mt-Rnr1",3,0.00626795408520134,6
"24595","Gm7222",4,0.00648127913066742,5
"24500","Gm6344",5,0.00655527298263427,5
"34788","EG546954",6,0.00662464312969928,7
"35383","Gprc2a-rs5",7,0.0067832921464077,7
"35163","G0B-alpha",8,0.00689397381936789,7
"25883","ND1",9,0.00690632651737507,11
"24726","Gm8973",10,0.00695529509113074,5
"40298","mKIAA1108",11,0.00700645289188133,7
"22056","CYTB",12,0.00716312283330656,11
"23001","Gm14296",13,0.00716720073349472,5
"25763","mt-Rnr2",14,0.00717872193062254,6
"33628","D130003B22Rik",15,0.00731086017950681,7
"30677","7530428D23Rik",16,0.00732972316876542,7
"29569","4833413D08Rik",17,0.00738434516198474,7
"45032","ATP6",18,0.00744401607743421,5
"35368","GPR106",19,0.00746487807960614,7
"40380","Murr2",20,0.00756397826342269,7
"34873","EG630579",21,0.00764902931714737,7
"29808","4930505D03Rik",22,0.00768470785917098,7
"22015","COX1",23,0.00773922483857711,10
"36139","LOC100045726",24,0.00781219361627592,7
"29167","2700082O15Rik",25,0.00781479974377691,7
"36419","LOC100047966",26,0.00789044229211046,7
"36823","LOC226416",27,0.00791498560781249,7
"30698","8030475D13Rik",28,0.00791686093165235,7
"36560","LOC195534",29,0.0079348313608642,7
"40344","mt-Cytb",30,0.00793537145762172,7
"25886","ND4",31,0.00794324649469195,10
"40157","LOC677215",32,0.00794440649763136,7
"40809","Rdh20",33,0.0079495238443385,7
"35686","Lba1",34,0.00796817409167129,7
"40588","OTTMUSG00000010173",35,0.00800742149949336,7
"36123","LOC100045585",36,0.00801611381283368,7
"39357","LOC386230",37,0.00801883176058129,7
"39461","LOC386560",38,0.00805546875296167,7
"29620","4921507O14Rik",39,0.00806778975590841,7
"34156","D930046H04Rik",40,0.00811523747281854,7
"25884","ND2",41,0.0081377908632596,11
"40180","Lrrc67",42,0.00814313556398005,7
"37009","LOC236397",43,0.0081593100332872,7
"39840","LOC664822",44,0.00818806461835428,7
"37042","LOC237504",45,0.00819395819451701,7
"25885","ND3",46,0.00821395382594771,10
"22016","COX2",47,0.00822777206739222,10
"29476","4731413G05Rik",48,0.0082323088240051,7
"41350","Tll",49,0.00823765647083448,7
"32765","BC032266",50,0.00824709211829248,7
"37886","LOC381360",51,0.00824995012743734,7
"40420","Nef3",52,0.00827403224257755,7
"41122","scl00093.1_86",53,0.00827644105904321,7
"25350","LOC102642233",54,0.00829213708330546,5
"38991","LOC384938",55,0.00830892771559163,7
"27532","Supt4a",56,0.00831692699733759,5
"35600","Itgb1bp3",57,0.00832034412911013,8
"20209","Uba52",58,0.00833093461503895,33
"29142","2700010E02Rik",59,0.00834807582077663,7
"41070","scl0003749.1_1",60,0.00834872947496811,7
"29341","3110001E11Rik",61,0.00837058124293564,7
"30580","6430702L21Rik",62,0.00839459054374439,7
"39458","LOC386552",63,0.00839790279713524,7
"40975","scl0002292.1_30",64,0.0084266253909971,7
"36800","LOC224986",65,0.0084311460465034,7
"35923","LOC100043544",66,0.00846279455083683,7
"29840","4930522L02Rik",67,0.00849464103596884,7
"38019","LOC381729",68,0.00850431316938806,7
"34026","D630041L13Rik",69,0.00850606263483409,7
"38190","LOC382230",70,0.00853472920469285,7
"32432","B230220E17Rik",71,0.0085660664530417,7
"30192","5330432B20Rik",72,0.00857430885117715,7
"40365","mtDNA_ND1",73,0.00859041038935978,7
"29621","4921509A18Rik",74,0.00859448445180673,7
"30304","5730557B15Rik",75,0.00859992747990943,7
"36425","LOC100048046",76,0.00860000170651628,7
"34346","E130113E03Rik",77,0.00862248236217164,7
"30503","6330540D07Rik",78,0.00862781080466925,7
"30207","5430404L10Rik",79,0.00863529640340627,7
"29732","4930431J08Rik",80,0.00863592210202263,7
"40886","scl000078.1_211_REVCOMP",81,0.00865176410816295,7
"36653","LOC213320",82,0.0086879260809871,7
"37317","LOC270453",83,0.00869121471806141,7
"35979","LOC100044185",84,0.0086999204208255,7
"37363","LOC277157",85,0.00870154012458158,7
"36116","LOC100045505",86,0.00870829736241545,7
"29832","4930519B02Rik",87,0.00871244112921683,7
"33746","D230004J03Rik",88,0.00875701724133786,7
"34591","EG235327",89,0.00875973808998123,7
"33760","D230012E17Rik",90,0.00876535450158625,7
"39980","LOC669251",91,0.00876822821012498,7
"35201","Gabt1",92,0.00877187755028621,7
"41329","Tect1",93,0.00877514707563307,7
"40989","scl000244.1_65",94,0.00877772860244936,7
"36404","LOC100047888",95,0.0087882812229503,7
"41049","scl0003456.1_247",96,0.00879259404684793,7
"38255","LOC382513",97,0.00880067644676978,7
"34341","E130112H22Rik",98,0.00880845894623826,7
"39016","LOC385030",99,0.00880875080314313,7
"33497","Csna",100,0.0088122897100665,7
"27240","Rpl21-ps3",101,0.00881390460915143,5
"35741","LOC100039649",102,0.00885869526951379,7
"28554","1700112M01Rik",103,0.00886096867785984,7
"28567","1700124P09Rik",104,0.00886609539957434,7
"32191","AI844366",105,0.00887652718535586,7
"27237","Rpl19-ps11",106,0.00888745316061832,5
"37555","LOC331762",107,0.00889620902499267,7
"31313","A130071D18Rik",108,0.00889880883225255,7
"36269","LOC100046874",109,0.00890567697719651,7
"39875","LOC665753",110,0.00891171069796115,7
"33127","C230064B13Rik",111,0.0089155960829121,7
"30446","6130401L20Rik",112,0.00893346469464431,7
"33103","C230040G06",113,0.00893991491106358,7
"35538","IGHV1S57_D13200_Ig_heavy_variable_1S57_245",114,0.00895223580434989,7
"41429","Trrp7",115,0.00896607582860801,7
"38975","LOC384892",116,0.00897231362546395,7
"31715","A630026F04",117,0.00898299783697804,7
"36650","LOC213043",118,0.00898677876652144,7
"37642","LOC380723",119,0.00899216123650246,7
"38230","LOC382418",120,0.00899270045415555,7
"36780","LOC224098",121,0.00899549543231386,7
"38570","LOC383616",122,0.00899835209852758,7
"32884","C030002J06Rik",123,0.00899890167106603,7
"38299","LOC382708",124,0.00899963436468604,7
"34951","EG667598",125,0.00900248786196825,7
