"","SYMBOL_ID","RANKING","MEDIAN_VALUE","nGSEs"
"27207","Rn28s1",1,0.00597901972467814,5
"27209","Rn7sk",2,0.00665333784546291,10
"30677","7530428D23Rik",3,0.00882947321694453,7
"25762","mt-Rnr1",4,0.00958060322412392,6
"34885","EG633120",5,0.0100552291815439,7
"34788","EG546954",6,0.0100857681746688,7
"25763","mt-Rnr2",7,0.0101496869761387,6
"29569","4833413D08Rik",8,0.0101789220472925,7
"40809","Rdh20",9,0.0102069620527582,7
"24595","Gm7222",10,0.0104356439835869,5
"35383","Gprc2a-rs5",11,0.0105556742766649,7
"36123","LOC100045585",12,0.0106417931849789,7
"25883","ND1",13,0.0106883951400953,11
"41070","scl0003749.1_1",14,0.0108428215057931,7
"40989","scl000244.1_65",15,0.0110085197558545,7
"25886","ND4",16,0.0111128956432229,10
"40157","LOC677215",17,0.011163025579363,7
"24726","Gm8973",18,0.0111742848306124,5
"35923","LOC100043544",19,0.0112413376208378,7
"40921","scl0001544.1_68",20,0.011245789134451,7
"35163","G0B-alpha",21,0.0112573685152567,7
"24500","Gm6344",22,0.0112761680017775,5
"40380","Murr2",23,0.0113052938009254,7
"33628","D130003B22Rik",24,0.0113128754697537,7
"31941","A830027B17Rik",25,0.0113163101382277,7
"45032","ATP6",26,0.0113420663407431,5
"40344","mt-Cytb",27,0.0113828211496554,7
"35686","Lba1",28,0.0113991291012248,7
"35368","GPR106",29,0.0114157771094131,7
"30580","6430702L21Rik",30,0.0114674823901258,7
"30711","8430406N16Rik",31,0.0114940908230246,7
"29808","4930505D03Rik",32,0.0114959331394753,7
"22056","CYTB",33,0.0115195687284001,11
"31385","A230055P19Rik",34,0.0115423537425532,7
"27532","Supt4a",35,0.0115573279723889,5
"22015","COX1",36,0.011568900928602,10
"40365","mtDNA_ND1",37,0.0115871351277918,7
"29167","2700082O15Rik",38,0.0116736039792955,7
"34026","D630041L13Rik",39,0.0116736679756439,7
"30698","8030475D13Rik",40,0.0117124528487777,7
