"GSEID","GPL","indicadorMT","muestrasSexo","anotacionSexo","sex_tags","nSamples_adi","nMales","nFemales","MaleGSMs","FemaleGSMs"
"GSE117352","GPL1261","MONOTEJIDO","MACHOS","SI","gender: male",10,10,0,"'GSM3291604','GSM3291605','GSM3291606','GSM3291607','GSM3291608','GSM3291609','GSM3291610','GSM3291611','GSM3291612','GSM3291613'","NULL"
"GSE140953","GPL1261","MONOTEJIDO","AMBOS","SI","gender: male///gender: female",12,6,6,"'GSM4191290','GSM4191291','GSM4191292','GSM4191298','GSM4191299','GSM4191300'","'GSM4191293','GSM4191294','GSM4191295','GSM4191296','GSM4191297','GSM4191301'"
"GSE110531","GPL1261","MONOTEJIDO","MACHOS","NO","NULL",23,23,0,"'GSM2995292', 'GSM2995293', 'GSM2995294', 'GSM2995295', 'GSM2995296', 'GSM2995297', 'GSM2995298', 'GSM2995299', 'GSM2995300', 'GSM2995301', 'GSM2995302', 'GSM2995303', 'GSM2995304', 'GSM2995305', 'GSM2995306', 'GSM2995307', 'GSM2995308', 'GSM2995309', 'GSM2995310', 'GSM2995311', 'GSM2995312', 'GSM2995313', 'GSM2995314'","NULL"
"GSE66132","GPL1261","MONOTEJIDO","MACHOS","SI","gender: male && gender: Male",16,16,0,"'GSM1614863', 'GSM1614864', 'GSM1614865', 'GSM1614866', 'GSM1614867', 'GSM1614868', 'GSM1614869', 'GSM1614870', 'GSM1614871', 'GSM1614872', 'GSM1614873', 'GSM1614874', 'GSM1614875', 'GSM1614876', 'GSM1614877', 'GSM1614878'","NULL"
"GSE77943","GPL1261","MULTITEJIDO","MACHOS","SI","gender: male",21,21,0,"'GSM2061955', 'GSM2061962', 'GSM2061967', 'GSM2061971', 'GSM2061976', 'GSM2061981', 'GSM2061986', 'GSM2061991', 'GSM2061996', 'GSM2062001', 'GSM2062009', 'GSM2062011', 'GSM2062016', 'GSM2062021', 'GSM2062027', 'GSM2062032', 'GSM2062037', 'GSM2062042', 'GSM2062047', 'GSM2062052', 'GSM2062058'","NULL"
"GSE97240","GPL1261","MULTITEJIDO","MACHOS","SI","gender: Male",34,34,0,"'GSM2560037', 'GSM2560038', 'GSM2560039', 'GSM2560040', 'GSM2560041', 'GSM2560042', 'GSM2560043', 'GSM2560044', 'GSM2560045', 'GSM2560046', 'GSM2560047', 'GSM2560048', 'GSM2560049', 'GSM2560050', 'GSM2560051', 'GSM2560052', 'GSM2560054', 'GSM2560056', 'GSM2560058', 'GSM2560061', 'GSM2560062', 'GSM2560064', 'GSM2560066', 'GSM2560068', 'GSM2560071', 'GSM2560072', 'GSM2560074', 'GSM2560075', 'GSM2560077', 'GSM2560081', 'GSM2560082', 'GSM2560084', 'GSM2560086', 'GSM2560088'","NULL"
"GSE71367","GPL1261","MONOTEJIDO","MACHOS","SI","gender: male",27,27,0,"'GSM1833084', 'GSM1833085', 'GSM1833086', 'GSM1833087', 'GSM1833088', 'GSM1833089', 'GSM1833090', 'GSM1833091', 'GSM1833092', 'GSM1833093', 'GSM1833094', 'GSM1833095', 'GSM1833096', 'GSM1833097', 'GSM1833098', 'GSM1833099', 'GSM1833100', 'GSM1833101', 'GSM1833102', 'GSM1833103', 'GSM1833104', 'GSM1833105', 'GSM1833106', 'GSM1833107', 'GSM1833108', 'GSM1833109', 'GSM1833110'","NULL"
"GSE67389","GPL1261","MONOTEJIDO","MACHOS","SI","gender: Male",16,16,0,"'GSM1646131', 'GSM1646132', 'GSM1646133', 'GSM1646134', 'GSM1646135', 'GSM1646136', 'GSM1646137', 'GSM1646138', 'GSM1646139', 'GSM1646140', 'GSM1646141', 'GSM1646142', 'GSM1646143', 'GSM1646144', 'GSM1646145', 'GSM1646146'","NULL"
"GSE51080","GPL1261","MONOTEJIDO","HEMBRAS","SI","gender: female",18,0,18,"NULL","'GSM1237790', 'GSM1237791', 'GSM1237792', 'GSM1237793', 'GSM1237794', 'GSM1237795', 'GSM1237796', 'GSM1237797', 'GSM1237798', 'GSM1237799', 'GSM1237800', 'GSM1237801', 'GSM1237802', 'GSM1237803', 'GSM1237804', 'GSM1237805', 'GSM1237806', 'GSM1237807'"
"GSE13432","GPL1261","MONOTEJIDO","MACHOS","SI","gender: Male",12,12,0,"'GSM338983', 'GSM338984', 'GSM338985', 'GSM338986', 'GSM338987', 'GSM338988', 'GSM338989', 'GSM338990', 'GSM338991', 'GSM338992', 'GSM338993', 'GSM338994'","NULL"
"GSE38321","GPL6246","MONOTEJIDO","HEMBRAS","SI","Sex: Female",10,0,10,"NULL","'GSM938954', 'GSM938955', 'GSM938956', 'GSM938957', 'GSM938958', 'GSM938959', 'GSM938960', 'GSM938961', 'GSM938962', 'GSM938963'"
"GSE79434","GPL6246","MULTITEJIDO","MACHOS","SI","gender: Male",24,24,0,"'GSM2095226', 'GSM2095227', 'GSM2095228', 'GSM2095229', 'GSM2095230', 'GSM2095231', 'GSM2095232', 'GSM2095233', 'GSM2095234', 'GSM2095235', 'GSM2095236', 'GSM2095237', 'GSM2095287', 'GSM2095288', 'GSM2095289', 'GSM2095290', 'GSM2095291', 'GSM2095292', 'GSM2095293', 'GSM2095294', 'GSM2095295', 'GSM2095296', 'GSM2095297', 'GSM2095298'","NULL"
"GSE55272","GPL6246","MULTITEJIDO","MACHOS","SI","Sex: Male",12,12,0,"'GSM1333082', 'GSM1333083', 'GSM1333084', 'GSM1333085', 'GSM1333086', 'GSM1333087', 'GSM1333100', 'GSM1333101', 'GSM1333102', 'GSM1333103', 'GSM1333104', 'GSM1333105'","NULL"
"GSE37514","GPL6246","MONOTEJIDO","MACHOS","SI","gender: male",15,15,0,"'GSM921326', 'GSM921327', 'GSM921328', 'GSM921329', 'GSM921330', 'GSM921331', 'GSM921332', 'GSM921333', 'GSM921334', 'GSM921335', 'GSM921336', 'GSM921337', 'GSM921338', 'GSM921339', 'GSM921340'","NULL"
"GSE113808","GPL6885","MONOTEJIDO","MACHOS","SI","Sex: Male",16,16,0,"'GSM3120059', 'GSM3120060', 'GSM3120061', 'GSM3120062', 'GSM3120063', 'GSM3120064', 'GSM3120065', 'GSM3120066', 'GSM3120067', 'GSM3120068', 'GSM3120069', 'GSM3120070', 'GSM3120071', 'GSM3120072', 'GSM3120073', 'GSM3120074'","NULL"
"GSE70857","GPL6885","MULTITEJIDO","MACHOS","SI","gender: male",48,48,0,"'GSM1820563', 'GSM1820564', 'GSM1820565', 'GSM1820566', 'GSM1820567', 'GSM1820568', 'GSM1820569', 'GSM1820570', 'GSM1820571', 'GSM1820572', 'GSM1820573', 'GSM1820574', 'GSM1820587', 'GSM1820588', 'GSM1820589', 'GSM1820590', 'GSM1820591', 'GSM1820592', 'GSM1820593', 'GSM1820594', 'GSM1820595', 'GSM1820596', 'GSM1820597', 'GSM1820598', 'GSM1820611', 'GSM1820612', 'GSM1820613', 'GSM1820614', 'GSM1820615', 'GSM1820616', 'GSM1820617', 'GSM1820618', 'GSM1820619', 'GSM1820620', 'GSM1820621', 'GSM1820622', 'GSM1820635', 'GSM1820636', 'GSM1820637', 'GSM1820638', 'GSM1820639', 'GSM1820640', 'GSM1820641', 'GSM1820642', 'GSM1820643', 'GSM1820644', 'GSM1820645', 'GSM1820646'","NULL"
