GSEID,GPL,nSamples_adi,indicadorMT,adiGSMs,InformacionSexo,muestrasSexo,anotacionSexo,sex_tags,información_adicional
GSE117352,GPL1261,10,MONOTEJIDO,ALL,SI,MACHOS,SI,gender: male,Todos machos
GSE140953,GPL1261,12,MONOTEJIDO,ALL,SI,AMBOS,SI,gender: male///gender: female,
GSE110531,GPL1261,23,MONOTEJIDO,ALL,SI,MACHOS,NO,NULL,Todas las muestras pertenecen a un único ratón macho de 8 semanas
GSE66132,GPL1261,16,MONOTEJIDO,ALL,SI,MACHOS,SI,gender: male && gender: Male,"Tiene dos etiquetas de sexo, una en minuscula y otra en mayuscula"
GSE87854,GPL1261,12,MONOTEJIDO,ALL,NO,NULL,NO,NULL,
GSE87853,GPL1261,11,MONOTEJIDO,ALL,NO,NULL,NO,NULL,
GSE77943,GPL1261,21,MULTITEJIDO,"GSM2061955', 'GSM2061962', 'GSM2061967', 'GSM2061971', 'GSM2061976', 'GSM2061981', 'GSM2061986', 'GSM2061991', 'GSM2061996', 'GSM2062001', 'GSM2062009', 'GSM2062011', 'GSM2062016', 'GSM2062021', 'GSM2062027', 'GSM2062032', 'GSM2062037', 'GSM2062042', 'GSM2062047', 'GSM2062052', 'GSM2062058'",SI,MACHOS,SI,gender: male,Todos machos
GSE97240,GPL1261,34,MULTITEJIDO,"GSM2560037', 'GSM2560038', 'GSM2560039', 'GSM2560040', 'GSM2560041', 'GSM2560042', 'GSM2560043', 'GSM2560044', 'GSM2560045', 'GSM2560046', 'GSM2560047', 'GSM2560048', 'GSM2560049', 'GSM2560050', 'GSM2560051', 'GSM2560052', 'GSM2560054', 'GSM2560056', 'GSM2560058', 'GSM2560061', 'GSM2560062', 'GSM2560064', 'GSM2560066', 'GSM2560068', 'GSM2560071', 'GSM2560072', 'GSM2560074', 'GSM2560075', 'GSM2560077', 'GSM2560081', 'GSM2560082', 'GSM2560084', 'GSM2560086', 'GSM2560088'",SI,MACHOS,SI,gender: Male,Todos machos
GSE71367,GPL1261,27,MONOTEJIDO,ALL,SI,MACHOS,SI,gender: male,Todos machos
GSE67389,GPL1261,16,MONOTEJIDO,ALL,SI,MACHOS,SI,gender: Male,Todos machos
GSE51080,GPL1261,18,MONOTEJIDO,ALL,SI,HEMBRAS,SI,gender: female,Todas hembras
GSE53403,GPL1261,16,MONOTEJIDO,ALL,NO,NULL,NO,NULL,
GSE30247,GPL1261,16,MONOTEJIDO,ALL,NO,NULL,NO,NULL,
GSE39562,GPL1261,26,MONOTEJIDO,ALL,NO,NULL,NO,NULL,
GSE27309,GPL1261,10,MONOTEJIDO,ALL,NO,NULL,NO,NULL,
GSE13432,GPL1261,12,MONOTEJIDO,ALL,SI,MACHOS,SI,gender: Male,Todos machos
GSE38321,GPL6246,10,MONOTEJIDO,ALL,SI,HEMBRAS,SI,Sex: Female,Todas hembras
GSE79434,GPL6246,24,MULTITEJIDO,"GSM2095226', 'GSM2095227', 'GSM2095228', 'GSM2095229', 'GSM2095230', 'GSM2095231', 'GSM2095232', 'GSM2095233', 'GSM2095234', 'GSM2095235', 'GSM2095236', 'GSM2095237', 'GSM2095287', 'GSM2095288', 'GSM2095289', 'GSM2095290', 'GSM2095291', 'GSM2095292', 'GSM2095293', 'GSM2095294', 'GSM2095295', 'GSM2095296', 'GSM2095297', 'GSM2095298'",SI,MACHOS,SI,gender: Male,Todos machos
GSE54650,GPL6246,48,MULTITEJIDO,"GSM1321062', 'GSM1321063', 'GSM1321064', 'GSM1321065', 'GSM1321066', 'GSM1321067', 'GSM1321068', 'GSM1321069', 'GSM1321070', 'GSM1321071', 'GSM1321072', 'GSM1321073', 'GSM1321074', 'GSM1321075', 'GSM1321076', 'GSM1321077', 'GSM1321078', 'GSM1321079', 'GSM1321080', 'GSM1321081', 'GSM1321082', 'GSM1321083', 'GSM1321084', 'GSM1321085', 'GSM1321254', 'GSM1321255', 'GSM1321256', 'GSM1321257', 'GSM1321258', 'GSM1321259', 'GSM1321260', 'GSM1321261', 'GSM1321262', 'GSM1321263', 'GSM1321264', 'GSM1321265', 'GSM1321266', 'GSM1321267', 'GSM1321268', 'GSM1321269', 'GSM1321270', 'GSM1321271', 'GSM1321272', 'GSM1321273', 'GSM1321274', 'GSM1321275', 'GSM1321276', 'GSM1321277'",NO,NULL,NO,NULL,
GSE55272,GPL6246,12,MULTITEJIDO,"GSM1333082', 'GSM1333083', 'GSM1333084', 'GSM1333085', 'GSM1333086', 'GSM1333087', 'GSM1333100', 'GSM1333101', 'GSM1333102', 'GSM1333103', 'GSM1333104', 'GSM1333105'",SI,MACHOS,SI,Sex: Male,Todos machos
GSE35026,GPL6246,24,MONOTEJIDO,ALL,NO,NULL,NO,NULL,
GSE37514,GPL6246,15,MONOTEJIDO,ALL,SI,MACHOS,SI,gender: male,Todos machos
GSE33684,GPL6885,16,MONOTEJIDO,ALL,NO,NULL,NO,NULL,
GSE113808,GPL6885,16,MONOTEJIDO,ALL,SI,MACHOS,SI,Sex: Male,Todos machos
GSE104128,GPL6885,16,MULTITEJIDO,"GSM2790383', 'GSM2790384', 'GSM2790385', 'GSM2790386', 'GSM2790387', 'GSM2790388', 'GSM2790389', 'GSM2790390', 'GSM2790391', 'GSM2790392', 'GSM2790393', 'GSM2790394', 'GSM2790395', 'GSM2790396', 'GSM2790397', 'GSM2790398'",NO,NULL,NO,NULL,
GSE97910,GPL6885,72,MONOTEJIDO,ALL,NO,NULL,NO,NULL,
GSE70857,GPL6885,48,MULTITEJIDO,"GSM1820563', 'GSM1820564', 'GSM1820565', 'GSM1820566', 'GSM1820567', 'GSM1820568', 'GSM1820569', 'GSM1820570', 'GSM1820571', 'GSM1820572', 'GSM1820573', 'GSM1820574', 'GSM1820587', 'GSM1820588', 'GSM1820589', 'GSM1820590', 'GSM1820591', 'GSM1820592', 'GSM1820593', 'GSM1820594', 'GSM1820595', 'GSM1820596', 'GSM1820597', 'GSM1820598', 'GSM1820611', 'GSM1820612', 'GSM1820613', 'GSM1820614', 'GSM1820615', 'GSM1820616', 'GSM1820617', 'GSM1820618', 'GSM1820619', 'GSM1820620', 'GSM1820621', 'GSM1820622', 'GSM1820635', 'GSM1820636', 'GSM1820637', 'GSM1820638', 'GSM1820639', 'GSM1820640', 'GSM1820641', 'GSM1820642', 'GSM1820643', 'GSM1820644', 'GSM1820645', 'GSM1820646'",SI,MACHOS,SI,gender: male,Todos machos
GSE62324,GPL6885,12,MONOTEJIDO,ALL,NO,NULL,NO,NULL,
GSE57659,GPL6885,179,MONOTEJIDO,ALL,SI,MACHOS,SI,gender: male,Todos machos
GSE39313,GPL6885,16,MULTITEJIDO,"GSM960692', 'GSM960693', 'GSM960694', 'GSM960695', 'GSM960696', 'GSM960697', 'GSM960698', 'GSM960699', 'GSM960700', 'GSM960701', 'GSM960718', 'GSM960719', 'GSM960720', 'GSM960721', 'GSM960722', 'GSM960723'",NO,NULL,NO,NULL,
GSE70300,GPL6887,10,MULTITEJIDO,"GSM1723369', 'GSM1723371', 'GSM1723376', 'GSM1723377', 'GSM1723379', 'GSM1723380', 'GSM1723382', 'GSM1723383', 'GSM1723385', 'GSM1723389'",NO,NULL,NO,NULL,
GSE97145,GPL6887,11,MONOTEJIDO,ALL,SI,MACHOS,SI,Sex: male,Todos machos
GSE64718,GPL6887,33,MONOTEJIDO,ALL,NO,NULL,NO,NULL,
GSE62612,GPL6887,11,MULTITEJIDO,"GSM1530015', 'GSM1530016', 'GSM1530017', 'GSM1530018', 'GSM1530019', 'GSM1530020', 'GSM1530021', 'GSM1530022', 'GSM1530023', 'GSM1530024', 'GSM1530025'",SI,MACHOS,SI,gender: Male,Todos machos
GSE62937,GPL6887,24,MONOTEJIDO,ALL,NO,NULL,NO,NULL,
GSE55057,GPL6887,12,MONOTEJIDO,ALL,NO,NULL,NO,NULL,
GSE39549,GPL6887,40,MULTITEJIDO,"GSM971546', 'GSM971547', 'GSM971548', 'GSM971549', 'GSM971550', 'GSM971551', 'GSM971552', 'GSM971553', 'GSM971554', 'GSM971555', 'GSM971556', 'GSM971557', 'GSM971558', 'GSM971559', 'GSM971560', 'GSM971561', 'GSM971562', 'GSM971563', 'GSM971564', 'GSM971565', 'GSM971566', 'GSM971567', 'GSM971568', 'GSM971569', 'GSM971570', 'GSM971571', 'GSM971572', 'GSM971573', 'GSM971574', 'GSM971575', 'GSM971576', 'GSM971577', 'GSM971578', 'GSM971579', 'GSM971580', 'GSM971581', 'GSM971582', 'GSM971583', 'GSM971584', 'GSM971585'",NO,NULL,NO,NULL,
GSE50647,GPL6887,42,MONOTEJIDO,ALL,SI,MACHOS,SI,gender: male,
GSE118876,GPL16570,12,MONOTEJIDO,ALL,NO,NULL,NO,NULL,
GSE104955,GPL16570,16,MONOTEJIDO,ALL,NO,NULL,NO,NULL,
GSE87661,GPL16570,24,MONOTEJIDO,ALL,SI,MACHOS,SI,gender: Male,
GSE79711,GPL16570,12,MONOTEJIDO,ALL,SI,MACHOS,SI,gender: Male,
GSE60150,GPL16570,37,MONOTEJIDO,ALL,NO,NULL,NO,NULL,
