"GSEIDs","nSamples_adi","indicadorMT","adiGSMs"
"GSE117352",10,"MONOTEJIDO","ALL"
"GSE140953",12,"MONOTEJIDO","ALL"
"GSE110531",23,"MONOTEJIDO","ALL"
"GSE66132",16,"MONOTEJIDO","ALL"
"GSE87854",12,"MONOTEJIDO","ALL"
"GSE87853",11,"MONOTEJIDO","ALL"
"GSE77943",21,"MULTITEJIDO","'GSM2061955', 'GSM2061962', 'GSM2061967', 'GSM2061971', 'GSM2061976', 'GSM2061981', 'GSM2061986', 'GSM2061991', 'GSM2061996', 'GSM2062001', 'GSM2062009', 'GSM2062011', 'GSM2062016', 'GSM2062021', 'GSM2062027', 'GSM2062032', 'GSM2062037', 'GSM2062042', 'GSM2062047', 'GSM2062052', 'GSM2062058'"
"GSE97240",34,"MULTITEJIDO","'GSM2560037', 'GSM2560038', 'GSM2560039', 'GSM2560040', 'GSM2560041', 'GSM2560042', 'GSM2560043', 'GSM2560044', 'GSM2560045', 'GSM2560046', 'GSM2560047', 'GSM2560048', 'GSM2560049', 'GSM2560050', 'GSM2560051', 'GSM2560052', 'GSM2560054', 'GSM2560056', 'GSM2560058', 'GSM2560061', 'GSM2560062', 'GSM2560064', 'GSM2560066', 'GSM2560068', 'GSM2560071', 'GSM2560072', 'GSM2560074', 'GSM2560075', 'GSM2560077', 'GSM2560081', 'GSM2560082', 'GSM2560084', 'GSM2560086', 'GSM2560088'"
"GSE71367",27,"MONOTEJIDO","ALL"
"GSE67389",16,"MONOTEJIDO","ALL"
"GSE51080",18,"MONOTEJIDO","ALL"
"GSE53403",16,"MONOTEJIDO","ALL"
"GSE30247",16,"MONOTEJIDO","ALL"
"GSE39562",26,"MONOTEJIDO","ALL"
"GSE27309",10,"MONOTEJIDO","ALL"
"GSE13432",12,"MONOTEJIDO","ALL"
