GSEID	GPL
GSE145895	GPL17400
GSE145498	GPL17400
GSE33684	GPL6885
GSE125900	GPL6887
GSE140757	GPL21877
GSE140954	GPL1261
GSE140953	GPL1261
GSE121015	GPL23038
GSE135544	GPL20837
GSE115068	GPL21163
GSE112653	GPL13912
GSE100028	GPL20258
GSE123990	GPL6885
GSE123990	GPL6887
GSE127928	GPL11533
GSE79016	GPL20258
GSE92719	GPL9734
GSE117353	GPL16791
GSE117353	GPL1261
GSE117352	GPL1261
GSE110531	GPL1261
GSE66132	GPL1261
GSE66131	GPL1261
GSE66130	GPL1261
GSE111865	GPL17400
GSE64308	GPL13912
GSE122374	GPL6246
GSE113808	GPL6885
GSE118575	GPL6246
GSE118575	GPL21103
GSE118575	GPL17021
GSE120243	GPL6887
GSE111735	GPL6885
GSE118876	GPL16570
GSE118034	GPL6885
GSE113823	GPL17586
GSE113823	GPL13112
GSE113507	GPL16570
GSE111809	GPL16570
GSE111744	GPL16570
GSE111142	GPL10787
GSE106271	GPL1261
GSE106270	GPL1261
GSE110420	GPL17400
GSE87854	GPL1261
GSE87853	GPL1261
GSE97145	GPL6887
GSE104955	GPL16570
GSE89348	GPL13912
GSE98847	GPL4134
GSE104128	GPL6885
GSE102977	GPL11202
GSE77943	GPL1261
GSE97240	GPL1261
GSE74062	GPL6096
GSE99064	GPL16570
GSE97910	GPL6885
GSE64104	GPL11533
GSE80148	GPL6246
GSE80146	GPL6246
GSE57513	GPL6246
GSE87191	GPL17791
GSE87661	GPL16570
GSE85439	GPL15691
GSE84809	GPL16570
GSE85846	GPL17400
GSE80215	GPL10787
GSE79711	GPL16570
GSE79166	GPL9250
GSE79166	GPL6246
GSE79164	GPL6246
GSE82328	GPL6887
GSE79434	GPL6246
GSE71367	GPL1261
GSE72210	GPL6096
GSE71749	GPL13912
GSE63761	GPL6885
GSE70562	GPL8321
GSE68443	GPL8321
GSE68429	GPL8321
GSE68382	GPL8321
GSE67289	GPL6193
GSE67287	GPL6193
GSE61121	GPL6246
GSE46181	GPL10787
GSE56635	GPL6246
GSE56635	GPL6244
GSE56634	GPL6246
GSE70857	GPL6885
GSE67077	GPL11533
GSE63198	GPL6887
GSE39689	GPL6845
GSE70300	GPL6887
GSE64909	GPL17543
GSE38446	GPL10740
GSE38445	GPL10740
GSE58952	GPL11533
GSE56918	GPL11533
GSE58191	GPL4134
GSE67389	GPL1261
GSE62157	GPL17791
GSE56852	GPL6246
GSE64770	GPL6885
GSE64770	GPL8759
GSE64768	GPL8759
GSE64718	GPL6887
GSE56161	GPL10787
GSE64060	GPL6887
GSE62612	GPL6887
GSE63358	GPL6246
GSE63178	GPL19146
GSE63172	GPL19146
GSE63170	GPL19146
GSE63168	GPL19146
GSE62937	GPL6887
GSE62324	GPL6885
GSE54652	GPL13112
GSE54652	GPL6246
GSE54650	GPL6246
GSE60150	GPL16570
GSE54189	GPL6887
GSE40428	GPL6885
GSE55057	GPL6887
GSE57659	GPL6885
GSE56682	GPL6105
GSE56711	GPL6887
GSE56711	GPL6105
GSE50206	GPL14550
GSE50206	GPL10787
GSE56038	GPL4134
GSE51080	GPL1261
GSE39549	GPL6887
GSE55272	GPL6246
GSE53980	GPL6887
GSE53307	GPL8321
GSE51931	GPL6246
GSE53403	GPL1261
GSE46495	GPL11533
GSE50647	GPL6887
GSE51223	GPL17777
GSE46110	GPL10787
GSE38337	GPL10333
GSE48243	GPL13112
GSE48243	GPL15523
GSE48243	GPL15225
GSE48201	GPL15523
GSE44138	GPL10242
GSE46209	GPL1261
GSE37238	GPL6887
GSE44059	GPL7202
GSE36492	GPL1261
GSE32210	GPL4134
GSE42890	GPL8759
GSE30534	GPL7368
GSE30247	GPL1261
GSE35026	GPL6246
GSE39313	GPL6885
GSE41465	GPL4134
GSE40486	GPL6103
GSE40395	GPL4134
GSE38321	GPL6246
GSE39534	GPL11533
GSE39562	GPL1261
GSE37514	GPL6246
GSE35011	GPL8321
GSE31940	GPL1261
GSE35431	GPL6887
GSE35378	GPL81
GSE30116	GPL6887
GSE34842	GPL6105
GSE27525	GPL6246
GSE29502	GPL6885
GSE26930	GPL7042
GSE27213	GPL7202
GSE25205	GPL11180
GSE27951	GPL13273
GSE27951	GPL570
GSE27271	GPL4134
GSE26442	GPL6246
GSE27309	GPL1261
GSE26029	GPL3965
GSE25506	GPL3677
GSE26168	GPL10322
GSE26168	GPL6883
GSE24207	GPL1261
GSE24940	GPL6246
GSE23337	GPL7440
GSE20121	GPL6481
GSE20121	GPL6246
GSE22042	GPL6099
GSE21754	GPL1261
GSE19045	GPL6333
GSE13746	GPL3562
GSE17923	GPL1261
GSE7852	GPL1261
GSE17060	GPL6101
GSE17060	GPL8843
GSE15998	GPL6193
GSE14363	GPL8321
GSE13432	GPL1261
