"GSEIDs","nSamples_tot","nSamples_adi","indicadorMT","adiGSMs"
"GSE118876",12,12,"MONOTEJIDO","ALL"
"GSE113507",6,6,"MONOTEJIDO","ALL"
"GSE111809",14,4,"MULTITEJIDO","'GSM3038977', 'GSM3038978', 'GSM3038979', 'GSM3038980'"
"GSE111744",4,4,"MONOTEJIDO","ALL"
"GSE104955",16,16,"MONOTEJIDO","ALL"
"GSE99064",8,8,"MONOTEJIDO","ALL"
"GSE87661",24,24,"MONOTEJIDO","ALL"
"GSE84809",12,8,"MULTITEJIDO","'GSM2251650', 'GSM2251651', 'GSM2251652', 'GSM2251653', 'GSM2251654', 'GSM2251655', 'GSM2251656', 'GSM2251657'"
"GSE79711",12,12,"MONOTEJIDO","ALL"
"GSE60150",37,37,"MONOTEJIDO","ALL"
