GSEIDs,nSamples_tot,nSamples_adi,indicadorMT,adiGSMs,
GSE125900,4,4,MONOTEJIDO,ALL,***REVISADO
GSE123990,6,6,MONOTEJIDO,ALL,"***REVISADO, TODOS HEMBRAS"
GSE120243,27,9,MULTITEJIDO,"'GSM3396711','GSM3396712','GSM3396713','GSM3396714','GSM3396715','GSM3396716','GSM3396717','GSM3396718','GSM3396719'",***REVISADO
GSE97145,11,11,MONOTEJIDO,ALL,
GSE82328,4,4,MONOTEJIDO,ALL,
GSE63198,6,6,MONOTEJIDO,ALL,
GSE70300,24,10,MULTITEJIDO,"'GSM1723369', 'GSM1723371', 'GSM1723376', 'GSM1723377', 'GSM1723379', 'GSM1723380', 'GSM1723382', 'GSM1723383', 'GSM1723385', 'GSM1723389'",
GSE64718,33,33,MONOTEJIDO,ALL,
GSE64060,6,6,MONOTEJIDO,ALL,
GSE62612,41,11,MULTITEJIDO,"'GSM1530015', 'GSM1530016', 'GSM1530017', 'GSM1530018', 'GSM1530019', 'GSM1530020', 'GSM1530021', 'GSM1530022', 'GSM1530023', 'GSM1530024', 'GSM1530025'",
GSE62937,24,24,MONOTEJIDO,ALL,
GSE54189,18,9,MULTITEJIDO,"'GSM1309491', 'GSM1309492', 'GSM1309493', 'GSM1309494', 'GSM1309495', 'GSM1309496', 'GSM1309497', 'GSM1309498', 'GSM1309499'",
GSE55057,12,12,MONOTEJIDO,ALL,
GSE56711,12,0,MULTITEJIDO,"'NA', ''",
GSE39549,91,40,MULTITEJIDO,"'GSM971546', 'GSM971547', 'GSM971548', 'GSM971549', 'GSM971550', 'GSM971551', 'GSM971552', 'GSM971553', 'GSM971554', 'GSM971555', 'GSM971556', 'GSM971557', 'GSM971558', 'GSM971559', 'GSM971560', 'GSM971561', 'GSM971562', 'GSM971563', 'GSM971564', 'GSM971565', 'GSM971566', 'GSM971567', 'GSM971568', 'GSM971569', 'GSM971570', 'GSM971571', 'GSM971572', 'GSM971573', 'GSM971574', 'GSM971575', 'GSM971576', 'GSM971577', 'GSM971578', 'GSM971579', 'GSM971580', 'GSM971581', 'GSM971582', 'GSM971583', 'GSM971584', 'GSM971585'",
GSE53980,3,3,MONOTEJIDO,ALL,
GSE50647,42,42,MONOTEJIDO,ALL,
GSE37238,4,4,MONOTEJIDO,ALL,
GSE35431,12,6,MULTITEJIDO,"'GSM868267', 'GSM868268', 'GSM868269', 'GSM868270', 'GSM868271', 'GSM868272'",
GSE30116,6,6,MONOTEJIDO,ALL,
