"","GSE29231","GSE43471","GSE29226","GSE112307"
"7A5",0.185388546679119,0.218306827069204,0.08848878975972,0.0785324694374929
"A1BG",0.0934724489330624,0.137522212086165,0.118158426409887,0.0536541326949156
"A1CF",0.12562626556838,0.177793268407076,0.134519035159936,0.0478580922025508
"A26A1",0.112129564690218,0.154272204330848,0.0868645008515296,0.065313937434978
"A26B1",0.154281844529164,0.174381153341966,0.175065533526081,0.0396914097458883
"A26C1B",0.125718328274299,0.137393840784406,0.0887731283248538,0.0686766064572291
"A26C3",0.120386245240995,0.152412485129423,0.0737169621081163,0.0480121788722256
"A2BP1",0.0619506426575821,0.158307458577626,0.113410247878048,0.0398586135831945
"A2M",0.266819506206778,0.319116105442664,0.532843792786228,0.504531263411357
"A2ML1",0.156739846875059,0.196172002399545,0.18778006466433,0.0656350439587834
"A3GALT2",0.0860269574109779,0.145351450738237,0.0906984533695688,0.0481683913985557
"A4GALT",0.327995482290985,0.237681503782353,0.22928185849375,0.245831283540127
"A4GNT",0.228186307031632,0.167692102588968,0.158566567560041,NA
"AAA1",0.0869633884966271,0.140150064168041,0.0891388907614037,0.0391888673208532
"AAAS",0.141886464628652,0.140187897278337,0.108037008732462,0.102587849076069
"AACS",0.26717321772109,0.459650526634821,0.165505297769011,0.385338230646639
"AACSL",0.172675355178108,0.181096112380782,0.117499868258434,0.0686005570830427
"AADAC",0.212015617468102,0.442877462801199,0.302801746880543,0.342571999196398
"AADACL1",0.368003957214411,0.367859606991287,0.468736815929153,0.233311804958389
"AADACL2",0.187253734492429,0.210813556811023,0.123716113431754,0.066824938352107
"AADACL3",0.159074708150308,0.162710134201655,0.174579844503357,0.0693242139748787
"AADACL4",0.186124746207598,0.31080536273692,0.16352292514951,0.157374774646046
"AADAT",0.063442998978327,0.111844800432472,0.0582553300142457,0.0486071318748743
"AAK1",0.147663404910429,0.154342461856224,0.0669962183758479,0.0531228725950362
"AAMP",0.193393175556624,0.155429179179981,0.220964267025741,0.118015297941151
"AANAT",0.159276980166931,0.239561636266832,0.105011455680643,0.0580342465441284
"AARS",0.291164530000704,0.125055267519376,0.144064649411393,0.140746543696103
"AARS2",0.149998017698015,0.177097645598542,0.177128104947331,NA
"AARSD1",0.240439839154581,0.154638496538075,0.206379188594386,0.214385953773476
"AASDH",0.122214740955787,0.146658087265292,0.200502821868527,0.0981728075575042
"AASDHPPT",0.175943566335564,0.173615226311841,0.270476939307066,0.11888608783318
"AASS",0.163969147636621,0.223836787964361,0.100749960345395,0.0765779751101892
"AATF",0.115892379086968,0.129055775456934,0.131024564402455,0.134130866425626
"AATK",0.137477361734114,0.165829483702177,0.072035884714211,0.054371768056908
"ABAT",0.0895563366328403,0.174349954240399,0.0869592405579041,0.0501000133351114
"ABCA1",0.355656694405492,0.201294529289961,0.147275667779161,0.234953391950131
"ABCA10",0.219853534796383,0.22631705825141,0.156175545411501,0.0442177287668185
"ABCA11",0.302931387051973,0.155390601741934,0.13669865768893,0.0702396805686392
"ABCA12",0.107915405620691,0.168360459692597,0.101386614479028,0.0403536819499006
"ABCA13",0.122064025962859,0.278861520422066,0.16954995660344,0.0488180386610438
"ABCA2",0.272401191699853,0.269724977265278,0.0666539019344061,0.292670268593497
"ABCA3",0.179856379322627,0.234316061573732,0.151759040853374,0.177714583870086
"ABCA4",0.14835950133637,0.211249730790837,0.117300657563461,0.0546513867264994
"ABCA5",0.38748128133043,0.234293254105013,0.146035627414001,0.0597561701177082
"ABCA6",0.406052661602166,0.248280271764786,0.251154468950921,0.107824554816772
"ABCA7",0.0613475893901633,0.160356322503971,0.17472294556912,0.0549450581916142
"ABCA8",0.200896295358575,0.243653120618617,0.291123405745074,0.152678733266009
