"","ranking","median","mean","sd"
"RPL22",1,0.0111249362089888,0.0648499033006411,0.073745815424578
"RPS4X",2,0.0121248505025969,0.0701918965202444,0.113376440501769
"NACAP1",3,0.0123280096176532,0.0824201757580811,0.122878673340314
"EEF1A1",4,0.0124216535594605,0.12110481056654,0.175246169946196
"LOC101928826",5,0.0134415317466937,0.0519209639170061,0.0621369341541412
"HNRNPK",6,0.0135008501161367,0.0521559717928594,0.0620305356372424
"RPL3",7,0.013587009465141,0.0804136057392068,0.112776660151797
"PABPC3",8,0.0142314626372957,0.0694105587633631,0.0899662845918457
"RNU86",9,0.0144296597966992,0.076849710129895,0.129672054721803
"RPL23A",10,0.0147943575448106,0.0581210062487529,0.0746910558330353
"RP5-882O7.1",11,0.0148238731630125,0.0889492113326585,0.145664929860718
"RP6-11O7.2",12,0.014964298423188,0.10147572738254,0.139813398715168
"LOC100508408",13,0.0150003097492158,0.0587217630415176,0.08330981274293
"MIR1244-3",14,0.0150674709407897,0.0594308795195645,0.0759860808107792
"RPL30",15,0.0151226465969832,0.0670653026673737,0.107487919003872
"ND4",16,0.0152414103223086,0.0526945894684996,0.0541943443289043
"MTCH1",17,0.0158635337886885,0.0497970674329696,0.0477987463512397
"RPL41",18,0.0158806544754572,0.0474094074296217,0.0634071370006447
"ISCU",19,0.0161587636836796,0.0987425921620591,0.107569981195995
"TMA7",20,0.0161916779944656,0.0594549782833664,0.0595293776090955
"LOC101929087",21,0.0166002658026975,0.0664599662073162,0.0827147397574438
"ND3",22,0.016694017715395,0.0563016033142864,0.0686584209361306
"SLC25A3",23,0.0169177163338077,0.0847352608753482,0.091419372718639
"LOC101060363",24,0.0169245411932659,0.0931031257091532,0.111537311812402
"RPS15",25,0.0169476171503558,0.0874020071683219,0.136335040346464
"CD63",26,0.0170387115004238,0.0564754912977255,0.0891197198245103
"JTB",27,0.0170873496727581,0.0539480980319123,0.0618038172183025
"COX1",28,0.0171092294454653,0.0657406582644257,0.0653908857314713
"RPLP0",29,0.0172834055113348,0.10501747145951,0.132772464944915
"RPL24",30,0.0178679165853581,0.0651816654232736,0.107731173986354
"RPSA",31,0.0179317772934236,0.0866038165210901,0.137293342527124
"EEF2",32,0.0179491140888473,0.0960233262137149,0.103082767413048
"RPS7",33,0.0179672128457686,0.0694216186581029,0.0927367511934486
"RP13-258O15.1",34,0.0186716020313645,0.0763825035918326,0.094310603267017
"PABPC1",35,0.0186949391217735,0.076157045466599,0.0783632401959039
"EEF1G",36,0.0190599406082355,0.0694517580304527,0.0998352851021193
"RPL6",37,0.019113188972674,0.0535195179286649,0.068085981205997
"RPL7",38,0.0191546969344783,0.101403155926807,0.119699445441076
"ATP5L",39,0.0191701503162572,0.124557220399922,0.152837879818119
"RPLP1",40,0.0192087965158771,0.0796734949963793,0.116263057484594
"NDUFAB1",41,0.0193422986184696,0.100019531709692,0.109865941725935
