"","GSE33070","GSE73655","GSE41223","GSE54280"
"A1BG",0.0176569736401795,0.015433000903263,0.0816528681253695,0.00639188587360493
"A1CF",0.0173670580375763,0.0175540766924248,0.140691953658149,0.00665529098514739
"A2M",0.0132050656997289,0.010383735396624,0.373405435385469,0.12356757174151
"A2ML1",0.0246356993014456,0.027805518014165,0.236986494091165,0.00257908140065283
"A3GALT2",0.0300674023847274,0.0432425934013183,0.13275623268698,0.0118547047172492
"A4GALT",0.0143484652483174,0.0142311785745999,0.524509803921569,0.0205018052242101
"A4GNT",0.0296098271948817,0.0412001675195812,0.244951383694839,0.0126233825377735
"AAAS",0.0304229198309067,0.0161202871660179,0.139679108894908,0.0163556298381365
"AACS",0.0245084581006512,0.0284332425259087,0.0765805349886572,0.00965782552388503
"AADAC",0.203466103599602,0.176690910045686,0.103594861467502,0.0185850794288369
"AADACL2",0.064416087879345,0.0096333290919116,0.191756526674234,0.00961456797697319
"AADACL3",0.0294683909954296,0.0494229793007909,0.259580291970803,0.0103027869137711
"AADACL4",0.0198901139403513,0.0303970022091414,0.169947994056464,0.0166995394834343
"AADAT",0.0407254223604501,0.0134542612281397,0.069310656231186,0.0110124276961712
"AAED1",0.010853067517545,0.025065654961937,0.129776101241178,0.0193492407381584
"AAGAB",0.0205146716136243,0.0105480800946855,0.0747106011372869,0.00547684733492779
"AAK1",0.0203501048336428,0.0251064189277488,0.0907055412371133,0.00506388003560622
"AAMDC",0.0387089097734976,0.00811486856287389,0.0689751133020593,0.0101282941635207
"AAMP",0.00664249773728124,0.0321280708627383,0.0862070859050673,0.0133830183053754
"AANAT",0.0187898418788275,0.0028920001002447,0.0882808466701085,0.00512307180273249
"AAR2",0.0260783499753954,0.0262044974036703,0.0720270705768611,0.00208185876598526
"AARD",0.0300620843659089,0.0336691213248675,0.214950642374973,0.0431773440940193
"AARS",0.00761137419753316,0.0368420905549439,0.112384141900287,0.00665307845487619
"AARS2",0.025741580331581,0.00346872416703964,0.230297367565811,0.00799367642866018
"AASDH",0.0439066185853462,0.0268319745011753,0.0448038540949759,0.0235480539452486
"AASDHPPT",0.0117094486038137,0.00929490405118716,0.0776961218346025,0.013184974749643
"AASS",0.0246182066614553,0.0446833687667917,0.326318546978694,0.0472877594549175
"AATF",0.0197113950477751,0.0127662050608056,0.0881512895966766,0.00749978019928797
"AATK",0.0190895937295787,0.0354334932906522,0.0966200119118524,0.00440315647624041
"AATK-AS1",0.0198642230646683,0.00715966323888785,0.0438623626173666,0.00736283179238911
"ABAT",0.02212369510972,0.0124949049582975,0.0682236035720538,0.00938661731539979
"ABCA1",0.0269025555965932,0.0392514531312775,0.679596561343881,0.0318995567466343
"ABCA10",0.0467424243138077,0.0228240669041349,0.119649805447471,0.0501233423875447
"ABCA11P",0.036097783956398,0.0238583794891898,0.237731059619891,0.0167891148748156
"ABCA12",0.0113503600157719,0.0123222596029857,0.0374595032397408,0.00517049404460185
"ABCA13",0.0231743955870593,0.01681870302778,0.198024247867086,0.00196959267106021
"ABCA2",0.0319817358610982,0.0333098334190444,0.0804774579936782,0.0372281396706584
"ABCA3",0.0208678356415933,0.0122391008383576,0.0743352788586251,0.0561413146827587
"ABCA4",0.0228664533995854,0.014624691608215,0.0656847133757962,0.013162806221546
"ABCA5",0.0504136433950183,0.037455413624377,0.247686193379791,0.0351346621354637
"ABCA6",0.0307935835495836,0.016669274526586,0.295109863864342,0.116579368285163
"ABCA7",0.029495536543141,0.00931305454460594,0.0386714230620903,0.0107420350729134
"ABCA8",0.0286413541022539,0.0773565585382606,0.546365051799509,0.0494280336967315
"ABCA9",0.0432881086104019,0.0136819436520599,0.213546114432109,0.139162588362781
"ABCB1",0.00832044218401697,0.0345510860045081,0.340359736722651,0.0239412619856175
"ABCB10",0.0335743900280007,0.00391790012383863,0.190929480492385,0.00897077479568737
"ABCB11",0.0517043108517564,0.0603073787142359,0.247285344455631,0.0229883132493224
"ABCB4",0.0220930227249056,0.015595738915331,0.160180370490738,0.0431710334283615
"ABCB5",0.0804480247160828,0.0259093818862879,0.275678892611532,0.00996275084204371
"ABCB6",0.0154190771017995,0.0172122489331224,0.0673965850667421,0.0518472746146896
"ABCB7",0.0258273761587813,0.0503666678492323,0.045563237346188,0.00648495623641653
"ABCB8",0.026936396412287,0.00502534028981669,0.0688589171887398,0.0101106070511453
"ABCB9",0.0272255652441727,0.0116771399266885,0.0374791492910759,0.00927146678468701
"ABCC1",0.0230506513219011,0.0203206714660743,0.385225292008094,0.0296448811268357
"ABCC10",0.0206636571631565,0.00862260739265488,0.163531371157102,0.00954112795042775
"ABCC11",0.0227074965108496,0.0139501531838101,0.119648737650933,0.0153584180256505
"ABCC12",0.0261519070376876,0.0179682660130457,0.123480780101752,0.013805585015399
"ABCC13",0.0118830694398097,0.050165077218597,0.0308652831516004,0.0078766244913987
"ABCC2",0.0291190163557288,0.018067560746219,0.616646884272997,0.0410266904624881
"ABCC3",0.031264912811604,0.0127937171392589,0.209079283887468,0.0959473474919358
"ABCC4",0.0496161657369998,0.0200169445690624,0.25503120124805,0.0164351203212551
"ABCC5",0.0297833200981769,0.0619771850085902,0.129830143759729,0.0234378528546747
"ABCC6",0.0503218133922729,0.0210385105262228,0.135372679956791,0.0163124531485759
"ABCC8",0.0140342885982794,0.00108447949736707,0.121479569963394,0.00868792761552763
"ABCC9",0.0271166914624437,0.0556788689251906,0.18823385518591,0.0487855763789774
"ABCD1",0.0376134036969288,0.032076568544645,0.0406087988759146,0.0114676381200255
"ABCD2",0.0628059091069407,0.0410092702420099,0.38608326787117,0.013706433524952
"ABCD3",0.0249135903199907,0.0744998307084528,0.0703270416472779,0.014174835608997
"ABCD4",0.00986116149775562,0.00425433820043438,0.0899752805986104,0.0203909688337847
"ABCE1",0.0575006426087287,0.0413568435700796,0.0700848385896747,0.0129496342265128
"ABCF1",0.0258512717011159,0.00559504507497124,0.0646866157745816,0.00710533369417024
"ABCF2",0.0213035085810827,0.0210032472677456,0.0745468277945619,0.0169542555551996
"ABCF3",0.0133058961133775,0.0164633492555357,0.0907702084392476,0.00597924768777105
"ABCG1",0.0498018022366908,0.0503532883624071,1.25520866928981,0.00713293404896565
"ABCG2",0.0373757456591417,0.0483955679608106,0.107364541575068,0.00924401896948667
"ABCG4",0.026778549959362,0.0264027684083663,0.0884507123161765,0.00363862987970847
"ABCG5",0.0107302620863653,0.0146596975150838,0.0732750427675347,0.00854198901180826
"ABCG8",0.043736434097946,0.0210228368726811,0.0608468972533062,0.0141363379369739
"ABHD1",0.0229874115841945,0.0213646108142696,0.0552228656664036,0.0157434447867255
"ABHD10",0.03012536273696,0.0315647991151288,0.108053054791227,0.021984633258297
"ABHD11",0.0339987374774539,0.00414000722280537,0.109824037993181,0.0168890246582361
"ABHD12",0.0116040790749521,0.0224639152181757,0.148295441484104,0.0152551961899231
"ABHD12B",0.0302861139887544,0.0265940870561682,0.269083969465649,0.0138157751884835
"ABHD13",0.0318323446395764,0.00375389044406029,0.059326900003428,0.0160892884915645
"ABHD14A",0.0156995863548732,0.0149794918349257,0.0834286050089751,0.0122426604920808
"ABHD14B",0.0183302830542992,0.0410526112498113,0.193607982065263,0.0110655698155952
"ABHD15",0.0253656351923311,0.0303002072102039,0.320308174940026,0.0200213861567225
"ABHD16A",0.0107638164825587,0.00978963797916093,0.113056013179572,0.00888575845000949
"ABHD16B",0.0200530222141232,0.0338960319006093,0.0734653207181704,0.0109550176742324
"ABHD17A",0.0287310002518019,0.0139973880416209,0.0876127369777287,0.00154997332062797
"ABHD17AP4",0.0408815134340184,0.015578550091195,0.221642448064883,0.00875508404269067
"ABHD17B",0.0296947630961553,0.0266258572841001,0.0713234584579756,0.0262551625784515
"ABHD17C",0.0156239489891972,0.00736666100515958,0.0561590748106577,0.0130515481367192
"ABHD2",0.0346172525936156,0.00802525375909749,0.114037385238896,0.0124934354967545
"ABHD3",0.0410942074796037,0.0223292286079305,0.11768793698057,0.0222850895223765
"ABHD4",0.0245291820079338,0.0220918311654213,0.0869351433042507,0.0338053758686211
"ABHD5",0.0484271210174049,0.0580179265431882,0.44994212962963,0.0110085460481095
"ABHD6",0.0378590259515643,0.0329586429049232,0.151026196620733,0.011784108908292
"ABHD8",0.0202439532365226,0.00572226558061782,0.230184576910156,0.0218493572586477
"ABI1",0.0248687750227359,0.00821182785637105,0.140274314214464,0.00641334216980036
"ABI2",0.0409035092335389,0.00502281918215147,0.192459650302623,0.013800398880823
"ABI3",0.0166805291202356,0.0230798325182644,0.195387536296627,0.00419822231937703
"ABI3BP",0.0780348304092311,0.00753070972685265,0.18093152866242,0.0122296457887208
"ABL1",0.0486824459254691,0.0434185174172979,0.122419746672982,0.0123412962373831
"ABL2",0.00976574460238954,0.0158205170954824,0.10349374380459,0.00516403067726828
"ABLIM1",0.038183582745279,0.0193541588797256,0.13392657472978,0.112387592615339
"ABLIM2",0.0379674958457194,0.0126895652096056,0.0650370904595097,0.0124461779243726
"ABLIM3",0.0247309851810317,0.0193407099064473,0.365225553681232,0.0510558939896658
"ABO",0.0302434113581378,0.00543813961601712,0.127413127413127,0.00823684230468555
"ABR",0.0442418909233585,0.0263120713326967,0.106245673029374,0.0220619693238593
"ABRA",0.034747544028058,0.0149008935517981,0.0672099915325996,0.0259052444050737
"ABRACL",0.0530461901578612,0.0242260041993908,0.0536291408564503,0.0642757566547605
"ABT1",0.0163429700896696,0.0129422544138004,0.105975696083058,0.00315962779970752
"ABTB1",0.0268104119462339,0.0258780672534892,0.0571087314662274,0.0105547231734265
"ABTB2",0.030117542900816,0.00914472046050413,0.210240416391276,0.0282674027990033
"ACAA1",0.0169820961754055,0.0228152461189574,0.194463951973721,0.00653238427481109
"ACAA2",0.0465337664386704,0.0305156977108041,0.0749378305460826,0.00957058739932952
"ACACA",0.0376859023394612,0.0555302249907981,0.0797122564856551,0.00936006623110167
"ACACB",0.0183573187552037,0.0415848995650874,0.399043412959519,0.0432393257737733
"ACAD10",0.0266025257804408,0.0354109397477643,0.0466572805387831,0.00579466671861741
"ACAD8",0.0173840168768902,0.0283517022836473,0.28193556195378,0.0103376780111447
"ACAD9",0.0306601160860666,0.0351014885217962,0.113507353404296,0.0141606465504036
"ACADL",0.0312806648772553,0.0479599391587722,0.242056964066834,0.0553099087847129
"ACADM",0.0354874643378362,0.0323525174989853,0.165009605897865,0.00593713861404189
"ACADS",0.012107308299255,0.0155608140703019,0.132654118622353,0.00601134383798607
"ACADSB",0.0384620094263875,0.0576558534127164,0.0599354932583179,0.0249563111754319
"ACADVL",0.0352545317247837,0.0237601314037273,0.0404603924122772,0.0139273128067572
"ACAN",0.0259997782441372,0.0194445252284527,0.0453703703703704,0.0590579170971174
"ACAP2",0.0324516840931957,0.0157840340064349,0.0761981955232885,0.0109809584664537
"ACAP3",0.0205818526837781,0.011243062478981,0.103609200429406,0.00632659435780021
"ACAT1",0.0257977091246685,0.037568002609765,0.107094224202345,0.017853927874652
"ACAT2",0.0317356899789888,0.0364134315979247,0.0390701262272089,0.0542873525678639
"ACBD3",0.014052971689401,0.0248011096292169,0.136110381870042,0.0149824887329578
"ACBD4",0.0359911786388496,0.0269820220033697,0.105332167832168,0.012038026009203
"ACBD5",0.0129980544034701,0.0574139542261878,0.0473484034552408,0.0142730536686481
"ACBD6",0.0367125160749749,0.0232927256859825,0.0542930722209645,0.00587683138327154
"ACBD7",0.0165284407109404,0.0208421642095767,0.369897959183673,0.0351709185744599
"ACCS",0.00809314358469344,0.0192829315292294,0.0813973647711512,0.0240998913221799
"ACCSL",0.0241289201659589,0.027821084385595,0.174258857556038,0.0157817488201013
"ACD",0.0285706787236463,0.0136767130880167,0.170076219512195,0.0186700923034527
"ACE",0.0296154401258081,0.00642919595961294,0.0423928403203015,0.0249765066741221
"ACE2",0.0368731369368253,0.063323455408164,0.037582056892779,0.0199331306855544
"ACER1",0.0289574344385878,0.0141875252368745,0.183232469411919,0.0169197986546843
"ACER2",0.0439111239028762,0.0261899031518956,0.380555555555556,0.0350941653158709
"ACER3",0.0330627244628437,0.0444425540920148,0.508396265134414,0.0206621332396111
"ACHE",0.0431854234290961,0.072777262040824,0.185236869766936,0.0246179667689578
"ACIN1",0.0283159037787423,0.0181081924405094,0.113081965750981,0.00998144052779621
"ACKR1",0.0420490151453295,0.0360105509180108,0.488187643259012,0.0103589329933342
"ACKR2",0.0172408585825206,0.00591845010268858,0.313942674551698,0.0422335874082782
"ACKR3",0.0384422158314409,0.0725126265902154,0.037055976850928,0.0243909377144527
"ACKR4",0.0324414566666655,0.0704363040027426,0.542404773880836,0.0991474560703189
"ACLY",0.0236172152231104,0.0481087098471224,0.0692492029800184,0.0163889426348953
"ACMSD",0.0130527660544897,0.0700849214969883,0.165177787532924,0.0170112926924157
"ACN9",0.0195500360784407,0.0238023140765493,0.0503928170594837,0.0177874961727854
"ACO1",0.0178216700432339,0.0699870077014589,0.0414205097087379,0.00413908266078239
"ACO2",0.0274742470218312,0.0670621369301329,0.112872158219974,0.0135494135639084
"ACOT1",0.054019725485147,0.0181466245606623,0.173512202105366,0.0169878057519751
"ACOT11",0.0338749952021084,0.0333703509535333,0.101725238543207,0.0322846951772761
"ACOT12",0.0159698206210491,0.0304385021879685,0.0616844093406592,0.0171892489429627
"ACOT13",0.0311177695883239,0.0343938717484784,0.0467722530777725,0.0105874569877753
"ACOT2",0.0527452072920217,0.0635984804823165,0.23683940801955,0.0372862864928742
