"","GSE32512","GSE27666"
"7A5",0.0252099788472197,0.257063172333457
"A1BG",0.0354151437377834,0.170601817488696
"A1CF",0.0290531666097526,0.231411160893593
"A26A1",0.0278557475675686,0.218843767090513
"A26B1",0.0312813749419771,0.235375575296902
"A26C1B",0.0356370894832437,0.24108168314661
"A26C3",0.028042282301498,0.221501843025178
"A2BP1",0.0231801307902268,0.172540774489559
"A2M",0.0443684077553349,0.357730084197551
"A2ML1",0.0247568067878287,0.324737032206834
"A3GALT2",0.0183083590335842,0.189605646275205
"A4GALT",0.0536387107238781,0.283620834666323
"A4GNT",0.0486167939886052,0.249592083293048
"AAA1",0.01968835421309,0.147780316302557
"AAAS",0.0406278384227475,0.145138135344832
"AACS",0.0825655177075248,0.551412573783409
"AACSL",0.0669103745799174,0.220503837480943
"AADAC",0.0764584888429996,0.458311781249323
"AADACL1",0.124238133986844,0.524353281739218
"AADACL2",0.0363757743363415,0.262639027354636
"AADACL3",0.0278412755957892,0.271502899254936
"AADACL4",0.0566317874703797,0.358462625984165
"AADAT",0.0284424152367673,0.179725239746283
"AAK1",0.0289935634430018,0.174045853394686
"AAMP",0.0335849936101233,0.168179813423359
"AANAT",0.030209655158258,0.340285132170629
"AARS",0.013224882587057,0.110880120499736
"AARS2",0.026092243312746,0.126787522693459
"AARSD1",0.0192759881918759,0.119524286992221
"AASDH",0.0273469736353557,0.147130727844817
"AASDHPPT",0.0246184271653818,0.148686452690389
"AASS",0.074401376583063,0.344795536668984
"AATF",0.0219292094128752,0.12965184039257
"AATK",0.0461076427983776,0.243883194857215
"ABAT",0.0337983758786743,0.21501763209875
"ABCA1",0.0208600087394811,0.178161392535966
"ABCA10",0.0595888706395608,0.249469466644868
"ABCA11",0.063727026507335,0.196756970569577
"ABCA12",0.0340825614773526,0.168315570811023
"ABCA13",0.0228552438152617,0.29492705257868
"ABCA2",0.0306226924620852,0.171347194803199
"ABCA3",0.0424674915957049,0.196800480507818
"ABCA4",0.0690460957861414,0.226771320110357
"ABCA5",0.0426499029241486,0.160837805559868
"ABCA6",0.0389961430885213,0.238944855627539
"ABCA7",0.0284457883116679,0.255512960620754
"ABCA8",0.0221602111626278,0.190269646609184
"ABCA9",0.0410193813584656,0.167386961217558
"ABCB1",0.065824383618284,0.236423350200043
"ABCB10",0.0244438410847941,0.13687128255191
"ABCB11",0.108951497772624,0.365145180824625
"ABCB4",0.0738147081051249,0.29676349650046
"ABCB5",0.0219121048155858,0.332001141576798
"ABCB6",0.0266529383005088,0.161433450305277
"ABCB7",0.0321914111333336,0.158187251661454
"ABCB8",0.0589079585758927,0.250448402344383
"ABCB9",0.0722546855729143,0.223103949921742
"ABCC1",0.0552124984217746,0.229782152608725
"ABCC10",0.0431832829096937,0.156282832413914
"ABCC11",0.0256981967956809,0.232150692040576
"ABCC12",0.076386076717876,0.255813917032053
"ABCC13",0.0431455635094731,0.196875976563588
"ABCC2",0.0890535323984593,0.284494735569369
"ABCC3",0.0944504166199218,0.657041742187236
"ABCC4",0.0846348121557199,0.305269409076365
"ABCC5",0.040161538246687,0.215403864897629
"ABCC6",0.0700054072737495,0.224700287685979
"ABCC8",0.0391908338302127,0.239597778196909
"ABCC9",0.055912358515959,0.195137486337734
"ABCD1",0.0559902098701376,0.246711824629556
"ABCD2",0.0524177986800118,0.236500694460901
"ABCD3",0.0305647160496582,0.144787185365909
"ABCD4",0.0378780408781818,0.164839480897209
"ABCE1",0.017999165202594,0.102956923183743
"ABCF1",0.0190488049430352,0.0895823210595776
"ABCF2",0.0676572807797598,0.217158791644092
"ABCF3",0.0461690937666776,0.169198967013193
"ABCG1",0.0392589337285242,0.144233913394249
"ABCG2",0.0465252938904765,0.263261542445647
"ABCG4",0.0969108160365626,0.323438037696353
"ABCG5",0.0767844262684828,0.219781413794424
"ABCG8",0.029624234314298,0.263954953239425
"ABHD1",0.0604192160127761,0.236761995852163
"ABHD10",0.047065089839968,0.235519248109027
"ABHD11",0.0630357834913974,0.194549008238049
"ABHD12",0.0455988009154062,0.219765402288742
"ABHD12B",0.0294492863610882,0.18142205999884
"ABHD13",0.0355968362821661,0.200512125729025
"ABHD14A",0.026011286698577,0.167345427891516
"ABHD14B",0.028902000721387,0.181978340208763
"ABHD2",0.0618751399164528,0.180976233009315
"ABHD3",0.0310129292852571,0.176109167724904
"ABHD4",0.0395010780251048,0.181608532318842
"ABHD5",0.0478599159815213,0.289940275942278
"ABHD6",0.0296661749301644,0.158839773204703
"ABHD7",0.0772661316673409,0.245757636154099
"ABHD8",0.0254574091488878,0.129936796118263
"ABHD9",0.0539352623538546,0.189365323256785
"ABI1",0.023512439843966,0.154624231295586
"ABI2",0.0396566288628508,0.129823275651028
"ABI3",0.0599717405685393,0.185580786889453
"ABI3BP",0.0366691387413602,0.252423252271661
"ABL1",0.0554780493576846,0.185481806951344
"ABL2",0.0383956797711214,0.186131177608703
"ABLIM1",0.04353640935519,0.211780798993716
"ABLIM2",0.0510412338965144,0.189479488613806
"ABLIM3",0.039821451545638,0.24529161298854
"ABO",0.0389772482693974,0.292011330784163
"ABP1",0.0572126923522135,0.263510672805125
"ABR",0.0350139549046549,0.137324031377833
"ABRA",0.0305128066774315,0.226374116841966
"ABT1",0.0819605350121635,0.265651411170365
"ABTB1",0.0276602476568161,0.181795268103155
"ABTB2",0.0635169770287846,0.274131752888048
"ACAA1",0.0197141078094854,0.136141999679501
"ACAA2",0.0275554802974973,0.203108448952028
"ACACA",0.0492376247493127,0.351973560661328
"ACACB",0.024303774289443,0.237474225300303
"ACAD10",0.0364987162064021,0.175940911814019
"ACAD11",0.0193864629675858,0.143733903518939
"ACAD8",0.0213431611161898,0.112586906397133
"ACAD9",0.019168785585252,0.125061701460076
"ACADL",0.0457402978135863,0.265063540090799
"ACADM",0.0306866640453638,0.199455836907533
"ACADS",0.0327362915833355,0.210529028120101
"ACADSB",0.0663848425753131,0.222946159249476
"ACADVL",0.0252045297207929,0.18467071565129
"ACAN",0.0240615604892997,0.21709628675398
"ACAT1",0.0204651023331429,0.173548117444767
"ACAT2",0.022602074938993,0.166416068518411
"ACBD3",0.0174336204861091,0.118411892359303
"ACBD4",0.079310061292954,0.236301063227645
"ACBD5",0.0332217652859039,0.224333939168365
"ACBD6",0.0277571532650342,0.140397473306051
"ACBD7",0.0254891111970302,0.228035371333982
"ACCN1",0.0224064901368405,0.169018338226831
"ACCN2",0.0389597011308023,0.175403712879615
"ACCN3",0.0419315303136157,0.145807278760433
"ACCN4",0.0345271969157383,0.24440197598232
"ACCN5",0.032343849730365,0.298921140861037
"ACD",0.0316739533511511,0.163277614406221
"ACE",0.0244616432805449,0.141481461688628
"ACE2",0.0890160834239828,0.288860467149958
"ACHE",0.0326229869541023,0.245702625945788
"ACIN1",0.0149987492523517,0.0986118514963189
"ACLY",0.0356690578190936,0.239348452029022
"ACMSD",0.0576912634794671,0.18058034975
"ACN9",0.0221661694126566,0.134378675383073
"ACO1",0.01237146141016,0.112651973457767
"ACO2",0.0380334364820354,0.224637077013944
"ACOT1",0.0385340630467245,0.245487250991252
"ACOT11",0.0425734826926539,0.215583970424788
"ACOT12",0.038034571760202,0.232612766556162
"ACOT2",0.0490924827454262,0.312590207091632
"ACOT4",0.0314435761707872,0.19648461008936
"ACOT6",0.0294998127711093,0.281470182538545
"ACOT7",0.0373476111342269,0.190903411812927
"ACOT8",0.0669372553756632,0.21739176922532
"ACOT9",0.0235308840487624,0.128812706205404
"ACOX1",0.0723816707597945,0.247883321699497
"ACOX2",0.0190190973477323,0.146316814909138
"ACOX3",0.0221813808049497,0.126443164032155
"ACOXL",0.0232248144984444,0.238399341476635
"ACP1",0.0126777023905894,0.103455542627129
"ACP2",0.0351461460711226,0.18469120175777
"ACP5",0.16530425570418,0.734379515166137
"ACP6",0.0720414946829102,0.28219901676864
"ACPL2",0.0381703987773455,0.143427901750342
"ACPP",0.0329267840818112,0.277059018070508
"ACPT",0.0407764467123493,0.232348570546903
"ACR",0.0795517221417512,0.258810145083684
"ACRBP",0.231467047759406,0.947103423578924
"ACRC",0.0441120303325076,0.17317496155137
"ACRV1",0.0462127999919999,0.19697017418921
"ACSBG1",0.0821837205318514,0.278010945659731
"ACSBG2",0.0372587565426542,0.239111636124781
"ACSF3",0.0314800994953924,0.225789721431501
"ACSL1",0.0309254502467798,0.267009261432801
"ACSL3",0.0346358230129122,0.171014731684424
"ACSL4",0.0326153037258577,0.173838256360465
"ACSL5",0.0380617549714544,0.195830435722267
"ACSL6",0.0213442323659345,0.160664908366051
"ACSM1",0.0212485182730521,0.313210660902457
"ACSM2A",0.0460346913499956,0.244709383427706
"ACSM2B",0.0206510669837161,0.140470784169535
"ACSM3",0.0264635298378501,0.219145145436807
"ACSM4",0.0241177799523999,0.251624377610265
"ACSM5",0.0433956168817788,0.261429999872004
"ACSS1",0.0724317863055553,0.256496335001355
"ACSS2",0.075724469268654,0.275585460876552
"ACSS3",0.0680506688021535,0.29415270469544
"ACTA1",0.0350515567214901,0.242215818462992
"ACTA2",0.0353926748450543,0.306798210489812
"ACTB",0.0148916823477273,0.154332435593591
"ACTC1",0.0215792628657122,0.185484231381859
"ACTG1",0.0148160850693196,0.118243207640231
"ACTG2",0.14864711095099,0.62857510971807
"ACTL6A",0.0177442921548882,0.10895133769248
"ACTL6B",0.0591595884522137,0.306150758558154
"ACTL7A",0.0227088234369152,0.21664252401768
"ACTL7B",0.048436668847946,0.241492094269712
