"","ranking","median","mean","sd"
"OR6C70",1,0.00565846956758261,0.0878616874005031,0.165515907408761
"RNU6-69P",2,0.00582968594355984,0.156438783508863,0.302885768350184
"RNU6ATAC34P",3,0.00602126667749076,0.0827806722658743,0.155183192773078
"UNC45A",4,0.00602412544786326,0.0155283551514307,0.0223886943042652
"RNU6-275P",5,0.00631141040694895,0.194057480466838,0.379714396603073
"TTC6",6,0.00631398167020365,0.0241498012446216,0.0362834768804103
"COX1",7,0.00642098470457389,0.0176382903158646,0.0259374721124149
"RNU6-383P",8,0.00652686959465649,0.0993043258764562,0.1870851350694
"DBNDD2",9,0.00654536136627434,0.0216899467347489,0.033906500230692
"ANXA2",10,0.00659043717162012,0.0400148987757601,0.0704368692112327
"SLC30A8",11,0.00665365090684189,0.0179752070065992,0.0234676284404221
"ATPAF2",12,0.00691725046031432,0.0280175784597027,0.0446277628576984
"ANKRD19P",13,0.00698685999387649,0.0671986320203187,0.121911077073323
"RPL27",14,0.00708636464983529,0.0140133390540217,0.0174703057181348
"MIR4485",15,0.00711227768604893,0.0209880263878311,0.0321877000778625
"RNU6-597P",16,0.00717414362611221,0.100164647555128,0.187294694437466
"TRPC7",17,0.00727915813332456,0.0543250895549276,0.0960851489247805
"ZKSCAN5",18,0.00733291936346363,0.0187615236895267,0.0252993927458944
"SFTPA2",19,0.00736585110681953,0.0279419597233805,0.0417016402702344
"RAB40AL",20,0.00743753371884243,0.0623953094473613,0.112309562585756
"SRSF8",21,0.00744798007960822,0.0361263659638478,0.0601984582537239
"KATNB1",22,0.00746031010858868,0.0178872960874838,0.0247211880275748
"ZNF550",23,0.00747469200858751,0.0428171359131023,0.0730855290271247
"GIPR",24,0.00752155693335571,0.054734838746504,0.0958697022387053
"NPY6R",25,0.00759040525789209,0.0275999197305657,0.0411454288642801
"RPS18",26,0.00762121082042803,0.0237620349380745,0.0348468627394433
"SRSF2",27,0.00763710182147638,0.0188813773053965,0.0253561328567638
"ZBED1",28,0.00765789277594383,0.0175809589707336,0.0249964244080563
"C16orf72",29,0.00766806514849661,0.018082597611333,0.0217516599411666
"IL22RA2",30,0.00772763126778757,0.0499154871365633,0.0884671998314179
"EEF1A1",31,0.00776649169560069,0.00871947026914648,0.00657037298158146
"TOR1A",32,0.00781684014786892,0.0228796044250805,0.0333664937774132
"EIF1",33,0.00787611825142451,0.0142096596685381,0.0140037010925014
"RNU6-193P",34,0.00788580636298438,0.0461934599956427,0.0786809594546753
"RN7SKP128",35,0.00789222969683761,0.026739218783664,0.0396440685916269
"CYTB",36,0.00789551485509448,0.0115486509727422,0.0119545707821925
"MANF",37,0.00793825220258845,0.0178432658199372,0.0203504960085595
"SGSM2",38,0.00797793370320559,0.0416390415772577,0.0686576349633584
"MTMR11",39,0.00798380179061,0.0305721314434949,0.0471072620531631
"HBCBP",40,0.0080249471149667,0.0311321111417307,0.0495598335003112
"LINC00529",41,0.00806356466798753,0.0428037289010689,0.0717871925593647
"YBX1",42,0.0081005834949214,0.0152475839907948,0.0152053183684242
