"","GSE27916","GSE27657","GSE41168","GSE61302","GSE66159","GSE71416","GSE88837"
"A1BG",0.0100536951784915,0.162725380482317,0.180149483076823,0.419637799636364,0.653117493348506,0.0978359602840227,0.74656978459549
"A1BG-AS1",0.0132141343302742,0.109330657431126,0.133255322399275,0.307653424972376,0.659414536754236,0.0778602385864041,0.769396785651471
"A1CF",0.0080545797909208,0.108077568841932,0.181705435932584,0.151593293793103,0.700814162090399,0.0851248410166546,0.264402092349803
"A2M",0.0207579229742434,0.0233158860426959,0.0380573885134878,1.8054379479291,0.120853700733293,0.0683245550226675,0.321651208972119
"A2M-AS1",0.0225595408787229,0.157436810210776,0.0963718296592185,0.451664950684931,0.332501378070761,0.120593143489376,0.539978012415186
"A2ML1",0.00727696352027742,0.166751797906345,0.216494070843744,0.141813081290323,0.466952613606958,0.0311192575864467,0.517839100597187
"A2MP1",0.0112613593138729,0.0879174468994189,0.248727162476993,0.54952569,0.826231886677608,0.0586657173452007,0.700033938422571
"A4GALT",0.0112050188629898,0.078828907941196,0.12658789914388,0.307695924409449,0.936183327545781,0.0400138944956572,0.283677436172674
"A4GNT",0.0114487837886393,0.215571610413462,0.141135103828354,0.091587615,0.616491254666747,0.0801273469184508,0.275684510506195
"AA06",0.0100456113969453,0.314459693303345,0.240745148199737,0.178915340930233,0.642443557800317,0.17168414954246,0.485837159495648
"AAAS",0.0153548638314004,0.069439004850673,0.0748601122772155,0.218989066998755,0.842814113834087,0.0385954643947426,0.645552739920203
"AACS",0.0714596651651413,0.132515921929979,0.131245300673161,0.294209969978977,0.778204752505198,0.0702251540235038,0.936107194354606
"AACSP1",0.00922953681818072,0.229680997351378,0.333858460455587,0.0646500811764706,1.18734407306588,0.0986946780159334,0.414710883821139
"AADAC",0.0718557273235127,1.03037820082701,0.223034788475228,1.27781274903614,0.721618070559377,0.382378881191616,2.1588387205941
"AADACL2",0.00950529408541679,0.485456551413777,0.335543063350747,0.31401468,1.16391528019448,0.291122031687572,1.68427162050273
"AADACP1",0.00813919772781794,0.103487184384354,0.355886541495634,0.199827523636364,1.49907892499034,0.111446263698296,1.05297786031977
"AADAT",0.00999289689236658,0.15364255734254,0.17981386476728,0.245473404670051,0.377415831911028,0.0650570922718577,0.535477807033485
"AAED1",0.0195157876642869,0.0731729731495107,0.0772843912626602,0.506196380275344,0.279819415485841,0.169269910742255,0.452858752170842
"AAGAB",0.0119249609617964,0.170242098158059,0.148704830967724,0.16544859483871,0.598654479595047,0.13493725046298,0.46349805589431
"AAK1",0.0106242317963852,0.159922180086565,0.15768311730781,0.268657004,0.490744528107664,0.105317443947465,0.39154581082666
"AAMDC",0.0344390539941678,0.147045305815876,0.0633542463823041,0.100797954400644,0.214114147713862,0.0720316530527767,0.457618356050287
"AAMP",0.0203960428594049,0.069542788278061,0.0458808915480017,0.333045872727273,0.209570468498025,0.0342759851194023,0.562682360599829
"AANAT",0.00909366355196083,0.183308015116702,0.280190629349268,0.353266515,0.698128808643352,0.114706367009421,1.0508548388477
"AAR2",0.0126706580986032,0.0276763793231806,0.0550330664441949,0.189449740640884,0.179286040177762,0.10346841847617,0.277894179492233
"AARS",0.0204822270803803,0.0228249676498804,0.0389091486884982,0.136337337161069,0.199201525657447,0.058316694406521,0.347089440352282
"AARS2",0.00891768744420547,0.0820257004017364,0.121761998322914,0.151593293793103,0.278952687824017,0.0958962736425285,0.360823032334783
"AARSD1",0.0135472334234784,0.106729854767633,0.0609879463210196,0.240725795978456,0.174480823369097,0.0655460437093089,0.333198968579985
"AASDH",0.0177168737969616,0.120075368423575,0.0710945030680137,0.253533927615894,0.34321351882355,0.0991890399021251,0.628409771363908
"AASDHPPT",0.034596570588394,0.219884479398394,0.106053257789634,0.187902332709677,0.328473832490601,0.104891051024759,0.705626185228378
"AASS",0.0306450681618602,0.130515747481468,0.229393474946249,0.466610783600416,0.314537312539659,0.113261050741472,0.612342976654041
"AATF",0.017780610634226,0.0988133059044298,0.0659971537892242,0.130916414382353,0.25940233266968,0.118347165866682,0.337027999057656
"AATK",0.0150420580471425,0.183856760421151,0.133294557066447,0.120774876923077,0.284457266703152,0.0683616611292836,0.587828324880978
"AB074162",0.0127553902642741,0.292792600167824,0.235535987450788,0.450213818313253,0.518202923917765,0.104242793997844,0.425488811920806
"AB488780",0.015204920339852,0.0373246617417185,0.113219086930989,0.133474341306687,0.323057699972987,0.179432837173343,0.190340048995188
"ABAT",0.0150993246894851,0.081167846214694,0.18557259455131,0.478101926578249,0.437221926983792,0.0788687274815992,0.793030683844426
"ABCA1",0.033817196324678,0.120256814094633,0.116337818891236,0.296298950852713,0.405233312495567,0.14280460710062,0.605755007857129
"ABCA11P",0.0179883078813115,0.174799007425296,0.154320269614813,0.221514231627907,0.345881840899495,0.0948384934634862,0.710638258213418
"ABCA12",0.00834079007850182,0.224367275525862,0.304710231172135,0.23551101,1.87854250830314,0.0505610234821644,0.354407594816339
"ABCA13",0.00745889900858233,0.272810006570707,0.287557685115879,0,1.57844979765852,0.0767078396657724,1.08421291241028
"ABCA17P",0.00961524812199297,0.174931120255156,0.234628090511455,0.293080368,0.543005414262888,0.079918833923351,0.475236743126917
"ABCA2",0.0174521418619599,0.163949753956263,0.169961711849356,0.153579232139738,1.31013822719391,0.0794931576799604,0.417425528008271
"ABCA3",0.0161542404517122,0.166861732914245,0.105019908566618,0.230740068729282,0.375958924351761,0.0580033813575215,0.333220045884625
