"","ranking","median","mean","sd"
"COX1",1,0.0106501101764947,0.101163426937499,0.130106599076999
"CYTB",2,0.0114431653792404,0.0996714346801429,0.130751038729226
"MT-TF",3,0.014774674009157,0.105166124748009,0.126755700441246
"RN7SL554P",4,0.0161841557575186,0.198905585516854,0.25528210821532
"ND4",5,0.0162811724899387,0.0869815683485825,0.108995694429941
"RNU6-929P",6,0.0164712417574129,0.140689421680528,0.179855064567508
"COX2",7,0.0173929450368825,0.118430318557667,0.149800541960728
"RN7SL551P",8,0.0206373326982426,0.194822439180974,0.261609502131317
"YBX1P10",9,0.020930032138694,0.120496041490733,0.161017707625584
"RNA5SP117",10,0.0209644842370692,0.300636412111838,0.424000289838272
"RNA5SP112",11,0.0210535949978633,0.238230823679418,0.313867829159321
"CHMP4BP1",12,0.0211531661713501,0.0929939364675144,0.137393644644078
"MYL8P",13,0.0214062875366779,0.122275434302621,0.172673769977697
"RN7SL442P",14,0.0215789574953574,0.145783195082125,0.18102647620814
"RNU6-1231P",15,0.0216973233647709,0.148332305186362,0.18267310693746
"RNU1-115P",16,0.0220630865542093,0.26822395379269,0.342914545974737
"RN7SKP20",17,0.0221611813342188,0.224377474157165,0.294442992083814
"RN7SL252P",18,0.0225089920105027,0.149739530065448,0.183967164957128
"RN7SKP77",19,0.022583166895788,0.200311773032045,0.275739443259349
"RN7SKP79",20,0.0227593990706713,0.148662178373158,0.192855011799118
"RN7SKP252",21,0.0229538583090091,0.14467579219688,0.173640272918907
"RN7SKP129",22,0.0230624165269008,0.198944763582809,0.245712089274682
"ACTG1P1",23,0.0231692309494855,0.166737652534861,0.213138816816401
"HMGB1P14",24,0.0233851590004357,0.17080438659022,0.205208112402048
"CDC37P1",25,0.0235630339483231,0.177199971560299,0.232509848310222
"RN7SKP39",26,0.0238382993283749,0.203491438899496,0.261497776233551
"LOC101928787",27,0.0238461295217268,0.141554360571083,0.174353641246181
"ACTBP2",28,0.0239979420010625,0.160692740013462,0.198486094930808
"RN7SKP271",29,0.0242743460235988,0.211926888128368,0.258973024374917
"RNU6-947P",30,0.0245279664801638,0.411730105331007,0.543904155482377
"RNU6-815P",31,0.0246329264605728,0.19707640484204,0.24366210526703
"RNU6-996P",32,0.0247097567745133,0.23869924840783,0.315361651893893
"RN7SL146P",33,0.0247584162550701,0.114390522207075,0.133322642066928
"RNU6-477P",34,0.0249100384620239,0.408566115667199,0.565819121040311
"RNU6-997P",35,0.0250247086049182,0.330617092642351,0.447325355407446
"RNU6-123P",36,0.0250871063053349,0.13379120863096,0.166613686906183
"RN7SKP9",37,0.0251953833298553,0.141714470659814,0.178157390984779
"MIR212",38,0.0252688768030752,0.123574472637025,0.144125554921615
"RNU6-802P",39,0.0254734702214659,0.230868863852781,0.308506376562269
"RNU5A-2P",40,0.0255011408998314,0.377982855930906,0.527563148730682
"RNU6-828P",41,0.0255997511957332,0.254337663783923,0.329236860923148
"RPL36P18",42,0.0256558730270202,0.182381145157891,0.227660956917252
"RN7SL396P",43,0.0257251990974766,0.117759410838433,0.150973520551822
"RNU6-876P",44,0.0257313977739356,0.186413790749233,0.228991196633601
"RN7SL413P",45,0.0257374603867438,0.235516927337403,0.297605143582612
"RN7SKP130",46,0.0257930472136272,0.16206831054912,0.200725416499533
"MIR185",47,0.0258964598407546,0.211870323027215,0.257932380013882
"RNU6-692P",48,0.025925822297167,0.253475055931805,0.344683691776228
"RN7SL542P",49,0.0259321914204555,0.162185420451556,0.196180027823214
"RN7SL23P",50,0.0262009316803978,0.160224142749304,0.212058648714524
"RNU6-205P",51,0.0265042156940778,0.186276814552894,0.247375888901309
"RN7SKP292",52,0.0265209324844114,0.212228058737432,0.263459929653764
"GJA1P1",53,0.0265490398190534,0.176968503210825,0.217369917200148
"RN7SL340P",54,0.0266168967480273,0.170474337024934,0.206686478132255
"RNU2-40P",55,0.0267403668751155,0.215056185699401,0.269306125063922
"NOS2P1",56,0.0270404327479404,0.125880264881136,0.150817945913034
"RNU6-273P",57,0.0271617927581647,0.205210568718263,0.248581754757275
"RN7SL269P",58,0.0271923454224667,0.203457464696313,0.250710835662956
"RN7SKP286",59,0.0272406822671343,0.316398578960166,0.441807283301404
"RN7SKP143",60,0.0273257415050554,0.192033971036493,0.231433024146699
"RNA5SP276",61,0.027389738665644,0.209472288472288,0.259067795581207
"RNU6-67P",62,0.0274438983050546,0.251922545271775,0.328672220485551
"YBX1P1",63,0.0274803075699627,0.112564598202197,0.144898151288587
"RN7SKP11",64,0.0274890152349794,0.164719949839614,0.199500509825124
"RN7SL414P",65,0.0275326665631169,0.217511108033543,0.270857649368294
"PPP1R14BP5",66,0.0278619861440823,0.214395836765434,0.274263063635809
"RNA5SP20",67,0.027879897878188,0.296684428962025,0.392746459142114
"RN7SKP206",68,0.0279307407597675,0.215194866224348,0.276567422836277
"RNU6-225P",69,0.0279975392372933,0.187754211376793,0.220315101098658
"RPL7AP6",70,0.0280131136225044,0.126532836976237,0.198985102524282
