"","GSE27916","GSE27657","GSE71416","GSE9624"
"A1BG",0.00954619066107703,0.254699092769334,0.0363964484720452,1.17011402825041
"A1BG-AS1",0.0117339308594793,0.569635138126913,0.0840911430707229,1.03771476530795
"A1CF",0.00858518936377486,0.0291211093943229,0.0419002442597978,0.66529412725347
"A2M",0.0261703214629412,0.0708439653344346,0.066224905771095,0.206521381239917
"A2M-AS1",0.0290382737481812,0.305122834396437,0.0974860852666631,0.564569030766699
"A2ML1",0.00772030904611224,0.119086339930258,0.0604356550459181,0.75776775273294
"A2MP1",0.0112158723981759,0.287656571598622,0.055186879275842,0.366150502974635
"A4GALT",0.0130872348906629,0.233918341722177,0.0268485418844083,1.24051154243897
"A4GNT",0.0102101046591606,0.12369748650235,0.145086806150749,0.258602826962186
"AA06",0.00995540644121907,0.197610249010281,0.0267268956181635,0.384646910732164
"AAAS",0.0180363120903006,0.0979113539513107,0.0530770668920988,0.785857723594526
"AACS",0.080622401006699,0.159357988188121,0.0540512786551075,0.680878194964518
"AACSP1",0.0100444040280848,0.0899576150327639,0.163297339236805,1.36529156646871
"AADAC",0.0550451088216976,0.696468854776561,0.299384571869077,2.1528125950742
"AADACL2",0.00783293776855973,0.197768436345268,0.191795551342651,0.601002999150746
"AADACP1",0.00789678229959298,0.261334818048071,0.0900357569143794,1.42979463739195
"AADAT",0.0104045436954345,0.374192007263814,0.0663509351705496,0.386862488647173
"AAED1",0.0185780054718246,0.178230308825645,0.0495983291741434,0.330166777452188
"AAGAB",0.0107145446078454,0.277946497784334,0.0281851684108008,0.737635816415679
"AAK1",0.011350927474779,0.131194903634703,0.114823241738044,0.39661952603848
"AAMDC",0.0227066653937198,0.100834952314509,0.0904478148073631,0.673072459977688
"AAMP",0.0265350541737013,0.0214830481638306,0.0231288835096001,0.388493671172385
"AANAT",0.00787044137905608,0.12124654087875,0.118944133541471,1.02629622210709
"AAR2",0.0152130310105458,0.144041757221694,0.0169577617349563,0.280849914224856
"AARS",0.0164783374672465,0.0411716013008795,0.0385231173904918,0.362096548382045
"AARS2",0.00714602316382803,0.183182602763491,0.0398406048444394,0.460791785320449
"AARSD1",0.0115482626718432,0.0436238915534126,0.0361870431431816,0.1808067304113
"AASDH",0.0161728448953272,0.0969639501975032,0.186761180011223,0.314346264806487
"AASDHPPT",0.0322506835794867,0.342856039619939,0.187151277562037,0.384304050709348
"AASS",0.0294222603174427,0.098180653452176,0.0636316472858153,0.59696910765843
"AATF",0.0203418171635717,0.0132949547940472,0.0639114882287947,0.485815203109086
"AATK",0.0115753471517641,0.310706957274671,0.0301794747923374,0.227374740316633
"AB074162",0.0124212158574694,0.253295487102381,0.0951225580198478,0.863025373676529
"AB488780",0.0167828211859267,0.0778918462194139,0.0393846986439262,0.400788385949468
"ABAT",0.0142226691407121,0.189424128505309,0.168482086052278,0.311673957756761
"ABCA1",0.0272814060076252,0.132365388722879,0.170128725894755,0.558269815291927
"ABCA11P",0.016489857195252,0.255360570567131,0.163962850538002,0.559274121888876
"ABCA12",0.00899399429710677,0.104663110756845,0.0540312230529679,1.72974871095631
"ABCA13",0.00765715398859806,0.322024589921302,0.0546240095012068,0.69848318808139
"ABCA17P",0.0121242344750373,0.241645917221545,0.113066219112,0.523334934102051
"ABCA2",0.0150009987882984,0.286189170225836,0.0961360149821142,0.402474102258277
"ABCA3",0.0155937026578896,0.0573077506006247,0.0405515451216445,0.575620504230001
"ABCA4",0.00630230290834608,0.232097057047648,0.0731764219107327,0.617458011763875
"ABCA5",0.0237245140795869,0.194508647418119,0.0885036861594008,0.963409552238836
"ABCA6",0.0311727557283316,0.146280309560586,0.241723019521745,0.721038564738687
"ABCA7",0.014825254039672,0.156830920500785,0.0836823322969985,0.799107812942326
"ABCA8",0.0193387775210577,0.184817074119326,0.150149455127592,0.789233818524538
"ABCA9",0.0432091441989157,0.111997138312905,0.318741589409486,1.2866196969456
"ABCB1",0.0107908534446939,0.397896161625021,0.0492785976879109,0.311903155248312
"ABCB10",0.0287873369509288,0.621512075720312,0.127295763126614,0.342903917391818
"ABCB11",0.00859983309538588,0.096594376996404,0.0396830133372279,1.18260414115572
"ABCB4",0.0105171400035818,0.297645213466537,0.187609683106878,0.631710509930932
"ABCB5",0.00797343231942793,0.331765069701943,0.112454867060796,0.695927272868781
"ABCB6",0.0105577326338984,0.0786904298730243,0.0760921163685613,0.377458028628874
"ABCB7",0.0195383628460193,0.164335462257876,0.0105932873223013,0.165979744955798
"ABCB8",0.010797294488002,0.0813016371186904,0.043720438612285,0.53572545134703
"ABCB9",0.0131869326388533,0.293333356146968,0.0594891275613549,0.809195848302459
"ABCC1",0.0242058520953991,0.0708845727999273,0.0942772898732137,0.336452259419673
"ABCC10",0.0123694518430891,0.0870725722784375,0.184897363798534,0.293103392129832
"ABCC11",0.00666287105966684,0.218900037292926,0.1029041568799,0.461571820958199
"ABCC12",0.00668817925745106,0.0700158780095629,0.100427307978253,0.888489204668192
"ABCC13",0.00686326500281973,0.150668093652301,0.0423957829896057,1.07545681919839
"ABCC2",0.0108324993832916,0.239586785278481,0.0582657447311514,1.66822918715973
"ABCC3",0.021799963762695,0.140509998649855,0.0279459912292712,0.597551726194995
"ABCC4",0.00642185352805036,0.0691942130657269,0.0727676757802276,0.831455237231027
"ABCC5",0.0112184494262272,0.152050078584774,0.260965300826842,0.448431947525736
"ABCC6",0.0436579533186421,0.075845845648173,0.247164682386663,1.22415198516117
"ABCC6P1",0.0102485980542449,0.200949877484643,0.158161129117713,1.55143559525705
"ABCC8",0.0100506017577049,0.137006215366973,0.00224045338424174,0.226188404368902
"ABCC9",0.0125773902011551,0.016881380308413,0.103526070406593,0.241788893736028
"ABCD1",0.0231758759223084,0.0393518946233487,0.119769862642968,0.394210368338946
"ABCD1P2",0.0119677385521311,0.199842748732575,0.110774885285446,0.745676878951889
