"","GSE32512","GSE27666"
"7A5",0.0369848653861064,0.359141988719987
"A1BG",0.052708507376115,0.248800214319982
"A1CF",0.0406891972559799,0.328119102726936
"A26A1",0.0382234095681544,0.297265816774655
"A26B1",0.0419824716150568,0.305508145151918
"A26C1B",0.0498707174182699,0.36134007356928
"A26C3",0.0415743619631013,0.326544220898411
"A2BP1",0.0341070380793115,0.264137810415104
"A2M",0.0650527906964184,0.521658914046701
"A2ML1",0.0347052762740764,0.480553880299719
"A3GALT2",0.0256078338970896,0.275623475893526
"A4GALT",0.0793195988463353,0.404852271517596
"A4GNT",0.0735654004938906,0.393932314232019
"AAA1",0.0254924988253716,0.214215545887074
"AAAS",0.0605827915788145,0.223701581469193
"AACS",0.115814294470763,0.627024472108342
"AACSL",0.0937159747104614,0.339054376649345
"AADAC",0.108657442742084,0.667478653884937
"AADACL1",0.180398529341129,0.715735488428486
"AADACL2",0.0540711020264779,0.375748544154093
"AADACL3",0.0388952020336482,0.398377553580476
"AADACL4",0.0767070167673659,0.51450127222071
"AADAT",0.0395581733715766,0.273996534930063
"AAK1",0.0426042246127905,0.25968268059069
"AAMP",0.0486704632117164,0.250960270755055
"AANAT",0.0438852316842726,0.501687488682527
"AARS",0.0170652748438535,0.147337491649533
"AARS2",0.0372653536969806,0.171182583414617
"AARSD1",0.0294003605726163,0.159643053919539
"AASDH",0.0394894340109014,0.214743051585737
"AASDHPPT",0.0366640707957086,0.225269152904375
"AASS",0.10637967250411,0.47092729061586
"AATF",0.0323737400373743,0.197318094884267
"AATK",0.0616563406470726,0.372497502967658
"ABAT",0.0471432180263591,0.323491397321915
"ABCA1",0.0305119411385031,0.256853403837944
"ABCA10",0.0892945277126708,0.367136374371115
"ABCA11",0.095506022763169,0.300114227867042
"ABCA12",0.0497610203042582,0.228952300421943
"ABCA13",0.0331074970803984,0.41904886557535
"ABCA2",0.0450762086866114,0.260839310754522
"ABCA3",0.0649670041137471,0.296256107515233
"ABCA4",0.101439698577424,0.339111599909119
"ABCA5",0.063469935795738,0.237673870901558
"ABCA6",0.0580100208624687,0.351301310154189
"ABCA7",0.0382064729744095,0.367681737392541
"ABCA8",0.0326286581617955,0.287840068912152
"ABCA9",0.0537334573318094,0.249699899168994
"ABCB1",0.0982555231271505,0.322617334693333
"ABCB10",0.0364166667594265,0.201282888746492
"ABCB11",0.159448275625967,0.540088706112435
"ABCB4",0.0972889387405703,0.424973044334744
"ABCB5",0.0321678081361452,0.466898220706472
"ABCB6",0.0390768390487724,0.241804180343368
"ABCB7",0.0462845579774267,0.236666545828593
"ABCB8",0.0850116164006688,0.367861881109996
"ABCB9",0.107919961108519,0.313494410980464
"ABCC1",0.0809579413139302,0.335264305827183
"ABCC10",0.0596120199033776,0.218043350707461
"ABCC11",0.0382084414940564,0.339624848221951
"ABCC12",0.111159286273115,0.373902835588487
"ABCC13",0.0622007821666512,0.290524687038477
"ABCC2",0.126411400473566,0.417411981275536
"ABCC3",0.124724263215206,0.759170033355256
