"","ranking","median","mean","sd"
"HMGXB3",1,0.0102438995629987,0.0918546201131025,0.16621553301529
"SLC30A6",2,0.0106341676639876,0.117452493626552,0.213947749817384
"MZF1",3,0.0111015296253404,0.036753371250052,0.0540678660894499
"ZDHHC5",4,0.0111439202148841,0.159014839997864,0.300809792768682
"NRF1",5,0.0112828287917009,0.048386825327773,0.0807541806678353
"FBF1",6,0.0116052090645619,0.0994199942372195,0.176118871090312
"TMEM8B",7,0.0116989624083965,0.226764680250293,0.432170610064763
"CPSF7",8,0.0118220567294785,0.101433487354247,0.185346897058168
"C19orf73",9,0.0128871775848559,0.407327498155887,0.791507592190746
"PCNT",10,0.0130954612740989,0.249338663445022,0.473601948021899
"LOC101928826",11,0.0134848174789283,0.0663405334868403,0.112103648056579
"NPRL3",12,0.0134993057723705,0.043234990724105,0.0619544179101488
"TATDN2",13,0.013508657769317,0.215956731993125,0.408819982537074
"PLSCR3",14,0.0135754667871364,0.0687792821958373,0.112505017568936
"TMCC1",15,0.0136881434516342,0.0972708243484626,0.171019096822836
"EEF1A1",16,0.0138522880409652,0.0527066205515527,0.0805938690948269
"RPL39",17,0.0140436545039393,0.0585313006494081,0.0969698669632849
"AC012531.25",18,0.0142761173684449,0.140900318289423,0.257639349660989
"NACAP1",19,0.0143187279764613,0.114154056122673,0.202233826357883
"ADTRP",20,0.014373014195561,0.114842039978066,0.209031244236949
"RP11-400N13.1",21,0.0145362173290616,0.307722352980642,0.589865518595292
"LOC100505710",22,0.0148249944842373,0.161341029184389,0.295948114250486
"PABPC3",23,0.0150574225275028,0.0904350033689375,0.157879478786594
"DAXX",24,0.0151554915947997,0.0910785126848277,0.155230740039801
"VWA9",25,0.0151899149613373,0.0852048788157498,0.144289158533066
"JMJD7-PLA2G4B",26,0.015250704854996,0.0286460612505332,0.0371236487980161
"RP13-258O15.1",27,0.0153694063778557,0.0719783010412767,0.120191769227515
"HP1BP3",28,0.0154589148064876,0.0752963095482421,0.121420416272052
"RP5-882O7.1",29,0.0155171215770145,0.0791830881184284,0.13174245466251
"GORASP1",30,0.0156260080734593,0.105520133626064,0.183538950436415
"RASSF7",31,0.015698877895361,0.119156572432904,0.210453370989855
"RP11-548M13.1",32,0.0158225247443518,0.149789876145759,0.269507025338149
"PPME1",33,0.0158426708986339,0.0782786591732237,0.127637381512499
"LOC102724200",34,0.0160256112941717,0.0965176880221436,0.163380989272399
"BAK1",35,0.0160327310921261,0.0938157841590797,0.159033343681459
"AMT",36,0.0160598571978267,0.132331859256185,0.242064578337747
"EFTUD2",37,0.0160751273832191,0.195882492295159,0.364761645217204
"NANS",38,0.016168260394255,0.135089372905177,0.241295287440214
"RP11-16P6.1",39,0.0161751186326802,0.119333748640458,0.213073853492707
"LOC100508408",40,0.0163110334127049,0.0451960184840616,0.0614693219232485
"CHURC1-FNTB",41,0.0164452966858753,0.168597094949874,0.310943328873748
"KCNS1",42,0.0164666350663173,0.119630145285837,0.207917313028135
"PTMA",43,0.0164841617713989,0.114899193123142,0.203589091331124
"ND3",44,0.0165325574210148,0.0708904122217272,0.111768758572566
"CYHR1",45,0.0166127019321622,0.0892632557452258,0.153205343950607
"SDF4",46,0.0166833009404034,0.129706652282263,0.233074017545477
"LRR1",47,0.0167041122304866,0.135950403506437,0.247437719152772
"NOL10",48,0.0167910604904395,0.16761017426405,0.306304906271288
"RPL24",49,0.0168769274795763,0.0902794774326195,0.152636029040227
"GNA11",50,0.01698291282239,0.0289162191549648,0.0254421821054054
"PKN3",51,0.0170379156285994,0.100497653590932,0.170735084963972
"SCART1",52,0.0170562428760398,0.229317847622614,0.429815343193536
"WFDC8",53,0.0171179900841929,0.0985674533888467,0.169293095157691
"ILK",54,0.0171537956266294,0.0946367252509358,0.163298958606666
"FAM193B",55,0.0172826562751175,0.190789510945385,0.355223124752516
"RP1-190J20.2",56,0.0174101769275768,0.344807438751889,0.661272989712626
"LOC647323",57,0.0175392034032523,0.332299185098577,0.636166777238148
"ATXN7L3",58,0.0175883508998167,0.159700149102579,0.293414352053815
